Task,DepDegree,Loc,McCabe,Halstead,BA32,BA31post,BA31ant
1 _Factorial,11,9,2,8.88,-0.567438063,-0.680167625,-0.456862813
11_Count_Same_Chars,15,15,4,17.29,-0.760412688,-0.58754025,-0.627872625
3 Largest_Number_List,17,8,3,11.19,-0.80337975,-0.484311125,-0.569892688
9_Cross_Sum,11,9,2,11.5,-0.853813313,-0.755176125,-0.724818625
10_Largest_Of_Three Numbers,15,11,7,15.86,-0.534999375,-0.504249125,-0.461402625
6 _Power,12,9,2,10.4,-0.833937188,-0.531375313,-0.573933125
5_Swap,5,9,1,6.77,-0.44148875,-0.452398375,-0.400142063
4 _Reverse_String,13,7,2,10.71,-0.687596375,-0.787476813,-0.6289035
2_Check_substring,14,15,3,15.28,-0.513088813,-0.474544625,-0.512648188
12_Decimal_ To_Binary,16,12,3,14,-1.045516125,-0.827268563,-0.8140095
8_Reverse_Entries,25,11,3,18.35,-1.065309875,-0.825552875,-0.799689
7 _Median,8,11,2,16.12,-0.810991375,-0.743071875,-0.754594875
