condition,BA31,BA32
ArrayAverage,-2.248355733,-1.774586165
ContainsSubstring,-2.137145163,-1.91559082
CountVowels,-1.921303548,-1.495832442
DumbSort,-1.831843539,-1.46374886
GreatestCommonDivisor,-1.93865049,-1.526649428
hIndex,-2.063537981,-1.848531743
isHurricane,-1.730000171,-1.236600384
isPalindrome,-2.103988089,-1.565782627
lengthOfLastWord,-2.034462625,-1.699418305
RecursiveBinaryToDecimal,-2.180495768,-1.907988566
RecursiveCrossSum,-1.936397923,-1.45635117
RecursiveFactorial,-1.545885531,-1.37916458
RecursiveFibonacciVariant,-1.835985696,-1.458877878
RecursivePower,-1.897029609,-1.6700936
SquareRoot,-2.115286243,-1.820133117
YesNo,-1.729084884,-1.241652874
