dataset,snippet,metric,metric_value,#_of_warnings,tool
1,1,correct_output_rating,1.2195121951219512,0.25,all_tools_avg
1,1,output_difficulty,3.1707317073170733,0.25,all_tools_avg
1,1,time_to_give_output,68.01441463414633,0.25,all_tools_avg
1,2,correct_output_rating,1.951219512195122,0.25,all_tools_avg
1,2,output_difficulty,2.975609756097561,0.25,all_tools_avg
1,2,time_to_give_output,100.26741463414632,0.25,all_tools_avg
1,3,correct_output_rating,1.4878048780487805,0.25,all_tools_avg
1,3,output_difficulty,2.3902439024390243,0.25,all_tools_avg
1,3,time_to_give_output,132.46873170731706,0.25,all_tools_avg
1,4,correct_output_rating,1.4878048780487805,0.75,all_tools_avg
1,4,output_difficulty,2.414634146341464,0.75,all_tools_avg
1,4,time_to_give_output,154.64156097560976,0.75,all_tools_avg
1,5,correct_output_rating,1.4390243902439024,1.0,all_tools_avg
1,5,output_difficulty,1.975609756097561,1.0,all_tools_avg
1,5,time_to_give_output,211.48453658536584,1.0,all_tools_avg
1,6,correct_output_rating,1.7804878048780488,0.5,all_tools_avg
1,6,output_difficulty,3.1219512195121952,0.5,all_tools_avg
1,6,time_to_give_output,70.5109512195122,0.5,all_tools_avg
1,7,correct_output_rating,1.804878048780488,0.25,all_tools_avg
1,7,output_difficulty,3.2195121951219514,0.25,all_tools_avg
1,7,time_to_give_output,66.04860975609758,0.25,all_tools_avg
1,8,correct_output_rating,1.4634146341463414,0.5,all_tools_avg
1,8,output_difficulty,2.3902439024390243,0.5,all_tools_avg
1,8,time_to_give_output,104.82602439024387,0.5,all_tools_avg
1,9,correct_output_rating,1.853658536585366,0.25,all_tools_avg
1,9,output_difficulty,3.1707317073170733,0.25,all_tools_avg
1,9,time_to_give_output,65.42085365853657,0.25,all_tools_avg
1,10,correct_output_rating,1.8780487804878048,0.0,all_tools_avg
1,10,output_difficulty,3.634146341463415,0.0,all_tools_avg
1,10,time_to_give_output,42.58580487804878,0.0,all_tools_avg
1,11,correct_output_rating,1.6341463414634143,0.25,all_tools_avg
1,11,output_difficulty,3.097560975609756,0.25,all_tools_avg
1,11,time_to_give_output,65.47378048780489,0.25,all_tools_avg
1,12,correct_output_rating,1.853658536585366,0.25,all_tools_avg
1,12,output_difficulty,3.341463414634146,0.25,all_tools_avg
1,12,time_to_give_output,59.81002439024391,0.25,all_tools_avg
1,13,correct_output_rating,2.0,0.0,all_tools_avg
1,13,output_difficulty,3.731707317073171,0.0,all_tools_avg
1,13,time_to_give_output,37.42529268292683,0.0,all_tools_avg
1,14,correct_output_rating,1.902439024390244,0.75,all_tools_avg
1,14,output_difficulty,3.4878048780487805,0.75,all_tools_avg
1,14,time_to_give_output,48.39470731707317,0.75,all_tools_avg
1,15,correct_output_rating,0.7804878048780488,2.25,all_tools_avg
1,15,output_difficulty,1.0731707317073171,2.25,all_tools_avg
1,15,time_to_give_output,355.3091707317073,2.25,all_tools_avg
1,16,correct_output_rating,1.951219512195122,0.0,all_tools_avg
1,16,output_difficulty,3.7804878048780486,0.0,all_tools_avg
1,16,time_to_give_output,20.50239024390244,0.0,all_tools_avg
1,17,correct_output_rating,1.6585365853658536,0.0,all_tools_avg
1,17,output_difficulty,3.048780487804878,0.0,all_tools_avg
1,17,time_to_give_output,99.98841463414637,0.0,all_tools_avg
1,18,correct_output_rating,1.3902439024390243,0.5,all_tools_avg
1,18,output_difficulty,2.317073170731707,0.5,all_tools_avg
1,18,time_to_give_output,132.07892682926828,0.5,all_tools_avg
1,19,correct_output_rating,1.3902439024390243,2.5,all_tools_avg
1,19,output_difficulty,1.902439024390244,2.5,all_tools_avg
1,19,time_to_give_output,145.2398292682927,2.5,all_tools_avg
1,20,correct_output_rating,1.3902439024390243,0.0,all_tools_avg
1,20,output_difficulty,3.1951219512195124,0.0,all_tools_avg
1,20,time_to_give_output,80.62182926829269,0.0,all_tools_avg
1,21,correct_output_rating,1.3902439024390243,1.25,all_tools_avg
1,21,output_difficulty,2.4878048780487805,1.25,all_tools_avg
1,21,time_to_give_output,89.93921951219512,1.25,all_tools_avg
1,22,correct_output_rating,1.3902439024390243,0.0,all_tools_avg
1,22,output_difficulty,2.3902439024390243,0.0,all_tools_avg
1,22,time_to_give_output,86.29456097560976,0.0,all_tools_avg
1,23,correct_output_rating,1.829268292682927,0.75,all_tools_avg
1,23,output_difficulty,3.414634146341464,0.75,all_tools_avg
1,23,time_to_give_output,54.50070731707317,0.75,all_tools_avg
2,1,brain_deact_31ant,-0.456862813,0.25,all_tools_avg
2,1,brain_deact_31post,-0.680167625,0.25,all_tools_avg
2,1,brain_deact_32,-0.567438063,0.25,all_tools_avg
2,1,time_to_understand,277998.6875,0.25,all_tools_avg
2,2,brain_deact_31ant,-0.627872625,0.25,all_tools_avg
2,2,brain_deact_31post,-0.58754025,0.25,all_tools_avg
2,2,brain_deact_32,-0.760412688,0.25,all_tools_avg
2,2,time_to_understand,379138.5,0.25,all_tools_avg
2,3,brain_deact_31ant,-0.569892688,0.25,all_tools_avg
2,3,brain_deact_31post,-0.484311125,0.25,all_tools_avg
2,3,brain_deact_32,-0.80337975,0.25,all_tools_avg
2,3,time_to_understand,282050.625,0.25,all_tools_avg
2,4,brain_deact_31ant,-0.724818625,0.5,all_tools_avg
2,4,brain_deact_31post,-0.755176125,0.5,all_tools_avg
