dataset,snippet,metric,metric_value,#_of_warnings,tool
1,1,correct_output_rating,1.2195121951219512,1.0,all_tools
1,2,correct_output_rating,1.951219512195122,1.0,all_tools
1,3,correct_output_rating,1.4878048780487805,1.0,all_tools
1,4,correct_output_rating,1.4878048780487805,3.0,all_tools
1,5,correct_output_rating,1.4390243902439024,4.0,all_tools
1,6,correct_output_rating,1.7804878048780488,2.0,all_tools
1,7,correct_output_rating,1.8048780487804879,1.0,all_tools
1,8,correct_output_rating,1.4634146341463414,2.0,all_tools
1,9,correct_output_rating,1.853658536585366,1.0,all_tools
1,10,correct_output_rating,1.8780487804878048,0.0,all_tools
1,11,correct_output_rating,1.6341463414634145,1.0,all_tools
1,12,correct_output_rating,1.853658536585366,1.0,all_tools
1,13,correct_output_rating,2.0,0.0,all_tools
1,14,correct_output_rating,1.9024390243902438,3.0,all_tools
1,15,correct_output_rating,0.7804878048780488,9.0,all_tools
1,16,correct_output_rating,1.951219512195122,0.0,all_tools
1,17,correct_output_rating,1.6585365853658536,0.0,all_tools
1,18,correct_output_rating,1.3902439024390243,2.0,all_tools
1,19,correct_output_rating,1.3902439024390243,10.0,all_tools
1,20,correct_output_rating,1.3902439024390243,0.0,all_tools
1,21,correct_output_rating,1.3902439024390243,5.0,all_tools
1,22,correct_output_rating,1.3902439024390243,0.0,all_tools
1,23,correct_output_rating,1.829268292682927,3.0,all_tools
1,1,output_difficulty,3.1707317073170733,1.0,all_tools
1,2,output_difficulty,2.975609756097561,1.0,all_tools
1,3,output_difficulty,2.3902439024390243,1.0,all_tools
1,4,output_difficulty,2.4146341463414633,3.0,all_tools
1,5,output_difficulty,1.975609756097561,4.0,all_tools
1,6,output_difficulty,3.1219512195121952,2.0,all_tools
1,7,output_difficulty,3.2195121951219514,1.0,all_tools
1,8,output_difficulty,2.3902439024390243,2.0,all_tools
1,9,output_difficulty,3.1707317073170733,1.0,all_tools
1,10,output_difficulty,3.6341463414634148,0.0,all_tools
1,11,output_difficulty,3.097560975609756,1.0,all_tools
1,12,output_difficulty,3.341463414634146,1.0,all_tools
1,13,output_difficulty,3.731707317073171,0.0,all_tools
1,14,output_difficulty,3.4878048780487805,3.0,all_tools
1,15,output_difficulty,1.0731707317073171,9.0,all_tools
1,16,output_difficulty,3.7804878048780486,0.0,all_tools
1,17,output_difficulty,3.048780487804878,0.0,all_tools
1,18,output_difficulty,2.317073170731707,2.0,all_tools
1,19,output_difficulty,1.9024390243902438,10.0,all_tools
1,20,output_difficulty,3.1951219512195124,0.0,all_tools
1,21,output_difficulty,2.4878048780487805,5.0,all_tools
