,0
0,63 -- 12 -- Siena
1,63 -- 12 -- ArgoUML
2,63 -- 5 -- ArgoUML
3,63 -- 2 -- ArgoUML
4,63 -- 3 -- ArgoUML
5,63 -- 11 -- ArgoUML
6,63 -- 6 -- ArgoUML
7,63 -- 16 -- ArgoUML
8,63 -- 13 -- ArgoUML
9,63 -- 1 -- SweetHome3D
10,63 -- 2 -- SweetHome3D
11,63 -- 4 -- SweetHome3D
12,63 -- 6 -- SweetHome3D
13,63 -- 9 -- SweetHome3D
14,63 -- 1 -- SweetHome3D
15,63 -- 11 -- SweetHome3D
16,63 -- 12 -- MegaMek
17,63 -- 15 -- MegaMek
18,63 -- 4 -- MegaMek
19,63 -- 8 -- MegaMek
20,63 -- 2 -- MegaMek
21,63 -- 3 -- MegaMek
22,63 -- 13 -- MegaMek
23,63 -- 7 -- MegaMek
24,63 -- 14 -- MegaMek
25,63 -- 8 -- ATunes
26,63 -- 6 -- ATunes
27,6 -- 1 -- OpenCMSCore
28,6 -- 3 -- OpenCMSCore
29,3 -- 85
30,3 -- 72
31,3 -- 90
32,3 -- 83
33,3 -- 97
34,3 -- 93
35,3 -- 89
36,3 -- 81
37,3 -- 100
38,3 -- 76
39,3 -- 77
40,3 -- 79
41,3 -- 82
42,3 -- 94
43,3 -- 95
44,3 -- 98
45,3 -- 49
46,3 -- 38
47,3 -- 46
48,3 -- 47
49,3 -- 36
50,3 -- 37
51,3 -- 39
52,3 -- 45
53,3 -- 52
54,3 -- 57
55,3 -- 58
56,3 -- 61
57,3 -- 62
58,3 -- 64
59,3 -- 66
60,3 -- 69
61,3 -- 25
62,3 -- 22
63,3 -- 23
64,3 -- 18
65,3 -- 26
