,0
0,63 -- 11 -- Siena2
1,63 -- 12 -- ArgoUML
2,63 -- 5 -- ArgoUML
3,63 -- 2 -- ArgoUML
4,63 -- 3 -- ArgoUML
5,63 -- 11 -- ArgoUML
6,63 -- 6 -- ArgoUML
7,63 -- 16 -- ArgoUML
8,63 -- 13 -- ArgoUML
9,63 -- 2 -- SweetHome3D
10,63 -- 3 -- SweetHome3D
11,63 -- 5 -- SweetHome3D
12,63 -- 7 -- SweetHome3D
13,63 -- 10 -- SweetHome3D
14,63 -- 1 -- SweetHome3D
15,63 -- 12 -- SweetHome3D
16,6 -- 1 -- OpenCMSCore
17,6 -- 3 -- OpenCMSCore
18,3 -- 85
19,3 -- 72
20,3 -- 90
21,3 -- 83
22,3 -- 97
23,3 -- 93
24,3 -- 89
25,3 -- 81
26,3 -- 100
27,3 -- 76
28,3 -- 77
29,3 -- 79
30,3 -- 82
31,3 -- 94
32,3 -- 95
33,3 -- 98
34,3 -- 49
35,3 -- 38
36,3 -- 46
37,3 -- 47
38,3 -- 36
39,3 -- 37
40,3 -- 39
41,3 -- 45
42,3 -- 52
43,3 -- 57
44,3 -- 58
45,3 -- 61
46,3 -- 62
47,3 -- 64
48,3 -- 66
49,3 -- 69
50,3 -- 25
51,3 -- 22
52,3 -- 23
53,3 -- 18
54,3 -- 26
