"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","snippet_splitter_out.ds_1","../ml_model/src/main/resources/snippet_splitter_out/ds_1/ds_1_snip_10_main10.java","3","7","The method 'main10(String[])' has a cyclomatic complexity of 7.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_1","../ml_model/src/main/resources/snippet_splitter_out/ds_1/ds_1_snip_11_main11.java","3","8","The method 'main11(String[])' has a cyclomatic complexity of 2.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_1","../ml_model/src/main/resources/snippet_splitter_out/ds_1/ds_1_snip_12_main12.java","3","7","The method 'main12(String[])' has a cyclomatic complexity of 3.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_1","../ml_model/src/main/resources/snippet_splitter_out/ds_1/ds_1_snip_13_main13.java","3","6","The method 'main13(String[])' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_1","../ml_model/src/main/resources/snippet_splitter_out/ds_1/ds_1_snip_14_main14.java","3","8","The method 'main14(String[])' has a cyclomatic complexity of 2.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_1","../ml_model/src/main/resources/snippet_splitter_out/ds_1/ds_1_snip_15_main15.java","3","7","The method 'main15(String[])' has a cyclomatic complexity of 6.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_1","../ml_model/src/main/resources/snippet_splitter_out/ds_1/ds_1_snip_16_main16.java","3","6","The method 'main16(String[])' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_1","../ml_model/src/main/resources/snippet_splitter_out/ds_1/ds_1_snip_17_main17.java","3","7","The method 'main17(String[])' has a cyclomatic complexity of 3.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_1","../ml_model/src/main/resources/snippet_splitter_out/ds_1/ds_1_snip_18_main18.java","3","7","The method 'main18(String[])' has a cyclomatic complexity of 5.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_1","../ml_model/src/main/resources/snippet_splitter_out/ds_1/ds_1_snip_19_main19.java","3","6","The method 'main19(String[])' has a cyclomatic complexity of 3.","Design","CyclomaticComplexity"
