Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_f/ds_f_snip_lengthOfLastWord_compute.java,ds_f_snip_lengthOfLastWord_compute.java,16,15,1,0,7,398
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_f/ds_f_snip_isPalindrome_compute.java,ds_f_snip_isPalindrome_compute.java,11,10,1,0,3,299
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_f/ds_f_snip_isHurricane_compute.java,ds_f_snip_isHurricane_compute.java,17,16,1,0,9,457
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_f/ds_f_snip_hIndex_compute.java,ds_f_snip_hIndex_compute.java,15,14,1,0,3,354
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_f/ds_f_snip_YesNo_compute.java,ds_f_snip_YesNo_compute.java,15,14,1,0,6,367
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_f/ds_f_snip_SquareRoot_compute.java,ds_f_snip_SquareRoot_compute.java,16,15,1,0,5,450
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_f/ds_f_snip_RecursivePower_compute.java,ds_f_snip_RecursivePower_compute.java,10,9,1,0,4,178
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_f/ds_f_snip_RecursiveFibonacciVariant_compute.java,ds_f_snip_RecursiveFibonacciVariant_compute.java,7,6,1,0,1,160
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_f/ds_f_snip_RecursiveFactorial_compute.java,ds_f_snip_RecursiveFactorial_compute.java,7,6,1,0,2,143
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_f/ds_f_snip_RecursiveCrossSum_compute.java,ds_f_snip_RecursiveCrossSum_compute.java,7,6,1,0,2,161
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_f/ds_f_snip_RecursiveBinaryToDecimal_compute.java,ds_f_snip_RecursiveBinaryToDecimal_compute.java,10,9,1,0,3,235
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_f/ds_f_snip_GreatestCommonDivisor_compute.java,ds_f_snip_GreatestCommonDivisor_compute.java,17,16,1,0,5,405
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_f/ds_f_snip_DumbSort_compute.java,ds_f_snip_DumbSort_compute.java,29,28,1,0,5,513
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_f/ds_f_snip_CountVowels_compute.java,ds_f_snip_CountVowels_compute.java,13,12,1,0,4,350
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_f/ds_f_snip_ContainsSubstring_compute.java,ds_f_snip_ContainsSubstring_compute.java,19,18,1,0,8,547
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_f/ds_f_snip_ArrayAverage_compute.java,ds_f_snip_ArrayAverage_compute.java,11,10,1,0,1,293
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_9$nc/ds_9$nc_snip_9_shortenText513.java,ds_9$nc_snip_9_shortenText513.java,30,21,9,0,3,1086
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_9$nc/ds_9$nc_snip_8_getMove.java,ds_9$nc_snip_8_getMove.java,34,27,7,0,3,1137
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_9$nc/ds_9$nc_snip_7_getMove413.java,ds_9$nc_snip_7_getMove413.java,26,19,7,0,3,984
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_9$nc/ds_9$nc_snip_6_writeUTable323.java,ds_9$nc_snip_6_writeUTable323.java,39,32,7,0,9,1449
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_9$nc/ds_9$nc_snip_5_copyUTable313.java,ds_9$nc_snip_5_copyUTable313.java,32,25,7,0,9,1389
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_9$nc/ds_9$nc_snip_4_apply223.java,ds_9$nc_snip_4_apply223.java,34,27,7,0,11,1484
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_9$nc/ds_9$nc_snip_3_apply213.java,ds_9$nc_snip_3_apply213.java,31,24,7,0,11,1357
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_9$nc/ds_9$nc_snip_2_logAndEmailSeriousProblemS123.java,ds_9$nc_snip_2_logAndEmailSeriousProblemS123.java,21,11,10,0,0,897
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_9$nc/ds_9$nc_snip_1_logAndEmailSeriousProblemS113.java,ds_9$nc_snip_1_logAndEmailSeriousProblemS113.java,19,9,10,0,0,815
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_9$nc/ds_9$nc_snip_10_shortenText523.java,ds_9$nc_snip_10_shortenText523.java,33,24,9,0,3,1176
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_9$gc/ds_9$gc_snip_9_shortenText511.java,ds_9$gc_snip_9_shortenText511.java,38,21,17,0,3,1530
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_9$gc/ds_9$gc_snip_8_getMove421.java,ds_9$gc_snip_8_getMove421.java,39,27,12,0,3,1389
