,dataset_id,snippet_id,person_id,time_to_give_output,correct_output_rating,output_difficulty,brain_deact_31ant,brain_deact_31post,brain_deact_32,time_to_understand,readability_level,binary_understandability,correct_verif_questions,gap_accuracy,readability_level_ba,readability_level_before,time_to_read_complete,perc_correct_output,complexity_level,brain_deact_31,warnings_checker_framework,warnings_typestate_checker,warnings_infer,warnings_openjml,warning_sum
0,1,1,1.0,28.807,1.0,3.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0
1,1,1,2.0,89.007,1.0,2.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0
2,1,1,3.0,53.406,2.0,4.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0
3,1,1,4.0,63.906,2.0,4.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0
4,1,1,5.0,77.075,2.0,4.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0
5,1,1,6.0,42.007,2.0,3.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0
6,1,1,7.0,55.816,0.0,3.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0
7,1,1,8.0,36.49,2.0,4.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0
8,1,1,9.0,85.862,1.0,3.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0
9,1,1,10.0,47.273,2.0,3.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0
10,1,1,11.0,26.76,2.0,4.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0
11,1,1,12.0,27.303,2.0,4.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0
12,1,1,13.0,94.955,2.0,3.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0
13,1,1,14.0,100.71,1.0,3.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0
14,1,1,15.0,54.376,1.0,3.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0
15,1,1,16.0,41.042,1.0,3.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0
16,1,1,17.0,37.95,0.0,2.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0
17,1,1,18.0,88.788,1.0,4.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0
18,1,1,19.0,30.399,1.0,4.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0
19,1,1,20.0,97.839,0.0,3.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0
20,1,1,21.0,55.542,1.0,3.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0
21,1,1,22.0,41.999,2.0,3.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0
22,1,1,23.0,144.471,1.0,3.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0
23,1,1,24.0,141.864,0.0,4.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0
24,1,1,25.0,62.55,0.0,3.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0
25,1,1,26.0,42.207,1.0,3.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0
26,1,1,27.0,97.56,0.0,2.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0
27,1,1,28.0,137.981,0.0,2.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0
28,1,1,29.0,42.292,2.0,4.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0
29,1,1,30.0,59.661,1.0,4.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0
30,1,1,31.0,111.687,1.0,2.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0
31,1,1,32.0,55.737,1.0,4.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0
32,1,1,33.0,94.042,2.0,3.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0
