feature1,feature2,tau,p-value,missing values in feature1,missing values in feature2,feature to remove
CIC (avg),CIC (max),0.8010627544145619,2.902332837324469e-110,0,0,CIC (max)
CIC (avg),Comments (area),0.8167680704102529,6.379022135717908e-125,0,0,Comments (area)
CIC (max),Comments (area),0.7420325243476039,1.3744073000505426e-93,0,0,Comments (area)
CIC (max),Operators/comments (area),-0.7076869743691526,4.3441558374353997e-60,0,140,Operators/comments (area)
CICsyn (max),Operators/literals (area).1,1.0,2.8210569271137134e-12,0,409,Operators/literals (area).1
MIDQ (min),Operators/literals (area).1,0.816496580927726,1.843280069401823e-07,0,409,Operators/literals (area).1
AEDQ (avg),AEDQ (max),0.7863268682694166,8.736673815492708e-124,0,0,AEDQ (max)
AEDQ (avg),Operators/literals (area).1,1.0,2.8210569271137134e-12,0,409,Operators/literals (area).1
EAP (avg),EAP (max),0.8622803374724969,2.2088435027746866e-143,0,0,EAP (max)
IMSQ (min),IMSQ (avg),0.7726420070111059,1.4955524855265048e-113,0,0,IMSQ (avg)
ITID (avg),Operators/literals (area).1,-1.0,2.8210569271137134e-12,0,409,Operators/literals (area).1
#comments (avg),Identifiers/comments (area),-0.7052041162338928,3.0778208699973345e-71,0,140,Identifiers/comments (area)
#comments (avg),Operators/comments (area),-0.7168633360949795,1.4975247871139124e-73,0,140,Operators/comments (area)
Indentation length (avg),#spaces (avg),0.8869767643942676,5.808389157491416e-159,0,0,#spaces (avg)
Indentation length (avg),Indentation length (max),0.8291890464931774,4.169951441037254e-125,0,0,Indentation length (max)
#loops (avg),#loops (dft),0.7633879214536696,3.262325911459402e-79,0,0,#loops (dft)
#numbers (avg),#numbers (max),0.7844298037468831,2.8109581807782833e-102,0,0,#numbers (max)
#spaces (avg),Indentation length (max),0.7829206384558044,1.6526675550738468e-116,0,0,Indentation length (max)
Line length (max),Identifiers (Visual X),0.7018121053435076,4.0643368414541524e-103,0,0,Identifiers (Visual X)
Line length (max),Keywords (Visual X),0.7078957356223157,8.309128324522718e-105,0,0,Keywords (Visual X)
Line length (max),Operators (Visual X),0.7021875732554167,3.1674118773685937e-103,0,0,Operators (Visual X)
LOC,#comments (dft),0.7892628854682571,2.3326411072828446e-124,0,0,#comments (dft)
LOC,Identifiers (Visual Y),0.978010132370676,4.678980878267773e-195,0,0,Identifiers (Visual Y)
LOC,Keywords (Visual Y),0.9728502959774029,5.02336365688924e-193,0,0,Keywords (Visual Y)
LOC,Operators (Visual Y),0.978010132370676,4.678980878267773e-195,0,0,Operators (Visual Y)
#assignments (dft),#commas (dft),0.8319303332448803,5.06803522509808e-139,0,0,#commas (dft)
#assignments (dft),#keywords (dft),0.8729567766690343,5.349435356912716e-153,0,0,#keywords (dft)
#assignments (dft),#identifiers (dft),0.8989617280670364,9.743535443893092e-163,0,0,#identifiers (dft)
#assignments (dft),#parenthesis (dft),0.924624551415236,2.6903348185093033e-171,0,0,#parenthesis (dft)
