feature_set,warning_feature,target,use_smote,#models_F1_mean_improved / 6,#models_F1_median_improved / 6,#models_improved_both_F1(median+mean) / 6,#models_improved_F1_mean_with_statistical_significance / 6,#models_improved_F1_median_with_statistical_significance / 6,#models_improved_both_F1(mean+median)_with_statistical_significance / 6,avg(mean_F1_improvement),median(mean_F1_improvement),q3(mean_F1_improvement),avg(median_F1_improvement),median(median_F1_improvement),q3(median_F1_improvement),#models_AUC_mean_improved / 6,#models_AUC_median_improved / 6,#models_improved_both_AUC(median+mean) / 6,#models_improved_in_F1(median+mean)+AUC(median+mean) / 12,#models_improved_AUC_mean_with_statistical_significance / 6,#models_improved_AUC_median_with_statistical_significance / 6,#models_improved_both_AUC(mean+median)_with_statistical_significance / 6,#models_improved_F1(mean+median)+AUC(mean+median)_with_statistical_significance / 12,avg(mean_AUC_improvement),median(mean_AUC_improvement),q3(mean_AUC_improvement),avg(median_AUC_improvement),median(median_AUC_improvement),q3(median_AUC_improvement)
set1,warnings_checker_framework,PBU,True,2,2,2,0,0,0,0.004133927381564417,-0.00197080141930335,0.010535840310951474,0.0029256995813685843,-0.00280896252796985,0.010245856114172,1,1,1,0,0,0,0,0,-0.0038635274114738167,-0.0061213447715298,-0.002181630334723875,-0.004601393214120133,-0.005223573652976,-0.0016299185224356249
set1,warnings_checker_framework,PBU,False,1,1,0,0,0,0,-0.0021431124114530665,-0.00128728842169785,-0.000268793448804025,-0.0029687371807477665,-0.0020991475603787998,-0.000243193433777275,2,1,1,0,0,0,0,0,0.0010510182467505166,-1.3655761643249775e-05,0.0010952045193187501,-0.0010116144701019833,-0.0008960573476702,0.0
set1,warnings_checker_framework,ABU50,True,5,5,4,1,1,1,0.0020697927072006825,0.0088070895124803,0.01152991049076695,0.010785718870251983,0.0120835076850459,0.014116370818350675,5,3,3,6,1,1,1,2,0.007413720538720466,0.0080555555555555,0.00941287878787865,0.00420033670033665,0.00328282828282825,0.008345959595959549
set1,warnings_checker_framework,ABU50,False,4,3,3,0,0,0,0.00521862222159284,0.0025220680958386,0.0092542857603307,0.00362044648350524,0.0025220680958386,0.00314972795616,3,2,2,4,1,0,0,0,0.0040454545454545,0.0065656565656565,0.0066414141414141,0.0023535353535353446,0.0,0.0054040404040405
set1,warnings_checker_framework,BD50,True,3,2,2,1,1,1,0.002588963112300434,0.00157863759007045,0.00689977175555285,-0.002192213896874567,-0.001349820512502,0.001128762541806075,2,1,1,2,1,1,1,2,-0.005067541003099216,-0.0015522875816993,0.002106347233728975,-0.009580494952284467,-0.0039883089385989,-0.00077614379084965
set1,warnings_checker_framework,BD50,False,2,2,2,0,0,0,0.002455137107491867,0.0,0.0069497581876731005,0.0037346183564019833,0.0,0.0069497581876731005,1,1,1,0,0,0,0,0,-0.00016596857835465004,-0.0003011944214305,0.0,0.0005071688299733166,0.0,0.0
set1,warnings_infer,PBU,True,2,3,2,0,0,0,0.03306194471845925,-0.0020347579046112,0.0005632069791574499,0.03525159445674975,0.0016925145244154,0.0059058347037331,1,1,1,0,0,0,0,0,-0.005517634974418556,-0.0015862989730431,-3.9824771007525e-05,-0.003621361093157333,-0.00140064046066155,-0.000341897291262725
set1,warnings_infer,PBU,False,1,0,0,0,0,0,-0.0017750400405018164,-0.00101805608912795,0.0,-0.0021914631475452497,-0.00125678161313045,-0.00011936276200125,1,1,1,0,0,0,0,0,-0.002061030606626683,-0.00225507765830345,0.0,-0.004184294024325733,-0.00225507765830345,0.0
set1,warnings_infer,ABU50,True,2,2,1,0,0,0,-0.00859923093584245,-0.003477344573235,0.000992605842392175,0.0054742800855024825,-0.00018704620261855,0.00880243425342315,3,3,3,2,0,0,0,0,0.0021718374218373834,0.00091666666666665,0.007162878787878749,0.003779461279461283,0.00175505050505045,0.00758207070707065
set1,warnings_infer,ABU50,False,0,1,0,0,0,0,-0.00221740146351486,-0.0005650253316173,0.0,-0.0012106552005713,0.0,0.0,0,0,0,0,0,0,0,0,-0.0027914141414141,-0.0010151515151515,0.0,-0.0025606060606060198,-0.0004040404040404,0.0
