model,iteration,hyperparameters,target,tp_c,tn_c,fp_c,fn_c,n_instances_c,n_positives_c,n_negatives_c,tp_cw,tn_cw,fp_cw,fn_cw,n_instances_cw,n_positives_cw,n_negatives_cw,precision_c,recall_c,f1_c,accuracy_c,precision_cw,recall_cw,f1_cw,accuracy_cw,auc_c,auc_cw,diff_precision,diff_recall,diff_f1,diff_accuracy,diff_auc,experiment,use_smote
SVC,overall,"{'degree': 2, 'C': 10, 'kernel': 'poly', 'random_state': 42}",BD50,51,195,163,35,444,86,358,53,192,166,33,444,86,358,0.2383177570093458,0.5930232558139535,0.34,0.5540540540540541,0.2420091324200913,0.6162790697674418,0.3475409836065574,0.5518018018018018,0.5686470127957287,0.575918254625794,0.0036913754107455,0.0232558139534883,0.0075409836065573,-0.0022522522522522,0.0072712418300653,exp120-BD50-feature-set4-SMOTE,True
SVC,overall,"{'degree': 2, 'random_state': 42, 'kernel': 'poly', 'C': 1}",BD50,79,64,294,7,444,86,358,79,64,294,7,444,86,358,0.2117962466487935,0.9186046511627908,0.3442265795206972,0.322072072072072,0.2117962466487935,0.9186046511627908,0.3442265795206972,0.322072072072072,0.548240587314738,0.548240587314738,0.0,0.0,0.0,0.0,0.0,exp120-BD50-feature-set4-SMOTE,True
SVC,overall,"{'degree': 2, 'random_state': 42, 'C': 1, 'kernel': 'sigmoid'}",BD50,54,199,159,32,444,86,358,54,199,159,32,444,86,358,0.2535211267605634,0.627906976744186,0.3612040133779264,0.5698198198198198,0.2535211267605634,0.627906976744186,0.3612040133779264,0.5698198198198198,0.5920061216975052,0.5920061216975052,0.0,0.0,0.0,0.0,0.0,exp120-BD50-feature-set4-SMOTE,True
SVC,overall,"{'degree': 2, 'kernel': 'rbf', 'random_state': 42, 'C': 1}",BD50,64,140,218,22,444,86,358,64,140,218,22,444,86,358,0.226950354609929,0.7441860465116279,0.3478260869565217,0.4594594594594595,0.226950354609929,0.7441860465116279,0.3478260869565217,0.4594594594594595,0.5668795452453281,0.5668795452453281,0.0,0.0,0.0,0.0,0.0,exp120-BD50-feature-set4-SMOTE,True
SVC,overall,"{'degree': 4, 'random_state': 42, 'C': 0.1, 'kernel': 'poly'}",BD50,81,53,305,5,444,86,358,79,54,304,7,444,86,358,0.2098445595854922,0.9418604651162792,0.3432203389830509,0.3018018018018018,0.206266318537859,0.9186046511627908,0.3368869936034115,0.2995495495495495,0.5446883917886403,0.5343125747951764,-0.0035782410476332,-0.0232558139534884,-0.0063333453796393,-0.0022522522522522,-0.0103758169934639,exp120-BD50-feature-set4-SMOTE,True
SVC,overall,"{'degree': 3, 'random_state': 42, 'kernel': 'poly', 'C': 1}",BD50,79,65,293,7,444,86,358,79,62,296,7,444,86,358,0.2123655913978494,0.9186046511627908,0.3449781659388646,0.3243243243243243,0.2106666666666666,0.9186046511627908,0.3427331887201735,0.3175675675675675,0.5496294762036269,0.5454628095369604,-0.0016989247311827,0.0,-0.0022449772186911,-0.0067567567567567,-0.0041666666666665,exp120-BD50-feature-set4-SMOTE,True
knn_classifier,overall,"{'n_neighbors': 15, 'weights': 'uniform', 'metric': 'euclidean'}",BD50,52,215,143,34,444,86,358,52,213,145,34,444,86,358,0.2666666666666666,0.6046511627906976,0.3701067615658363,0.6013513513513513,0.2639593908629442,0.6046511627906976,0.3674911660777385,0.5968468468468469,0.6039860075485594,0.6011691061401085,-0.0027072758037224,0.0,-0.0026155954880978,-0.0045045045045044,-0.0028169014084508,exp120-BD50-feature-set4-SMOTE,True
knn_classifier,overall,"{'metric': 'manhattan', 'weights': 'uniform', 'n_neighbors': 15}",BD50,56,190,168,30,444,86,358,56,190,168,30,444,86,358,0.25,0.6511627906976745,0.3612903225806452,0.5540540540540541,0.25,0.6511627906976745,0.3612903225806452,0.5540540540540541,0.5913295130258676,0.5913295130258676,0.0,0.0,0.0,0.0,0.0,exp120-BD50-feature-set4-SMOTE,True
logistic_regression,overall,"{'random_state': 42, 'solver': 'liblinear', 'penalty': 'l1', 'C': 1}",BD50,32,299,59,54,444,86,358,31,296,62,55,444,86,358,0.3516483516483517,0.3720930232558139,0.3615819209039547,0.7454954954954955,0.3333333333333333,0.3604651162790697,0.3463687150837989,0.7364864864864865,0.6034750989597717,0.5934260793519286,-0.0183150183150183,-0.0116279069767442,-0.0152132058201558,-0.009009009009009,-0.0100490196078431,exp120-BD50-feature-set4-SMOTE,True
logistic_regression,overall,"{'penalty': 'l2', 'random_state': 42, 'C': 0.1, 'solver': 'liblinear'}",BD50,35,286,72,51,444,86,358,35,290,68,51,444,86,358,0.3271028037383177,0.4069767441860465,0.3626943005181347,0.722972972972973,0.3398058252427184,0.4069767441860465,0.3703703703703703,0.7319819819819819,0.6030079167817363,0.6086025959679647,0.0127030215044007,0.0,0.0076760698522356,0.0090090090090089,0.0055946791862284,exp120-BD50-feature-set4-SMOTE,True
logistic_regression,overall,"{'C': 20, 'random_state': 42, 'solver': 'liblinear', 'penalty': 'l1'}",BD50,29,300,58,57,444,86,358,29,300,58,57,444,86,358,0.3333333333333333,0.3372093023255814,0.3352601156069364,0.740990990990991,0.3333333333333333,0.3372093023255814,0.3352601156069364,0.740990990990991,0.5878900856117094,0.5878900856117094,0.0,0.0,0.0,0.0,0.0,exp120-BD50-feature-set4-SMOTE,True
logistic_regression,overall,"{'solver': 'saga', 'random_state': 42, 'C': 100000000.0, 'penalty': 'l1'}",BD50,54,215,143,32,444,86,358,52,218,140,34,444,86,358,0.2741116751269035,0.627906976744186,0.381625441696113,0.6058558558558559,0.2708333333333333,0.6046511627906976,0.3741007194244604,0.6081081081081081,0.6144044002577557,0.6068063610420694,-0.0032783417935702,-0.0232558139534884,-0.0075247222716526,0.0022522522522522,-0.0075980392156862,exp120-BD50-feature-set4-SMOTE,True
logistic_regression,overall,"{'C': 15, 'random_state': 42, 'solver': 'liblinear', 'penalty': 'l1'}",BD50,29,300,58,57,444,86,358,29,300,58,57,444,86,358,0.3333333333333333,0.3372093023255814,0.3352601156069364,0.740990990990991,0.3333333333333333,0.3372093023255814,0.3352601156069364,0.740990990990991,0.5878900856117094,0.5878900856117094,0.0,0.0,0.0,0.0,0.0,exp120-BD50-feature-set4-SMOTE,True
logistic_regression,overall,"{'solver': 'saga', 'C': 0.01, 'penalty': 'l1', 'random_state': 42}",BD50,55,211,147,31,444,86,358,53,214,144,33,444,86,358,0.2722772277227723,0.6395348837209303,0.3819444444444445,0.5990990990990991,0.2690355329949238,0.6162790697674418,0.3745583038869257,0.6013513513513513,0.6143457148117464,0.6071331584276904,-0.0032416947278484,-0.0232558139534884,-0.0073861405575187,0.0022522522522522,-0.0072125563840559,exp120-BD50-feature-set4-SMOTE,True
logistic_regression,overall,"{'C': 10, 'solver': 'liblinear', 'penalty': 'l1', 'random_state': 42}",BD50,29,300,58,57,444,86,358,29,300,58,57,444,86,358,0.3333333333333333,0.3372093023255814,0.3352601156069364,0.740990990990991,0.3333333333333333,0.3372093023255814,0.3352601156069364,0.740990990990991,0.5878900856117094,0.5878900856117094,0.0,0.0,0.0,0.0,0.0,exp120-BD50-feature-set4-SMOTE,True
randomForest_classifier,overall,"{'n_estimators': 100, 'max_depth': 5, 'random_state': 42, 'min_samples_split': 15, 'min_samples_leaf': 5, 'bootstrap': False, 'max_features': 'log2'}",BD50,40,261,97,46,444,86,358,42,256,102,44,444,86,358,0.291970802919708,0.4651162790697674,0.358744394618834,0.6779279279279279,0.2916666666666667,0.4883720930232558,0.3652173913043478,0.6711711711711712,0.5974431556660222,0.6022438552885944,-0.0003041362530413,0.0232558139534883,0.0064729966855138,-0.0067567567567566,0.0048006996225721,exp120-BD50-feature-set4-SMOTE,True
randomForest_classifier,overall,"{'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 5, 'random_state': 42, 'bootstrap': True, 'n_estimators': 10, 'min_samples_split': 10}",BD50,41,255,103,45,444,86,358,39,259,99,47,444,86,358,0.2847222222222222,0.4767441860465116,0.3565217391304348,0.6666666666666666,0.2826086956521739,0.4534883720930232,0.3482142857142857,0.6711711711711712,0.5949726134585289,0.5888417103930774,-0.0021135265700483,-0.0232558139534884,-0.008307453416149,0.0045045045045045,-0.0061309030654514,exp120-BD50-feature-set4-SMOTE,True
randomForest_classifier,overall,"{'min_samples_leaf': 4, 'max_depth': 5, 'random_state': 42, 'bootstrap': True, 'n_estimators': 10, 'max_features': 'log2', 'min_samples_split': 10}",BD50,40,245,113,46,444,86,358,40,255,103,46,444,86,358,0.261437908496732,0.4651162790697674,0.3347280334728034,0.6418918918918919,0.2797202797202797,0.4651162790697674,0.3493449781659388,0.6644144144144144,0.5751231243671178,0.5897829789192672,0.0182823712235477,0.0,0.0146169446931354,0.0225225225225225,0.0146598545521494,exp120-BD50-feature-set4-SMOTE,True
randomForest_classifier,overall,"{'min_samples_leaf': 4, 'max_depth': 5, 'random_state': 42, 'n_estimators': 50, 'min_samples_split': 2, 'bootstrap': False, 'max_features': 'log2'}",BD50,41,258,100,45,444,86,358,40,253,105,46,444,86,358,0.2907801418439716,0.4767441860465116,0.3612334801762114,0.6734234234234234,0.2758620689655172,0.4651162790697674,0.3463203463203463,0.6599099099099099,0.5991979655712051,0.5863320445549112,-0.0149180728784543,-0.0116279069767442,-0.014913133855865,-0.0135135135135134,-0.0128659210162939,exp120-BD50-feature-set4-SMOTE,True
