model,iteration,hyperparameters,target,tp_c,tn_c,fp_c,fn_c,n_instances_c,n_positives_c,n_negatives_c,tp_cw,tn_cw,fp_cw,fn_cw,n_instances_cw,n_positives_cw,n_negatives_cw,precision_c,recall_c,f1_c,accuracy_c,precision_cw,recall_cw,f1_cw,accuracy_cw,auc_c,auc_cw,diff_precision,diff_recall,diff_f1,diff_accuracy,diff_auc,experiment,use_smote,warning_feature,feature_set
bayes_network,overall,{'var_smoothing': 1e-09},PBU,123,59,39,123,344,246,98,121,60,38,125,344,246,98,0.7592592592592593,0.5,0.6029411764705882,0.5290697674418605,0.7610062893081762,0.491869918699187,0.5975308641975309,0.5261627906976745,0.5498549946294308,0.5511181525241676,0.0017470300489168,-0.0081300813008129,-0.0054103122730573,-0.002906976744186,0.0012631578947368,exp37-PBU-feature-set2-SMOTE,True,warnings_typestate_checker,set2
logistic_regression,overall,"{'solver': 'liblinear', 'penalty': 'l2', 'random_state': 1699304546, 'C': 0.01}",PBU,161,51,47,85,344,246,98,165,53,45,81,344,246,98,0.7740384615384616,0.6544715447154471,0.709251101321586,0.6162790697674418,0.7857142857142857,0.6707317073170732,0.7236842105263158,0.6337209302325582,0.5873243823845328,0.6054876476906552,0.0116758241758241,0.0162601626016261,0.0144331092047298,0.0174418604651163,0.0181632653061224,exp37-PBU-feature-set2-SMOTE,True,warnings_typestate_checker,set2
logistic_regression,overall,"{'solver': 'liblinear', 'penalty': 'l2', 'random_state': 1699304546, 'C': 0.1}",PBU,171,48,50,75,344,246,98,168,49,49,78,344,246,98,0.7737556561085973,0.6951219512195121,0.7323340471092077,0.6366279069767442,0.7741935483870968,0.6829268292682927,0.7257019438444925,0.6308139534883721,0.5915982814178302,0.5908206229860365,0.0004378922784994,-0.0121951219512194,-0.0066321032647151,-0.0058139534883721,-0.0007776584317936,exp37-PBU-feature-set2-SMOTE,True,warnings_typestate_checker,set2
logistic_regression,overall,"{'solver': 'liblinear', 'penalty': 'l2', 'random_state': 1699304546, 'C': 5}",PBU,165,43,55,81,344,246,98,169,43,55,77,344,246,98,0.75,0.6707317073170732,0.7081545064377681,0.6046511627906976,0.7544642857142857,0.6869918699186992,0.7191489361702129,0.6162790697674418,0.5534640171858217,0.5617679914070891,0.0044642857142856,0.0162601626016259,0.0109944297324448,0.0116279069767442,0.0083039742212673,exp37-PBU-feature-set2-SMOTE,True,warnings_typestate_checker,set2
logistic_regression,overall,"{'solver': 'liblinear', 'random_state': 1699304546, 'penalty': 'l1', 'C': 0.1}",PBU,162,51,47,84,344,246,98,162,53,45,84,344,246,98,0.7751196172248804,0.6585365853658537,0.7120879120879121,0.6191860465116279,0.782608695652174,0.6585365853658537,0.7152317880794703,0.625,0.5891836734693878,0.5994468313641246,0.0074890784272935,0.0,0.0031438759915581,0.0058139534883721,0.0102631578947367,exp37-PBU-feature-set2-SMOTE,True,warnings_typestate_checker,set2
logistic_regression,overall,"{'C': 1, 'penalty': 'l2', 'solver': 'liblinear', 'random_state': 1699304546}",PBU,170,43,55,76,344,246,98,168,43,55,78,344,246,98,0.7555555555555555,0.6910569105691057,0.7218683651804672,0.6191860465116279,0.7533632286995515,0.6829268292682927,0.716417910447761,0.6133720930232558,0.5636272824919442,0.5597679914070891,-0.002192326856004,-0.0081300813008129,-0.0054504547327061,-0.0058139534883721,-0.003859291084855,exp37-PBU-feature-set2-SMOTE,True,warnings_typestate_checker,set2
knn_classifier,overall,"{'weights': 'uniform', 'metric': 'euclidean', 'n_neighbors': 15}",PBU,110,59,39,136,344,246,98,111,59,39,135,344,246,98,0.738255033557047,0.4471544715447154,0.5569620253164557,0.4912790697674418,0.74,0.4512195121951219,0.5606060606060607,0.4941860465116279,0.5246627282491945,0.5266627282491945,0.0017449664429529,0.0040650406504065,0.0036440352896049,0.002906976744186,0.002,exp37-PBU-feature-set2-SMOTE,True,warnings_typestate_checker,set2
knn_classifier,overall,"{'weights': 'uniform', 'n_neighbors': 15, 'metric': 'manhattan'}",PBU,109,57,41,137,344,246,98,111,55,43,135,344,246,98,0.7266666666666667,0.4430894308943089,0.5505050505050505,0.4825581395348837,0.7207792207792207,0.4512195121951219,0.555,0.4825581395348837,0.5128442534908702,0.5063995703544576,-0.0058874458874459,0.0081300813008129,0.0044949494949495,0.0,-0.0064446831364125,exp37-PBU-feature-set2-SMOTE,True,warnings_typestate_checker,set2
SVC,overall,"{'degree': 2, 'kernel': 'sigmoid', 'C': 1, 'random_state': 1699304546}",PBU,132,58,40,114,344,246,98,132,58,40,114,344,246,98,0.7674418604651163,0.5365853658536586,0.631578947368421,0.5523255813953488,0.7674418604651163,0.5365853658536586,0.631578947368421,0.5523255813953488,0.5646605800214822,0.5646605800214822,0.0,0.0,0.0,0.0,0.0,exp37-PBU-feature-set2-SMOTE,True,warnings_typestate_checker,set2
SVC,overall,"{'degree': 2, 'C': 1, 'kernel': 'rbf', 'random_state': 1699304546}",PBU,123,52,46,123,344,246,98,123,52,46,123,344,246,98,0.727810650887574,0.5,0.5927710843373495,0.5087209302325582,0.727810650887574,0.5,0.5927710843373495,0.5087209302325582,0.5159301825993556,0.5159301825993556,0.0,0.0,0.0,0.0,0.0,exp37-PBU-feature-set2-SMOTE,True,warnings_typestate_checker,set2
