model,iteration,hyperparameters,target,tp_c,tn_c,fp_c,fn_c,n_instances_c,n_positives_c,n_negatives_c,tp_cw,tn_cw,fp_cw,fn_cw,n_instances_cw,n_positives_cw,n_negatives_cw,precision_c,recall_c,f1_c,accuracy_c,precision_cw,recall_cw,f1_cw,accuracy_cw,auc_c,auc_cw,diff_precision,diff_recall,diff_f1,diff_accuracy,diff_auc,experiment,use_smote
SVC,overall,"{'degree': 2, 'C': 10, 'random_state': 42, 'kernel': 'sigmoid'}",BD50,17,311,47,69,444,86,358,12,301,57,74,444,86,358,0.265625,0.1976744186046511,0.2266666666666666,0.7387387387387387,0.1739130434782608,0.1395348837209302,0.1548387096774193,0.704954954954955,0.5333701555739667,0.4907230967504373,-0.0917119565217391,-0.0581395348837209,-0.0718279569892473,-0.0337837837837837,-0.0426470588235294,exp49-BD50-feature-set2-NO-SMOTE,False
SVC,overall,"{'degree': 2, 'random_state': 42, 'C': 1, 'kernel': 'sigmoid'}",BD50,6,349,9,80,444,86,358,6,342,16,80,444,86,358,0.4,0.0697674418604651,0.1188118811881188,0.7995495495495496,0.2727272727272727,0.0697674418604651,0.111111111111111,0.7837837837837838,0.5227745558317224,0.5130132099788272,-0.1272727272727273,0.0,-0.0077007700770077,-0.0157657657657658,-0.0097613458528952,exp49-BD50-feature-set2-NO-SMOTE,False
knn_classifier,overall,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",BD50,15,315,43,71,444,86,358,15,315,43,71,444,86,358,0.2586206896551724,0.1744186046511628,0.2083333333333333,0.7432432432432432,0.2586206896551724,0.1744186046511628,0.2083333333333333,0.7432432432432432,0.5265660959219369,0.5265660959219369,0.0,0.0,0.0,0.0,0.0,exp49-BD50-feature-set2-NO-SMOTE,False
knn_classifier,overall,"{'weights': 'distance', 'n_neighbors': 3, 'metric': 'euclidean'}",BD50,15,315,43,71,444,86,358,15,315,43,71,444,86,358,0.2586206896551724,0.1744186046511628,0.2083333333333333,0.7432432432432432,0.2586206896551724,0.1744186046511628,0.2083333333333333,0.7432432432432432,0.5265660959219369,0.5265660959219369,0.0,0.0,0.0,0.0,0.0,exp49-BD50-feature-set2-NO-SMOTE,False
knn_classifier,overall,"{'n_neighbors': 5, 'weights': 'uniform', 'metric': 'euclidean'}",BD50,17,330,28,69,444,86,358,17,330,28,69,444,86,358,0.3777777777777777,0.1976744186046511,0.2595419847328244,0.7815315315315315,0.3777777777777777,0.1976744186046511,0.2595419847328244,0.7815315315315315,0.5595691797845899,0.5595691797845899,0.0,0.0,0.0,0.0,0.0,exp49-BD50-feature-set2-NO-SMOTE,False
knn_classifier,overall,"{'weights': 'uniform', 'n_neighbors': 3, 'metric': 'euclidean'}",BD50,15,315,43,71,444,86,358,15,315,43,71,444,86,358,0.2586206896551724,0.1744186046511628,0.2083333333333333,0.7432432432432432,0.2586206896551724,0.1744186046511628,0.2083333333333333,0.7432432432432432,0.5265660959219369,0.5265660959219369,0.0,0.0,0.0,0.0,0.0,exp49-BD50-feature-set2-NO-SMOTE,False
knn_classifier,overall,"{'metric': 'manhattan', 'weights': 'uniform', 'n_neighbors': 3}",BD50,15,315,43,71,444,86,358,15,315,43,71,444,86,358,0.2586206896551724,0.1744186046511628,0.2083333333333333,0.7432432432432432,0.2586206896551724,0.1744186046511628,0.2083333333333333,0.7432432432432432,0.5265660959219369,0.5265660959219369,0.0,0.0,0.0,0.0,0.0,exp49-BD50-feature-set2-NO-SMOTE,False
logistic_regression,overall,"{'random_state': 42, 'solver': 'liblinear', 'C': 100000000.0, 'penalty': 'l1'}",BD50,6,352,6,80,444,86,358,5,352,6,81,444,86,358,0.5,0.0697674418604651,0.1224489795918367,0.8063063063063063,0.4545454545454545,0.0581395348837209,0.1030927835051546,0.8040540540540541,0.5266144251127682,0.5207125103562552,-0.0454545454545454,-0.0116279069767441,-0.0193561960866821,-0.0022522522522522,-0.005901914756513,exp49-BD50-feature-set2-NO-SMOTE,False
logistic_regression,overall,"{'solver': 'liblinear', 'random_state': 42, 'C': 5, 'penalty': 'l1'}",BD50,5,352,6,81,444,86,358,5,352,6,81,444,86,358,0.4545454545454545,0.0581395348837209,0.1030927835051546,0.8040540540540541,0.4545454545454545,0.0581395348837209,0.1030927835051546,0.8040540540540541,0.5210588695572126,0.5210588695572126,0.0,0.0,0.0,0.0,0.0,exp49-BD50-feature-set2-NO-SMOTE,False
logistic_regression,overall,"{'penalty': 'l2', 'random_state': 42, 'solver': 'liblinear', 'C': 100000000.0}",BD50,6,352,6,80,444,86,358,7,351,7,79,444,86,358,0.5,0.0697674418604651,0.1224489795918367,0.8063063063063063,0.5,0.0813953488372093,0.14,0.8063063063063063,0.5266144251127682,0.5310883273497191,0.0,0.0116279069767441,0.0175510204081632,0.0,0.0044739022369508,exp49-BD50-feature-set2-NO-SMOTE,False
