warning_feature,feature_set,#best_hyperparameters,use_smote,model,target,metric,code(median),code+warning(median),code(mean),code+warning(mean),diff(median),diff(mean),wilcoxon_test(p-value),cliffs_delta,cliffs_delta_result,num_of_pairs
warnings_checker_framework,set1,c (4) cw (4),True,svc,PBU,f1_positive,0.8338983050847458,0.8338983050847458,0.7757817240402897,0.7761246633929986,0.0,0.0003429393527089042,0.22484589898444546,-0.0625,negligible,4
warnings_checker_framework,set1,c (4) cw (4),True,svc,PBU,f1_weighted,0.5963342530547892,0.5963342530547892,0.5817798457534595,0.5796727803065316,0.0,-0.002107065446927958,0.7751541010155545,0.0625,negligible,4
warnings_checker_framework,set1,c (4) cw (4),True,svc,PBU,f1_negative,0.0,0.0,0.09479553903345725,0.08653846153846152,0.0,-0.008257077494995727,0.7751541010155545,0.0625,negligible,4
warnings_checker_framework,set1,c (4) cw (4),True,svc,PBU,precision_positive,0.7151162790697675,0.7151162790697675,0.718418134157817,0.7135350115001279,0.0,-0.004883122657689087,0.7751541010155545,0.4375,medium,4
warnings_checker_framework,set1,c (4) cw (4),True,svc,PBU,precision_weighted,0.5113912925905896,0.5113912925905896,0.5349938329845425,0.5300440941412413,0.0,-0.004949738843301188,0.7751541010155545,0.0625,negligible,4
warnings_checker_framework,set1,c (4) cw (4),True,svc,PBU,precision_negative,0.0,0.0,0.07456140350877193,0.06944444444444445,0.0,-0.005116959064327478,0.7751541010155545,0.0625,negligible,4
warnings_checker_framework,set1,c (4) cw (4),True,svc,PBU,recall_positive,1.0,1.0,0.8780487804878049,0.8810975609756098,0.0,0.0030487804878048808,0.22484589898444546,-0.0625,negligible,4
warnings_checker_framework,set1,c (4) cw (4),True,svc,PBU,recall_weighted,0.7151162790697675,0.7151162790697675,0.6649709302325582,0.6627906976744187,0.0,-0.0021802325581394832,0.7751541010155545,0.0625,negligible,4
warnings_checker_framework,set1,c (4) cw (4),True,svc,PBU,recall_negative,0.0,0.0,0.13010204081632654,0.11479591836734693,0.0,-0.015306122448979609,0.7751541010155545,0.0625,negligible,4
warnings_checker_framework,set1,c (4) cw (4),True,svc,PBU,auc,0.5,0.5,0.5046839419978517,0.49855236305048334,0.0,-0.006131578947368377,0.7751541010155545,0.4375,medium,4
warnings_checker_framework,set1,c (4) cw (4),True,svc,PBU,auc_weighted,0.5,0.5,0.5046839419978517,0.49855236305048334,0.0,-0.006131578947368377,0.7751541010155545,0.4375,medium,4
warnings_checker_framework,set1,c (4) cw (4),True,svc,PBU,accuracy,0.7205882352941176,0.7205882352941176,0.676470588235294,0.6617647058823529,0.0,-0.014705882352941124,0.7751541010155545,0.0625,negligible,4
warnings_checker_framework,set1,c (3) cw (3),True,knn_classifier,PBU,f1_positive,0.6652360515021459,0.7082494969818913,0.6803696752769737,0.703777297255177,0.043013445479745394,0.02340762197820334,0.25,-0.3333333333333333,medium,3
warnings_checker_framework,set1,c (3) cw (3),True,knn_classifier,PBU,f1_weighted,0.5604162901298344,0.5727285858731764,0.569421812218566,0.5726113024615062,0.012312295743342028,0.0031894902429401295,0.625,-0.3333333333333333,medium,3
warnings_checker_framework,set1,c (3) cw (3),True,knn_classifier,PBU,f1_negative,0.2972972972972972,0.2408376963350785,0.2909200335209303,0.2433578869590264,-0.05645960096221869,-0.04756214656190391,1.0,1.0,large,3
warnings_checker_framework,set1,c (3) cw (3),True,knn_classifier,PBU,precision_positive,0.7045454545454546,0.701195219123506,0.706419051588482,0.7007531560788772,-0.0033502354219485664,-0.005665895509604724,0.75,0.3333333333333333,medium,3
