feature_set,feature,Target,Kendall's Tau,p-value
set1,#numbers (dft),PBU,-0.09397527060001061,0.044940684185463806
set1,#identifiers (max),PBU,-0.02507583095726953,0.5910058765489298
set1,TC (avg),PBU,-0.05510778259162371,0.22204245954947566
set1,#parameters,PBU,-0.0647612937668021,0.1882178704566485
set1,EAP (min),PBU,-0.026667107835928627,0.5676544629456477
set1,#commas (avg),PBU,-0.05938987845160156,0.18345523230870897
set1,#operators (dft),PBU,-0.06325760341843423,0.17564459947617983
set1,Strings (Visual Y),PBU,0.06659295435339392,0.14814146354847077
set1,developer_position,PBU,0.06706667203200065,0.1855534240465696
set1,PE gen,PBU,0.03762230602442446,0.42762337829643404
set1,PE spec (java),PBU,0.1471218167542151,0.0021578190944064714
set2,Numbers (Visual X),PBU,-0.1267587911936787,0.009302679944307014
set2,developer_position,PBU,0.06706667203200065,0.1855534240465696
set2,PE gen,PBU,0.03762230602442446,0.42762337829643404
set2,PE spec (java),PBU,0.1471218167542151,0.0021578190944064714
set3,PE spec (java),PBU,0.20064193035383238,0.00268782102101665
set3,MIDQ (max),PBU,-0.059170244302340406,0.4140128274195978
set3,CICsyn (max),PBU,0.08478665467772974,0.18777933532729774
set3,NMI (avg),PBU,0.10991647997730292,0.08176516672375934
set3,TC (avg),PBU,-0.056247113100979775,0.377553178426691
set3,TC (max),PBU,-0.05534386583435617,0.39609186039256716
set3,Line length (max),PBU,-0.06315598095453731,0.3204742857966868
set3,LOC,PBU,-0.054337971014980106,0.3965136388395297
set3,Line length (dft),PBU,-0.09777735983793726,0.12529164426469183
set3,Strings (area),PBU,0.11166225065738485,0.0885792408756609
set4,developer_position,PBU,0.06706667203200065,0.1855534240465696
set4,PE gen,PBU,0.03762230602442446,0.42762337829643404
set4,PE spec (java),PBU,0.1471218167542151,0.0021578190944064714
set4,CR,PBU,-0.024172931389019974,0.6472538210021026
set4,CIC (avg),PBU,0.021005570666089168,0.6469760971267864
set4,CIC (max),PBU,-0.017971115629933258,0.7091839504204381
set4,CICsyn (avg),PBU,0.10692195387794373,0.016375185028423386
set4,CICsyn (max),PBU,0.09981435652254247,0.027787925119181274
set4,MIDQ (min),PBU,0.11008813798688019,0.0298732838123034
set4,MIDQ (avg),PBU,0.08948632524429768,0.052404581744821814
set4,MIDQ (max),PBU,0.002440545442067582,0.9620127072200075
set4,AEDQ (min),PBU,0.07389052842742846,0.10652470465247617
set4,AEDQ (avg),PBU,0.052121145100643036,0.24324879502565522
set4,AEDQ (max),PBU,-0.004160174656373432,0.927625456462396
set4,EAP (min),PBU,-0.026667107835928627,0.5676544629456477
set4,EAP (avg),PBU,-0.07736442389229428,0.08782104925551816
set4,EAP (max),PBU,-0.08526296138996872,0.06246906921544749
set4,Cyclomatic complexity,PBU,-0.04781421831101219,0.3334368569914954
set4,IMSQ (min),PBU,-0.02634933709291969,0.5697683194726639
set4,IMSQ (avg),PBU,-0.019841955789292487,0.6592247403002971
set4,IMSQ (max),PBU,-0.05934293488215276,0.2253099804784302
set4,Readability,PBU,0.04018938306423211,0.3669139443306725
set4,ITID (avg),PBU,-0.0496079335559829,0.26539948597485274
set4,NMI (avg),PBU,0.07973659223129938,0.07343444778862201
set4,NMI (max),PBU,-0.025172791423055986,0.6136934983291487
set4,NM (avg),PBU,-0.12324387376421642,0.005659585599046971
set4,NM (max),PBU,-0.06454206144326491,0.19200918959436863
set4,TC (avg),PBU,-0.05510778259162371,0.22204245954947566
set4,TC (min),PBU,0.053169334500345534,0.2406763016105835
set4,TC (max),PBU,-0.05527136880086231,0.23080534418110665
set4,#assignments (avg),PBU,-0.0027343172047827316,0.9511365804031479
set4,#blank lines (avg),PBU,0.041184935580703984,0.36238834683692356
set4,#commas (avg),PBU,-0.05938987845160156,0.18345523230870897
set4,#comments (avg),PBU,0.08026251296584556,0.0731123102647067
set4,#comparisons (avg),PBU,-0.07109014719205135,0.12360319808553673
set4,Identifiers length (avg),PBU,-0.07122778809386542,0.1097995529582504
set4,#conditionals (avg),PBU,-0.04909511162684935,0.2840049882696577
set4,Indentation length (avg),PBU,-0.013059976784631569,0.7741940010852708
set4,#keywords (avg),PBU,-0.026767361106761152,0.5495060756585317
set4,Line length (avg),PBU,-0.010863441760371661,0.8073168041311689
set4,#loops (avg),PBU,-0.011116045634043524,0.8240933433624613
set4,#identifiers (avg),PBU,-0.019853876320679243,0.6557936380080803
set4,#numbers (avg),PBU,-0.018819924898155316,0.6846415891968934
set4,#operators (avg),PBU,-0.028635885381025666,0.537660736578055
set4,#parenthesis (avg),PBU,-0.07354624922052576,0.1000234886315671
set4,#periods (avg),PBU,-0.057728491574609624,0.19525651502045804
set4,#spaces (avg),PBU,-0.004495217280153791,0.9196143014795412
set4,Identifiers length (max),PBU,-0.012860811375084708,0.7777473713803356
set4,Indentation length (max),PBU,-0.030071528260977688,0.522807133352478
set4,#keywords (max),PBU,-0.056580383904645995,0.2553415665303217
set4,Line length (max),PBU,-0.09734890198415622,0.029862441854249945
set4,#identifiers (max),PBU,-0.02507583095726953,0.5910058765489298
set4,#numbers (max),PBU,-0.01972543163518719,0.6830583764474849
set4,#characters (max),PBU,-0.03317227301579518,0.4566917832130387
set4,#words (max),PBU,0.03160868408965865,0.48544143806900053
set4,Entropy,PBU,-0.014716485143360623,0.7411041818171622
set4,Volume,PBU,-0.06774934615088928,0.12825928251801325
set4,LOC,PBU,-0.004114331180724057,0.9275950337363323
set4,#assignments (dft),PBU,-0.04095016220762351,0.36426896120007934
set4,#commas (dft),PBU,-0.02145295606402423,0.6341620910898724
set4,#comments (dft),PBU,-0.0007333816299181128,0.987041648857782
set4,#comparisons (dft),PBU,-0.08710846266875541,0.060324952945257325
set4,#conditionals (dft),PBU,-0.09298638400342514,0.043935749968052815
set4,Indentation length (dft),PBU,0.018112163118251173,0.6906130542976194
set4,#keywords (dft),PBU,-0.0014639278261727748,0.9740943134516038
set4,Line length (dft),PBU,-0.04352317009218768,0.3336151356512652
set4,#loops (dft),PBU,-0.01540635817347172,0.7581619939482833
set4,#identifiers (dft),PBU,-0.054779509563875235,0.22354365676251975
set4,#numbers (dft),PBU,-0.09397527060001061,0.044940684185463806
set4,#operators (dft),PBU,-0.06325760341843423,0.17564459947617983
set4,#parenthesis (dft),PBU,-0.026721480337296648,0.5532190594109861
set4,#periods (dft),PBU,-0.03279140808456565,0.46710156227523225
set4,#spaces (dft),PBU,0.04897342366739859,0.27910934494886297
set4,Comments (Visual X),PBU,-0.06712180233322039,0.14768011221195904
set4,Comments (Visual Y),PBU,-0.021131409149780803,0.6477418237096442
set4,Identifiers (Visual X),PBU,-0.06261195497357065,0.15982346119104518
set4,Identifiers (Visual Y),PBU,-0.006903369394521893,0.8768342167421819
set4,Keywords (Visual X),PBU,-0.06563936310644979,0.1407539334739866
set4,Keywords (Visual Y),PBU,-0.006849854903091491,0.8777814581382823
set4,Numbers (Visual X),PBU,-0.1267587911936787,0.009302679944307014
set4,Numbers (Visual Y),PBU,-0.07630172312067689,0.1174676291203495
set4,Strings (Visual X),PBU,0.04333738024769584,0.346647883360656
set4,Strings (Visual Y),PBU,0.06659295435339392,0.14814146354847077
set4,Literals (Visual X),PBU,-0.044441284203434815,0.40424343436926424
set4,Literals (Visual Y),PBU,-0.044441284203434815,0.40424343436926424
set4,Operators (Visual X),PBU,-0.0660368824251164,0.13819223994333105
set4,Operators (Visual Y),PBU,-0.005458478125901031,0.902467249850931
set4,Comments (area),PBU,0.03571070967261158,0.43948138299089656
set4,Identifiers (area),PBU,-0.06052488980778497,0.17420679356772983
set4,Keywords (area),PBU,-0.03633633968124314,0.4146336459926173
set4,Numbers (area),PBU,-0.08265749776226324,0.08990594655447544
set4,Strings (area),PBU,0.10535224452955741,0.022147937615900497
set4,Literals (area),PBU,-0.04458349631288581,0.40274117555334155
set4,Operators (area),PBU,-0.05918702752202491,0.18392239620350437
set4,Keywords/identifiers (area),PBU,-0.0045487317715841935,0.9186606313597265
set4,Numbers/identifiers (area),PBU,-0.07355773183630886,0.13147254967587085
set4,Strings/identifiers (area),PBU,0.10894730912560735,0.017986723995847935
set4,Literals/identifiers (area),PBU,-0.04586340529794473,0.38937201948732647
set4,Operators/literals (area),PBU,0.05431720880185831,0.22267537679114346
set4,Numbers/keywords (area),PBU,-0.0820089493294483,0.09245493391111213
set4,Strings/keywords (area),PBU,0.09625223727080598,0.03659928838586383
set4,Literals/keywords (area),PBU,-0.04458349631288581,0.40274117555334155
set4,Operators/keywords (area),PBU,0.010863441760371661,0.8073168041311689
set4,#aligned blocks,PBU,0.001026242358799452,0.9817740717529859
set4,Extent of aligned blocks,PBU,0.01323545870320227,0.7674702571947993
set4,#nested blocks (avg),PBU,-0.0818893194420892,0.07476742693710965
set4,#parameters,PBU,-0.0647612937668021,0.1882178704566485
set4,#statements,PBU,0.017487043971239246,0.6980833921451275
set1,CICsyn (avg),BD50,-0.06227523834744844,0.162700103395494
set1,Identifiers (area),BD50,-0.015201514608645337,0.7332705957428247
set1,developer_position,BD50,-0.1329486734087056,0.008770677607961148
set1,PE gen,BD50,-0.11804211693992417,0.012945690054377876
set1,PE spec (java),BD50,-0.11160474006404869,0.02013361450549201
set2,AEDQ (min),BD50,-0.0313813382065898,0.49389497796330806
set2,#comparisons (dft),BD50,0.030317451762272317,0.5137724713569638
set2,TC (max),BD50,0.13590520966484304,0.0032532953147601496
set2,developer_position,BD50,-0.1329486734087056,0.008770677607961148
set2,PE gen,BD50,-0.11804211693992417,0.012945690054377876
set2,PE spec (java),BD50,-0.11160474006404869,0.02013361450549201
set3,PE spec (java),BD50,-0.12757327150849415,0.010565821001566172
set3,PE gen,BD50,-0.12776813616765048,0.00959092616111465
set3,CR,BD50,0.07432358693610917,0.17730048352749628
set3,Cyclomatic complexity,BD50,0.004919235062784758,0.923903198396912
set3,#assignments (avg),BD50,0.027539987168148476,0.5537352433831734
set3,#words (max),BD50,-0.047962533812215914,0.30929735555299376
set3,#conditionals (dft),BD50,0.0691386187927743,0.15001234779103548
set3,Numbers (Visual X),BD50,-0.05529653706446689,0.27705425855299237
set3,Literals (Visual Y),BD50,0.03158437109011745,0.5691954522768461
set3,#nested blocks (avg),BD50,0.06632430914789997,0.16623595797827873
set4,developer_position,BD50,-0.1329486734087056,0.008770677607961148
set4,PE gen,BD50,-0.11804211693992417,0.012945690054377876
set4,PE spec (java),BD50,-0.11160474006404869,0.02013361450549201
set4,CR,BD50,0.05322898995994081,0.31432527761120976
set4,CIC (avg),BD50,0.04774488180775255,0.2986844062006865
set4,CIC (max),BD50,0.07968220296726121,0.09875984450743767
set4,CICsyn (avg),BD50,-0.06227523834744844,0.162700103395494
set4,CICsyn (max),BD50,-0.06443754490399457,0.1561293211396537
set4,MIDQ (min),BD50,0.018790881701029223,0.7112718969587266
set4,MIDQ (avg),BD50,-0.006798389792193073,0.8830417761779982
set4,MIDQ (max),BD50,-0.006574673541344603,0.89802643609525
set4,AEDQ (min),BD50,-0.0313813382065898,0.49389497796330806
set4,AEDQ (avg),BD50,-0.01028530437487632,0.8181403652831063
set4,AEDQ (max),BD50,-0.013636448627449747,0.7661679713500811
set4,EAP (min),BD50,-0.0006449138412031527,0.9889848251407516
set4,EAP (avg),BD50,-0.01186190804822291,0.7937645521418729
set4,EAP (max),BD50,-0.0040592940502575964,0.9294098650299519
set4,Cyclomatic complexity,BD50,0.010984462237141526,0.8244266559579255
set4,IMSQ (min),BD50,0.0045377270143795185,0.9221428955600597
