Experiment,use_SMOTE,metric,model,target,#best hyperparameters,wilcoxon_test(p-value),cliffs_delta,cliffs_delta_result
exp1-PBU-feature-set1-NO-SMOTE,False,diff_f1,SVC,PBU,2,0.5,0.0,negligible
exp1-PBU-feature-set1-NO-SMOTE,False,diff_precision,SVC,PBU,2,0.5,0.0,negligible
exp1-PBU-feature-set1-NO-SMOTE,False,diff_recall,SVC,PBU,2,0.5,0.0,negligible
exp1-PBU-feature-set1-NO-SMOTE,False,diff_auc,SVC,PBU,2,0.5,0.0,negligible
exp1-PBU-feature-set1-NO-SMOTE,False,diff_f1,knn_classifier,PBU,4,1.0,0.75,large
exp1-PBU-feature-set1-NO-SMOTE,False,diff_precision,knn_classifier,PBU,4,0.0625,-0.375,medium
exp1-PBU-feature-set1-NO-SMOTE,False,diff_recall,knn_classifier,PBU,4,1.0,0.8125,large
exp1-PBU-feature-set1-NO-SMOTE,False,diff_auc,knn_classifier,PBU,4,0.0625,-0.375,medium
exp1-PBU-feature-set1-NO-SMOTE,False,diff_f1,logistic_regression,PBU,3,0.5,0.0,negligible
exp1-PBU-feature-set1-NO-SMOTE,False,diff_precision,logistic_regression,PBU,3,0.5,0.0,negligible
exp1-PBU-feature-set1-NO-SMOTE,False,diff_recall,logistic_regression,PBU,3,0.5,0.0,negligible
exp1-PBU-feature-set1-NO-SMOTE,False,diff_auc,logistic_regression,PBU,3,0.5,0.0,negligible
exp1-PBU-feature-set1-NO-SMOTE,False,diff_f1,randomForest_classifier,PBU,7,0.1484375,-0.3877551020408163,medium
exp1-PBU-feature-set1-NO-SMOTE,False,diff_precision,randomForest_classifier,PBU,7,0.078125,-0.6326530612244898,large
exp1-PBU-feature-set1-NO-SMOTE,False,diff_recall,randomForest_classifier,PBU,7,0.59375,-0.20408163265306123,small
exp1-PBU-feature-set1-NO-SMOTE,False,diff_auc,randomForest_classifier,PBU,7,0.078125,-0.6326530612244898,large
exp1-PBU-feature-set1-NO-SMOTE,False,diff_f1,mlp_classifier,PBU,6,0.28125,-0.2222222222222222,small
