metric,model,target,wilcoxon_test(p-value)
diff_f1,SVC,ABU50,0.5
diff_precision,SVC,ABU50,0.5
diff_recall,SVC,ABU50,0.5
diff_auc,SVC,ABU50,0.5
diff_f1,SVC,BD50,nan
diff_precision,SVC,BD50,nan
diff_recall,SVC,BD50,0.5
diff_auc,SVC,BD50,0.5
diff_f1,SVC,PBU,0.20818283895408263
diff_precision,SVC,PBU,0.6067714824313117
diff_recall,SVC,PBU,0.20818283895408263
diff_auc,SVC,PBU,0.6067714824313117
diff_f1,knn_classifier,ABU50,0.6875
diff_precision,knn_classifier,ABU50,0.3125
diff_recall,knn_classifier,ABU50,0.78125
diff_auc,knn_classifier,ABU50,0.78125
diff_f1,knn_classifier,BD50,0.3125
diff_precision,knn_classifier,BD50,0.8125
diff_recall,knn_classifier,BD50,0.09682321563461033
diff_auc,knn_classifier,BD50,1.0
diff_f1,knn_classifier,PBU,0.5
diff_precision,knn_classifier,PBU,0.5
diff_recall,knn_classifier,PBU,0.5
diff_auc,knn_classifier,PBU,0.7751541010155545
diff_f1,logistic_regression,ABU50,0.9704708854547317
diff_precision,logistic_regression,ABU50,0.029529114545268353
diff_recall,logistic_regression,ABU50,0.9710463672913514
diff_auc,logistic_regression,ABU50,0.1403563326342479
diff_f1,logistic_regression,BD50,nan
diff_precision,logistic_regression,BD50,0.7475074624530771
diff_recall,logistic_regression,BD50,0.7475074624530771
diff_auc,logistic_regression,BD50,0.21875
diff_f1,logistic_regression,PBU,0.8144533152386513
diff_precision,logistic_regression,PBU,0.8144533152386513
diff_recall,logistic_regression,PBU,0.5
diff_auc,logistic_regression,PBU,0.8144533152386513
diff_f1,randomForest_classifier,ABU50,0.765625
diff_precision,randomForest_classifier,ABU50,0.8125
diff_recall,randomForest_classifier,ABU50,0.6327989283529685
diff_auc,randomForest_classifier,ABU50,0.7109375
diff_f1,randomForest_classifier,BD50,nan
diff_precision,randomForest_classifier,BD50,0.032657852871826265
diff_recall,randomForest_classifier,BD50,0.13569800878653
diff_auc,randomForest_classifier,BD50,0.0173950697634955
diff_f1,randomForest_classifier,PBU,0.28515625
diff_precision,randomForest_classifier,PBU,0.064453125
diff_recall,randomForest_classifier,PBU,0.544921875
diff_auc,randomForest_classifier,PBU,0.1015625
diff_f1,mlp_classifier,ABU50,0.625
diff_precision,mlp_classifier,ABU50,0.625
diff_recall,mlp_classifier,ABU50,0.625
diff_auc,mlp_classifier,ABU50,0.625
diff_f1,mlp_classifier,BD50,nan
diff_precision,mlp_classifier,BD50,1.0
diff_recall,mlp_classifier,BD50,1.0
diff_auc,mlp_classifier,BD50,0.75
diff_f1,mlp_classifier,PBU,1.0
diff_precision,mlp_classifier,PBU,0.875
diff_recall,mlp_classifier,PBU,0.9092753961392898
diff_auc,mlp_classifier,PBU,0.875
