metric,model,target,wilcoxon_test(p-value)
diff_f1,SVC,ABU50,0.5
diff_precision,SVC,ABU50,0.5
diff_recall,SVC,ABU50,0.5
diff_auc,SVC,ABU50,0.5
diff_f1,SVC,BD50,0.25
diff_precision,SVC,BD50,0.25
diff_recall,SVC,BD50,0.08678408327796083
diff_auc,SVC,BD50,0.25
diff_f1,SVC,PBU,0.5625
diff_precision,SVC,PBU,0.1875
diff_recall,SVC,PBU,0.5625
diff_auc,SVC,PBU,0.1875
diff_f1,knn_classifier,ABU50,0.96875
diff_precision,knn_classifier,ABU50,0.3125
diff_recall,knn_classifier,ABU50,0.9710463672913514
diff_auc,knn_classifier,ABU50,0.59375
diff_f1,knn_classifier,BD50,1.0
diff_precision,knn_classifier,BD50,1.0
diff_recall,knn_classifier,BD50,0.5
diff_auc,knn_classifier,BD50,1.0
diff_f1,knn_classifier,PBU,0.5
diff_precision,knn_classifier,PBU,0.5
diff_recall,knn_classifier,PBU,0.5
diff_auc,knn_classifier,PBU,0.5
diff_f1,logistic_regression,ABU50,0.8283737187819845
diff_precision,logistic_regression,ABU50,0.004575844426325035
diff_recall,logistic_regression,ABU50,0.9627324709419778
diff_auc,logistic_regression,ABU50,0.022005492006475714
diff_f1,logistic_regression,BD50,0.050174123231145375
diff_precision,logistic_regression,BD50,0.050174123231145375
diff_recall,logistic_regression,BD50,0.050174123231145375
diff_auc,logistic_regression,BD50,0.050174123231145375
diff_f1,logistic_regression,PBU,0.125
diff_precision,logistic_regression,PBU,0.125
diff_recall,logistic_regression,PBU,0.1875
diff_auc,logistic_regression,PBU,0.125
diff_f1,randomForest_classifier,ABU50,0.787109375
diff_precision,randomForest_classifier,ABU50,0.58984375
diff_recall,randomForest_classifier,ABU50,0.8283737187819845
diff_auc,randomForest_classifier,ABU50,0.6328125
diff_f1,randomForest_classifier,BD50,0.088134765625
diff_precision,randomForest_classifier,BD50,0.01708984375
diff_recall,randomForest_classifier,BD50,0.7841485986767658
diff_auc,randomForest_classifier,BD50,0.07568359375
diff_f1,randomForest_classifier,PBU,0.90625
diff_precision,randomForest_classifier,PBU,0.6875
diff_recall,randomForest_classifier,PBU,0.90625
diff_auc,randomForest_classifier,PBU,0.6875
diff_f1,mlp_classifier,ABU50,0.625
diff_precision,mlp_classifier,ABU50,0.75
diff_recall,mlp_classifier,ABU50,0.75
diff_auc,mlp_classifier,ABU50,0.625
diff_f1,mlp_classifier,BD50,1.0
diff_precision,mlp_classifier,BD50,0.625
diff_recall,mlp_classifier,BD50,1.0
diff_auc,mlp_classifier,BD50,1.0
diff_f1,mlp_classifier,PBU,0.875
diff_precision,mlp_classifier,PBU,0.75
diff_recall,mlp_classifier,PBU,0.75
diff_auc,mlp_classifier,PBU,0.875
