experiment,warning_feature,feature_set,#best_hyperparameters,use_smote,model,target,metric,code(median),code+warning(median),code(mean),code+warning(mean),diff(median),diff(mean),wilcoxon_test(p-value),cliffs_delta,cliffs_delta_result
exp1-PBU-feature-set1-NO-SMOTE,warnings_checker_framework,set1,2,False,SVC,PBU,f1,0.8210968207706087,0.8210968207706087,0.8210968207706087,0.8210968207706087,0.0,0.0,0.5,0.0,negligible
exp1-PBU-feature-set1-NO-SMOTE,warnings_checker_framework,set1,2,False,SVC,PBU,precision,0.6988904041656335,0.6988904041656335,0.6988904041656335,0.6988904041656335,0.0,0.0,0.5,0.0,negligible
exp1-PBU-feature-set1-NO-SMOTE,warnings_checker_framework,set1,2,False,SVC,PBU,recall,0.9951456310679612,0.9951456310679612,0.9951456310679612,0.9951456310679612,0.0,0.0,0.5,0.0,negligible
exp1-PBU-feature-set1-NO-SMOTE,warnings_checker_framework,set1,2,False,SVC,PBU,auc,0.506813463384061,0.506813463384061,0.506813463384061,0.506813463384061,0.0,0.0,0.5,0.0,negligible
exp1-PBU-feature-set1-NO-SMOTE,warnings_checker_framework,set1,3,False,knn_classifier,PBU,f1,0.8130081300813008,0.8097826086956522,0.8115378467733666,0.8104626729781504,-0.0032255213856485776,-0.0010751737952161555,0.7928919108787373,0.1111111111111111,negligible
exp1-PBU-feature-set1-NO-SMOTE,warnings_checker_framework,set1,3,False,knn_classifier,PBU,precision,0.6993006993006993,0.6985645933014354,0.6994420406984073,0.6989725648190954,-0.0007361059992638808,-0.00046947587931189805,0.7928919108787373,0.3333333333333333,medium
exp1-PBU-feature-set1-NO-SMOTE,warnings_checker_framework,set1,3,False,knn_classifier,PBU,recall,0.970873786407767,0.964401294498382,0.9665587918015102,0.9644012944983819,-0.006472491909385036,-0.0021574973031283085,0.7928919108787373,0.1111111111111111,negligible
exp1-PBU-feature-set1-NO-SMOTE,warnings_checker_framework,set1,3,False,knn_classifier,PBU,auc,0.5076267700804983,0.5058346553851578,0.5079453682485587,0.5068700994313545,-0.0017921146953404632,-0.0010752688172042113,0.7928919108787373,0.3333333333333333,medium
exp1-PBU-feature-set1-NO-SMOTE,warnings_checker_framework,set1,6,False,logistic_regression,PBU,f1,0.8210728514513375,0.8120636644221633,0.8192635900023874,0.8144789329127372,-0.009009187029174193,-0.004784657089650146,0.9707623692171735,0.5555555555555556,large
exp1-PBU-feature-set1-NO-SMOTE,warnings_checker_framework,set1,6,False,logistic_regression,PBU,precision,0.7136038186157518,0.7128830033241798,0.7098195927444383,0.7094915941059283,-0.0007208152915720856,-0.00032799863850996314,0.7358836115660085,0.1111111111111111,negligible
