model,iteration,hyperparameters,target,tp_c,tn_c,fp_c,fn_c,tp_cw,tn_cw,fp_cw,fn_cw,precision_c,recall_c,f1_c,accuracy_c,precision_cw,recall_cw,f1_cw,accuracy_cw,auc_c,auc_cw,diff_precision,diff_recall,diff_f1,diff_accuracy,diff_auc,experiment,use_smote
SVC,overall,"c - {'random_state': 42, 'kernel': 'rbf', 'C': 10}",PBU,297,10,125,12,298,10,125,11,0.7037914691943128,0.9611650485436892,0.8125854993160054,0.6914414414414415,0.7044917257683215,0.964401294498382,0.814207650273224,0.6936936936936937,0.5181749970459648,0.5197879002717712,0.0007002565740087,0.0032362459546925,0.0016221509572185,0.0022522522522522,0.0016129032258064,exp1-Kendals-PBU,False
SVC,overall,"cw - {'C': 1, 'kernel': 'rbf', 'random_state': 42}",PBU,307,0,135,2,307,0,135,2,0.6945701357466063,0.9935275080906149,0.8175765645805592,0.6914414414414415,0.6945701357466063,0.9935275080906149,0.8175765645805592,0.6914414414414415,0.4966666666666667,0.4966666666666667,0.0,0.0,0.0,0.0,0.0,exp1-Kendals-PBU,False
SVC,overall,"c - {'kernel': 'sigmoid', 'random_state': 42, 'C': 10}",PBU,232,38,97,77,228,43,92,81,0.7051671732522796,0.7508090614886731,0.7272727272727273,0.6081081081081081,0.7125,0.7378640776699029,0.7249602543720192,0.6103603603603603,0.514447004608295,0.5273336878175587,0.0073328267477204,-0.0129449838187701,-0.0023124729007081,0.0022522522522522,0.0128866832092637,exp1-Kendals-PBU,False
SVC,overall,"c - {'kernel': 'rbf', 'random_state': 42, 'C': 0.1}",PBU,309,0,135,0,309,0,135,0,0.6959459459459459,1.0,0.8207171314741035,0.6959459459459459,0.6959459459459459,1.0,0.8207171314741035,0.6959459459459459,0.5,0.5,0.0,0.0,0.0,0.0,0.0,exp1-Kendals-PBU,False
SVC,overall,"c - {'kernel': 'sigmoid', 'C': 1, 'random_state': 42}",PBU,258,34,101,51,246,33,102,63,0.7186629526462396,0.8349514563106796,0.7724550898203593,0.6576576576576577,0.7068965517241379,0.7961165048543689,0.7488584474885844,0.6283783783783784,0.5424731182795699,0.5192242703533027,-0.0117664009221016,-0.0388349514563106,-0.0235966423317748,-0.0292792792792793,-0.0232488479262672,exp1-Kendals-PBU,False
SVC,overall,"c - {'kernel': 'rbf', 'random_state': 42, 'C': 0.1}",ABU50,148,123,98,75,148,123,98,75,0.6016260162601627,0.6636771300448431,0.6311300639658849,0.6103603603603603,0.6016260162601627,0.6636771300448431,0.6311300639658849,0.6103603603603603,0.6103754940711463,0.6103754940711463,0.0,0.0,0.0,0.0,0.0,exp2-Kendals-ABU50,False
SVC,overall,"c - {'kernel': 'sigmoid', 'random_state': 42, 'C': 0.1}",BD50,0,358,0,86,0,358,0,86,,0.0,,0.8063063063063063,,0.0,,0.8063063063063063,0.5,0.5,,0.0,,0.0,0.0,exp3-Kendals-BD50,False
SVC,overall,"c - {'kernel': 'sigmoid', 'random_state': 42, 'C': 10}",BD50,8,313,45,78,8,313,45,78,0.1509433962264151,0.0930232558139534,0.1151079136690647,0.722972972972973,0.1509433962264151,0.0930232558139534,0.1151079136690647,0.722972972972973,0.483015873015873,0.483015873015873,0.0,0.0,0.0,0.0,0.0,exp3-Kendals-BD50,False
knn_classifier,overall,"c - {'n_neighbors': 15, 'weights': 'uniform'}",PBU,273,23,112,36,273,23,112,36,0.7090909090909091,0.883495145631068,0.7867435158501441,0.6666666666666666,0.7090909090909091,0.883495145631068,0.7867435158501441,0.6666666666666666,0.5265567765567767,0.5265567765567767,0.0,0.0,0.0,0.0,0.0,exp1-Kendals-PBU,False
knn_classifier,overall,"cw - {'n_neighbors': 3, 'weights': 'uniform'}",PBU,251,36,99,58,251,36,99,58,0.7171428571428572,0.8122977346278317,0.7617602427921092,0.6463963963963963,0.7171428571428572,0.8122977346278317,0.7617602427921092,0.6463963963963963,0.5396992792154082,0.5396992792154082,0.0,0.0,0.0,0.0,0.0,exp1-Kendals-PBU,False
