warning_feature,feature_set,#best_hyperparameters,target,metric,code(median),code+warning(median),code(mean),code+warning(mean),diff(median),diff(mean),wilcoxon_test(p-value),cliffs_delta,cliffs_delta_result,num_of_pairs
warnings_checker_framework,set1,c (28) cw (28),TNPU,mse,46461.23872566296,46733.3644166821,52249.83145581926,50631.21943165415,-272.12569101914414,1618.6120241651079,0.21900059655308723,0.04336734693877551,negligible,28
warnings_checker_framework,set1,c (28) cw (28),TNPU,mae,121.39067018679455,123.52252555258896,140.62876329116912,137.74942763124469,-2.131855365794408,2.879335659924436,0.3147639147937298,-0.015306122448979591,negligible,28
warnings_checker_framework,set1,c (28) cw (28),TNPU,rmse,215.54861959923863,216.17863615976665,227.4594049749062,224.05556330310964,-0.6300165605280199,3.403841671796556,0.21900059655308723,0.04336734693877551,negligible,28
warnings_infer,set1,c (25) cw (25),TNPU,mse,46384.952143029695,47007.80127136797,51569.40745385142,49522.37545385381,-622.8491283382755,2047.0319999976055,0.12053322792053223,0.024,negligible,25
warnings_infer,set1,c (25) cw (25),TNPU,mae,120.81083479190728,123.64976044239188,138.04074998565034,136.492440736874,-2.8389256504845974,1.5483092487763486,0.5315985679626465,-0.168,small,25
warnings_infer,set1,c (25) cw (25),TNPU,rmse,215.37166049188016,216.81282543098771,226.01401241664743,222.00291542289605,-1.4411649391075514,4.01109699375138,0.12053322792053223,0.024,negligible,25
warnings_openjml,set1,c (25) cw (25),TNPU,mse,46294.75285619636,46962.691082515616,51479.670495041944,49505.55837041755,-667.9382263192529,1974.112124624393,0.31407782685499314,-0.0608,negligible,25
warnings_openjml,set1,c (25) cw (25),TNPU,mae,120.81083479190728,123.9979895767166,138.08182027068926,136.90556201719798,-3.187154784809323,1.1762582534912838,0.723058654008364,-0.208,small,25
warnings_openjml,set1,c (25) cw (25),TNPU,rmse,215.16215479539235,216.70877020212083,225.80377722557944,221.99927728837667,-1.5466154067284776,3.8044999372027632,0.3045945438080431,-0.0608,negligible,25
warnings_typestate_checker,set1,c (26) cw (26),TNPU,mse,46339.85249961303,45697.19626376887,51784.90707909462,49206.90776816702,642.6562358441588,2577.999310927604,0.001775488257408142,0.15384615384615385,small,26
warnings_typestate_checker,set1,c (26) cw (26),TNPU,mae,121.39067018679455,123.74790968732299,139.93608045589994,136.78664152587936,-2.3572395005284363,3.1494389300205796,0.20412155985832214,0.01775147928994083,negligible,26
warnings_typestate_checker,set1,c (26) cw (26),TNPU,rmse,215.26690764363627,213.76900807096627,226.47906975916962,221.28141447011973,1.4978995726700077,5.197655289049891,0.0014664679765701294,0.15384615384615385,small,26
warning_sum,set1,c (24) cw (24),TNPU,mse,46339.85249961303,45464.20363648825,51717.03954497416,48820.38975440259,875.6488631247776,2896.6497905715732,0.019740819931030273,0.14583333333333334,negligible,24
warning_sum,set1,c (24) cw (24),TNPU,mae,120.9978121569545,121.8805511304719,138.8620319263449,135.3005931181124,-0.8827389735174052,3.5614388082325092,0.17981314659118652,0.027777777777777776,negligible,24
warning_sum,set1,c (24) cw (24),TNPU,rmse,215.26690764363627,213.223200820081,226.2964364366334,220.45670327210738,2.043706823555283,5.839733164526024,0.019740819931030273,0.14583333333333334,negligible,24
warnings_checker_framework,set1,c (24) cw (24),TAU,mse,0.16401861606384635,0.15847995751676014,0.19496070140282962,0.2687253526363884,0.0055386585470862115,-0.0737646512335588,0.8704606654387429,-0.015625,negligible,24
warnings_checker_framework,set1,c (24) cw (24),TAU,mae,0.34496058176610156,0.33907435852688605,0.3630798694524744,0.4188168248421338,0.0058862232392155045,-0.05573695538965939,0.8159398746532405,-0.005208333333333333,negligible,24
warnings_checker_framework,set1,c (24) cw (24),TAU,rmse,0.4049919979399079,0.39809069560336297,0.4337448467377584,0.49183601812950145,0.006901302336544957,-0.058091171391743024,0.8580116141245442,-0.015625,negligible,24
warnings_infer,set1,c (24) cw (24),TAU,mse,0.16182501271308095,0.158597663813041,0.19508129532273313,0.23918667091736553,0.0032273489000399502,-0.0441053755946324,0.6710654659333891,0.03298611111111111,negligible,24
warnings_infer,set1,c (24) cw (24),TAU,mae,0.344617367829288,0.3407740300486666,0.36388301156444086,0.3981365152291098,0.003843337780621403,-0.03425350366466895,0.8307524227445705,-0.012152777777777778,negligible,24
warnings_infer,set1,c (24) cw (24),TAU,rmse,0.40227456424128927,0.39817724135320853,0.4332128351462646,0.46811458828673197,0.004097322888080734,-0.034901753140467395,0.6606675625957728,0.03298611111111111,negligible,24
warnings_openjml,set1,c (25) cw (25),TAU,mse,0.1637654802054863,0.1572161123756676,0.19467171208317652,0.26305285734794265,0.006549367829818714,-0.06838114526476613,0.5837453007698059,0.0656,negligible,25
warnings_openjml,set1,c (25) cw (25),TAU,mae,0.3449093551788195,0.3395589318184579,0.36324146556479364,0.41665862828157707,0.005350423360361567,-0.05341716271678343,0.7546070218086243,0.04,negligible,25
warnings_openjml,set1,c (25) cw (25),TAU,rmse,0.4046794783597092,0.396504870557308,0.43312201979976445,0.48409116456978274,0.008174607802401201,-0.05096914477001829,0.5525697767734528,0.0656,negligible,25
warnings_typestate_checker,set1,c (24) cw (24),TAU,mse,0.16486945641189216,0.17053299093702629,0.20238606620420987,0.26539126870406055,-0.0056635345251341285,-0.06300520249985067,0.9787554144859314,-0.08333333333333333,negligible,24
warnings_typestate_checker,set1,c (24) cw (24),TAU,mae,0.34688914098164414,0.35179508946630283,0.3699156527571716,0.41657759821680385,-0.004905948484658695,-0.04666194545963226,0.9787554144859314,-0.10416666666666667,negligible,24
warnings_typestate_checker,set1,c (24) cw (24),TAU,rmse,0.4060405333124337,0.41287822006853236,0.44178326042097343,0.4919892588111738,-0.006837686756098638,-0.050205998390200346,0.9771601557731628,-0.08333333333333333,negligible,24
warning_sum,set1,c (24) cw (24),TAU,mse,0.16447690973240356,0.15082610446285705,0.19540563567292565,0.2623179498691594,0.013650805269546512,-0.06691231419623375,0.5723321437835693,0.07291666666666667,negligible,24
warning_sum,set1,c (24) cw (24),TAU,mae,0.346041335753401,0.33419644520326836,0.36495022322798154,0.41168391387610753,0.011844890550132658,-0.04673369064812599,0.550214946269989,0.05555555555555555,negligible,24
warning_sum,set1,c (24) cw (24),TAU,rmse,0.4055565810380781,0.38835668445322175,0.43404951189445323,0.48342334226288947,0.017199896584856378,-0.04937383036843623,0.5612964630126953,0.07291666666666667,negligible,24
warnings_checker_framework,set1,c (23) cw (23),AU,mse,0.154149976295122,0.1551302042945391,0.567445644080908,1.0107931407637172,-0.0009802279994171048,-0.44334749668280915,0.8034635782241821,-0.06994328922495274,negligible,23
warnings_checker_framework,set1,c (23) cw (23),AU,mae,0.3390036827913759,0.3391845834678355,0.5157477952762296,0.6480356545753466,-0.0001809006764595944,-0.13228785929911702,0.36569440364837646,0.00945179584120983,negligible,23
warnings_checker_framework,set1,c (23) cw (23),AU,rmse,0.3926193783998977,0.3938657186079275,0.6295921207021202,0.7673982449025845,-0.001246340208029828,-0.13780612420046423,0.8117389678955078,-0.06994328922495274,negligible,23
warnings_infer,set1,c (24) cw (24),AU,mse,0.15509060714536715,0.156920777589782,0.7688558175640523,1.3394537536881839,-0.001830170444414858,-0.5705979361241316,0.8678285479545593,-0.0763888888888889,negligible,24
warnings_infer,set1,c (24) cw (24),AU,mae,0.33937179045706867,0.3417449752619338,0.5845039095457932,0.7576726915642166,-0.002373184804865147,-0.17316878201842334,0.928324818611145,-0.041666666666666664,negligible,24
warnings_infer,set1,c (24) cw (24),AU,rmse,0.3938149792815478,0.39613222241775903,0.7181390557626814,0.8869229632895369,-0.0023172431362112333,-0.16878390752685546,0.8678285479545593,-0.0763888888888889,negligible,24
warnings_openjml,set1,c (25) cw (25),AU,mse,0.1546120035944961,0.1570477807700104,0.785564239950043,1.2425498844724403,-0.0024357771755142976,-0.4569856445223973,0.746148020029068,-0.0592,negligible,25
warnings_openjml,set1,c (25) cw (25),AU,mae,0.3422297442233076,0.3422307860444748,0.5934129128466585,0.7284489438735962,-1.0418211672247324e-06,-0.13503603102693762,0.7375437021255493,0.008,negligible,25
warnings_openjml,set1,c (25) cw (25),AU,rmse,0.3932073290193051,0.3962925444289993,0.7200946410133454,0.8536747455514764,-0.0030852154096941975,-0.13358010453813096,0.7629176676273346,-0.0592,negligible,25
warnings_typestate_checker,set1,c (25) cw (25),AU,mse,0.1546120035944961,0.1558791847566772,0.6092388782128024,1.0171024218082099,-0.001267181162181108,-0.40786354359540744,0.9218308925628662,-0.0528,negligible,25
