warning_feature,feature_set,#best_hyperparameters,model,target,metric,code(median),code+warning(median),code(mean),code+warning(mean),diff(median),diff(mean),wilcoxon_test(p-value),cliffs_delta,cliffs_delta_result,num_of_pairs
warnings_checker_framework,set1,c (3) cw (3),svm,TNPU,mse,47379.62831047438,47357.35263628161,48093.48465227862,48060.97137425928,22.27567419276602,32.51327801933803,0.375,0.1111111111111111,negligible,3
warnings_checker_framework,set1,c (3) cw (3),svm,TNPU,mae,110.35463684192862,110.17044117772149,112.4534687427044,111.96959805434129,0.18419566420713807,0.48387068836311187,0.125,0.3333333333333333,medium,3
warnings_checker_framework,set1,c (8) cw (8),mlp,TNPU,mse,69517.7735043029,57565.10466668402,68512.86687591752,62932.15166053807,11952.668837618876,5580.715215379452,0.125,0.46875,medium,8
warnings_checker_framework,set1,c (8) cw (8),mlp,TNPU,mae,195.45657257044667,168.90302000393228,191.86385074136132,181.21045258439668,26.553552566514384,10.653398156964641,0.19140625,0.40625,medium,8
warnings_checker_framework,set1,c (2) cw (2),linear_regression,TNPU,mse,46456.65682743832,46156.618778850345,46456.65682743832,46156.618778850345,300.0380485879723,300.0380485879723,0.25,0.5,large,2
warnings_checker_framework,set1,c (2) cw (2),linear_regression,TNPU,mae,127.24487079395196,126.4220315971722,127.24487079395196,126.4220315971722,0.8228391967797677,0.8228391967797677,0.25,0.5,large,2
warnings_checker_framework,set1,c (5) cw (5),knn,TNPU,mse,46384.952143029695,46559.51335569609,46263.33968428072,46350.46325994255,-174.56121266639093,-87.12357566183346,0.84375,-0.28,small,5
warnings_checker_framework,set1,c (5) cw (5),knn,TNPU,mae,116.62975497972856,116.6884909379357,117.47192209283166,117.56890269657484,-0.05873595820713717,-0.09698060374317663,0.40625,0.04,negligible,5
warnings_checker_framework,set1,c (10) cw (10),random_forest,TNPU,mse,44575.297650138804,44755.57554140393,44638.18797224831,44596.84628218204,-180.27789126512653,41.34169006627053,0.8125,-0.04,negligible,10
warnings_checker_framework,set1,c (10) cw (10),random_forest,TNPU,mae,121.39067018679455,123.52252555258896,122.34848079416693,123.07029821594362,-2.131855365794408,-0.7218174217766915,0.8623046875,-0.34,medium,10
warnings_infer,set1,c (2) cw (2),svm,TNPU,mse,48450.412823180726,48097.17524262385,48450.412823180726,48097.17524262385,353.2375805568736,353.2375805568736,0.25,0.5,large,2
warnings_infer,set1,c (2) cw (2),svm,TNPU,mae,114.19486616327836,113.36974075793705,114.19486616327836,113.36974075793705,0.8251254053413106,0.8251254053413106,0.25,0.5,large,2
warnings_infer,set1,c (6) cw (6),mlp,TNPU,mse,70527.547936265,59016.88720162546,69605.87869310101,60861.91406576233,11510.660734639532,8743.964627338682,0.03125,0.6666666666666666,large,6
warnings_infer,set1,c (6) cw (6),mlp,TNPU,mae,197.76357509443537,180.12619199370346,193.88741645869266,182.67958916116302,17.63738310073191,11.207827297529633,0.109375,0.4444444444444444,medium,6
warnings_infer,set1,c (2) cw (2),linear_regression,TNPU,mse,46456.65682743832,47392.736556925025,46456.65682743832,47392.736556925025,-936.079729486708,-936.079729486708,1.0,-1.0,large,2
warnings_infer,set1,c (2) cw (2),linear_regression,TNPU,mae,127.24487079395196,127.29171027225287,127.24487079395196,127.29171027225287,-0.04683947830091029,-0.04683947830091029,0.75,0.0,negligible,2
warnings_infer,set1,c (5) cw (5),knn,TNPU,mse,46384.952143029695,47033.46803638537,46263.33968428072,46913.76950432704,-648.515893355674,-650.4298200463236,0.96875,-0.52,large,5
warnings_infer,set1,c (5) cw (5),knn,TNPU,mae,116.62975497972856,122.87258674693894,117.47192209283166,121.99008890844746,-6.242831767210376,-4.5181668156158,1.0,-0.84,large,5
warnings_infer,set1,c (10) cw (10),random_forest,TNPU,mse,44683.72828434878,44441.99810176215,45046.90764650377,44733.92308310385,241.7301825866307,312.98456339992117,0.080078125,0.32,small,10
warnings_infer,set1,c (10) cw (10),random_forest,TNPU,mae,120.92196786660668,123.10518516313769,121.74551665104836,122.49601368522545,-2.183217296531012,-0.7504970341770871,0.75390625,-0.22,small,10
warnings_openjml,set1,c (2) cw (2),svm,TNPU,mse,48450.412823180726,48578.95713586568,48450.412823180726,48578.95713586568,-128.54431268495682,-128.54431268495682,0.75,0.0,negligible,2
warnings_openjml,set1,c (2) cw (2),svm,TNPU,mae,114.19486616327836,111.98152835097537,114.19486616327836,111.98152835097537,2.2133378123029956,2.2133378123029956,0.25,0.5,large,2
warnings_openjml,set1,c (6) cw (6),mlp,TNPU,mse,70527.547936265,57913.41421432141,69605.87869310101,60385.92748082179,12614.13372194358,9219.951212279222,0.046875,0.6666666666666666,large,6
warnings_openjml,set1,c (6) cw (6),mlp,TNPU,mae,197.76357509443537,172.6395905157305,193.88741645869266,182.23816864387683,25.123984578704864,11.649247814815823,0.109375,0.5,large,6
warnings_openjml,set1,c (2) cw (2),linear_regression,TNPU,mse,46456.65682743832,46525.798015113214,46456.65682743832,46525.798015113214,-69.14118767489708,-69.14118767489708,0.8144533152386513,-0.25,small,2
warnings_openjml,set1,c (2) cw (2),linear_regression,TNPU,mae,127.24487079395196,128.02316797045665,127.24487079395196,128.02316797045665,-0.7782971765046938,-0.7782971765046938,0.8144533152386513,-0.25,small,2
warnings_openjml,set1,c (5) cw (5),knn,TNPU,mse,46384.952143029695,46921.70403477105,46263.33968428072,46420.03720040944,-536.7518917413545,-156.69751612871914,0.78125,-0.36,medium,5
warnings_openjml,set1,c (5) cw (5),knn,TNPU,mae,116.62975497972856,122.98045767030432,117.47192209283166,122.2814445377174,-6.350702690575758,-4.809522444885744,1.0,-0.84,large,5
warnings_openjml,set1,c (10) cw (10),random_forest,TNPU,mse,44575.297650138804,44819.03988491476,44822.5652494801,45301.36980715031,-243.7422347759566,-478.8045576702061,0.8125,-0.32,small,10
warnings_openjml,set1,c (10) cw (10),random_forest,TNPU,mae,120.8798689875311,123.26961970120314,121.84819236364567,123.77934232352372,-2.3897507136720435,-1.9311499598780557,0.9677734375,-0.7,large,10
warnings_typestate_checker,set1,c (2) cw (2),svm,TNPU,mse,48450.412823180726,48243.77320447608,48450.412823180726,48243.77320447608,206.63961870464846,206.63961870464846,0.25,0.5,large,2
warnings_typestate_checker,set1,c (2) cw (2),svm,TNPU,mae,114.19486616327836,113.29263883992579,114.19486616327836,113.29263883992579,0.9022273233525766,0.9022273233525766,0.25,0.5,large,2
warnings_typestate_checker,set1,c (7) cw (7),mlp,TNPU,mse,69142.0448913089,59273.20633056251,68315.63327000618,59842.67202900399,9868.838560746393,8472.961241002187,0.0234375,0.673469387755102,large,7
warnings_typestate_checker,set1,c (7) cw (7),mlp,TNPU,mae,195.3850523175661,180.6208660203949,191.34038758679475,179.85414038146595,14.764186297171193,11.486247205328795,0.0546875,0.3877551020408163,medium,7
