feature_set,feature,Target,Kendall's Tau,p-value
set1,PE spec (java),TNPU,0.0278732583140023,0.5032528525594278
set1,Readability,TNPU,-0.06193045908286335,0.10849163646782825
set1,#loops (dft),TNPU,0.10070183397235247,0.020149053814675567
set1,TC (max),TNPU,0.06363843031242347,0.11251954333993572
set1,developer_position,TNPU,-0.05211020744787725,0.23753874457796165
set2,#parameters,TNPU,0.02392749285417222,0.5758935092810928
set2,NMI (max),TNPU,0.08962650564837134,0.03745988377804578
set2,Line length (max),TNPU,0.038664142385990946,0.31978132041246976
set2,Readability,TNPU,-0.06193045908286335,0.10849163646782825
set2,#aligned blocks,TNPU,0.033050517856016336,0.39480572758979704
set2,#numbers (dft),TNPU,0.03991789673052242,0.3273544606400416
set2,#keywords (avg),TNPU,-0.043967247932016305,0.2568869622630544
set2,#keywords (max),TNPU,-0.018930416355623564,0.6577537617995988
set2,#assignments (avg),TNPU,0.037822043604152644,0.32785212937123653
set2,Strings (Visual X),TNPU,0.015518070643760313,0.6963058794243877
set2,TC (max),TNPU,0.06363843031242347,0.11251954333993572
set2,Keywords (area),TNPU,-0.01846004068816119,0.6323538644727256
set2,#numbers (avg),TNPU,0.009576570782794627,0.8119451961174072
set2,#comparisons (dft),TNPU,0.049249995150000093,0.22133908505337396
set2,PE gen,TNPU,0.0723919979482368,0.07798282473729208
set2,developer_position,TNPU,-0.05211020744787725,0.23753874457796165
set3,NMI (avg),TNPU,0.06286622151406046,0.1032576991524389
set3,#commas (avg),TNPU,0.0426920447989019,0.2697347179519708
set3,#keywords (avg),TNPU,-0.043967247932016305,0.2568869622630544
set3,#periods (avg),TNPU,-0.0004256656185979753,0.9912043528594905
set3,#comparisons (dft),TNPU,0.049249995150000093,0.22133908505337396
set3,#conditionals (dft),TNPU,0.11313635375385214,0.004949289024319689
set3,Strings (Visual Y),TNPU,0.028927104504749192,0.46687242166000864
set3,#nested blocks (avg),TNPU,0.07140125063297055,0.07280789607045264
set3,#statements,TNPU,0.055407117399925924,0.15567585201108133
set3,developer_position,TNPU,-0.05211020744787725,0.23753874457796165
set4,developer_position,TNPU,-0.05211020744787725,0.23753874457796165
set4,PE gen,TNPU,0.0723919979482368,0.07798282473729208
set4,PE spec (java),TNPU,0.0278732583140023,0.5032528525594278
set4,CR,TNPU,0.0332861623750769,0.4640047148494394
set4,CIC (avg),TNPU,-0.015861841442510485,0.6895508738298886
set4,CIC (max),TNPU,0.004553227508169538,0.9133946510418184
set4,CICsyn (avg),TNPU,0.013526020596394605,0.7259299241092625
set4,CICsyn (max),TNPU,-0.024375269619781686,0.5348082921917605
set4,MIDQ (min),TNPU,-0.05108786665697384,0.24341202128117922
set4,MIDQ (avg),TNPU,-0.012231828073871728,0.7620448853241177
set4,MIDQ (max),TNPU,0.02559064371776192,0.5632887100451117
set4,AEDQ (min),TNPU,-0.049361675846746986,0.2133374122008852
set4,AEDQ (avg),TNPU,-0.049011849044331,0.2053442298756052
set4,AEDQ (max),TNPU,0.011098269934844902,0.7797548017128929
set4,EAP (min),TNPU,-0.010155038672972504,0.8022960883880466
set4,EAP (avg),TNPU,0.05094555535698837,0.194894871162674
set4,EAP (max),TNPU,0.05287865127187402,0.18264358461174557
set4,Cyclomatic complexity,TNPU,0.0811081994995717,0.05749558992064158
set4,IMSQ (min),TNPU,0.028878203150610963,0.47411141245492305
set4,IMSQ (avg),TNPU,0.03529367499971607,0.36618495270280993
set4,IMSQ (max),TNPU,0.03590342647209868,0.39472381905583664
set4,Readability,TNPU,-0.06193045908286335,0.10849163646782825
set4,ITID (avg),TNPU,-0.04559715119287741,0.23732057051528677
set4,NMI (avg),TNPU,0.06286622151406046,0.1032576991524389
set4,NMI (max),TNPU,0.08962650564837134,0.03745988377804578
set4,NM (avg),TNPU,-0.01794962481659913,0.6417966201007075
set4,NM (max),TNPU,-0.010224692841927304,0.8101876969323193
set4,TC (avg),TNPU,0.029604431553265358,0.45028484948776915
set4,TC (min),TNPU,-0.05412683476362195,0.16963626700981005
set4,TC (max),TNPU,0.06363843031242347,0.11251954333993572
set4,#assignments (avg),TNPU,0.037822043604152644,0.32785212937123653
set4,#blank lines (avg),TNPU,-0.000714080098094365,0.985440915060274
set4,#commas (avg),TNPU,0.0426920447989019,0.2697347179519708
set4,#comments (avg),TNPU,-0.0462196605041656,0.23341201838444958
set4,#comparisons (avg),TNPU,0.03960815001157089,0.32310781272244715
set4,Identifiers length (avg),TNPU,-0.026328952041409625,0.4950178815729447
set4,#conditionals (avg),TNPU,0.04242327583223642,0.2884026734952123
set4,Indentation length (avg),TNPU,0.004069063099946963,0.9177542448328069
set4,#keywords (avg),TNPU,-0.043967247932016305,0.2568869622630544
