model,iteration,hyperparameters,target,tp_c,tn_c,fp_c,fn_c,n_instances_c,n_positives_c,n_negatives_c,tp_cw,tn_cw,fp_cw,fn_cw,n_instances_cw,n_positives_cw,n_negatives_cw,precision_c,recall_c,f1_c,accuracy_c,precision_cw,recall_cw,f1_cw,accuracy_cw,auc_c,auc_cw,diff_precision,diff_recall,diff_f1,diff_accuracy,diff_auc,experiment,use_smote
SVC,overall,"{'degree': 3, 'random_state': 42, 'C': 0.1, 'kernel': 'poly'}",BD50,85,35,323,1,444,86,358,85,32,326,1,444,86,358,0.2083333333333333,0.9883720930232558,0.3441295546558705,0.2702702702702703,0.2068126520681265,0.9883720930232558,0.3420523138832997,0.2635135135135135,0.5429830617693087,0.5388163951026419,-0.0015206812652068,0.0,-0.0020772407725707,-0.0067567567567567,-0.0041666666666667,exp102-BD50-feature-set1-SMOTE,True
SVC,overall,"{'degree': 2, 'random_state': 42, 'C': 0.1, 'kernel': 'sigmoid'}",BD50,85,31,327,1,444,86,358,85,31,327,1,444,86,358,0.2063106796116504,0.9883720930232558,0.3413654618473895,0.2612612612612612,0.2063106796116504,0.9883720930232558,0.3413654618473895,0.2612612612612612,0.5373296971370707,0.5373296971370707,0.0,0.0,0.0,0.0,0.0,exp102-BD50-feature-set1-SMOTE,True
SVC,overall,"{'degree': 2, 'random_state': 42, 'C': 0.1, 'kernel': 'poly'}",BD50,84,37,321,2,444,86,358,84,37,321,2,444,86,358,0.2074074074074074,0.9767441860465116,0.3421588594704683,0.2725225225225225,0.2074074074074074,0.9767441860465116,0.3421588594704683,0.2725225225225225,0.5399176102365829,0.5399176102365829,0.0,0.0,0.0,0.0,0.0,exp102-BD50-feature-set1-SMOTE,True
knn_classifier,overall,"{'n_neighbors': 15, 'weights': 'uniform', 'metric': 'euclidean'}",BD50,50,210,148,36,444,86,358,51,205,153,35,444,86,358,0.2525252525252525,0.5813953488372093,0.352112676056338,0.5855855855855856,0.25,0.5930232558139535,0.3517241379310345,0.5765765765765766,0.5844667679278285,0.5826728343919727,-0.0025252525252525,0.0116279069767442,-0.0003885381253035,-0.009009009009009,-0.0017939335358557,exp102-BD50-feature-set1-SMOTE,True
knn_classifier,overall,"{'metric': 'manhattan', 'weights': 'uniform', 'n_neighbors': 15}",BD50,52,213,145,34,444,86,358,50,208,150,36,444,86,358,0.2639593908629442,0.6046511627906976,0.3674911660777385,0.5968468468468469,0.25,0.5813953488372093,0.3496503496503496,0.581081081081081,0.5997641075209426,0.5809767099327995,-0.0139593908629441,-0.0232558139534883,-0.0178408164273888,-0.0157657657657658,-0.018787397588143,exp102-BD50-feature-set1-SMOTE,True
knn_classifier,overall,"{'weights': 'uniform', 'metric': 'manhattan', 'n_neighbors': 13}",BD50,51,212,146,35,444,86,358,49,201,157,37,444,86,358,0.2588832487309644,0.5930232558139535,0.3604240282685512,0.5923423423423423,0.2378640776699029,0.5697674418604651,0.3356164383561644,0.5630630630630631,0.5931660222774557,0.5659670440946332,-0.0210191710610615,-0.0232558139534884,-0.0248075899123868,-0.0292792792792792,-0.0271989781828225,exp102-BD50-feature-set1-SMOTE,True
knn_classifier,overall,"{'weights': 'uniform', 'n_neighbors': 13, 'metric': 'euclidean'}",BD50,53,196,162,33,444,86,358,55,190,168,31,444,86,358,0.2465116279069767,0.6162790697674418,0.3521594684385382,0.5608108108108109,0.2466367713004484,0.6395348837209303,0.3559870550161812,0.5518018018018018,0.582649820491577,0.5860420694099236,0.0001251433934716,0.0232558139534884,0.003827586577643,-0.009009009009009,0.0033922489183466,exp102-BD50-feature-set1-SMOTE,True
logistic_regression,overall,"{'penalty': 'l2', 'C': 0.01, 'solver': 'liblinear', 'random_state': 42}",BD50,52,194,164,34,444,86,358,49,195,163,37,444,86,358,0.2407407407407407,0.6046511627906976,0.3443708609271523,0.5540540540540541,0.2311320754716981,0.5697674418604651,0.3288590604026845,0.5495495495495496,0.5725455675227837,0.5565555095277548,-0.0096086652690426,-0.0348837209302325,-0.0155118005244678,-0.0045045045045044,-0.0159900579950289,exp102-BD50-feature-set1-SMOTE,True
logistic_regression,overall,"{'solver': 'saga', 'C': 0.01, 'penalty': 'l1', 'random_state': 42}",BD50,55,203,155,31,444,86,358,54,204,154,32,444,86,358,0.2619047619047619,0.6395348837209303,0.3716216216216216,0.581081081081081,0.2596153846153846,0.627906976744186,0.3673469387755103,0.581081081081081,0.6020781552057443,0.5982382859246984,-0.0022893772893772,-0.0116279069767442,-0.0042746828461113,0.0,-0.0038398692810458,exp102-BD50-feature-set1-SMOTE,True
logistic_regression,overall,"{'solver': 'saga', 'random_state': 42, 'C': 100000000.0, 'penalty': 'l1'}",BD50,55,199,159,31,444,86,358,52,205,153,34,444,86,358,0.2570093457943925,0.6395348837209303,0.3666666666666666,0.5720720720720721,0.2536585365853658,0.6046511627906976,0.3573883161512027,0.5788288288288288,0.5970979471600847,0.5878624689312344,-0.0033508092090266,-0.0348837209302326,-0.0092783505154638,0.0067567567567566,-0.0092354782288502,exp102-BD50-feature-set1-SMOTE,True
logistic_regression,overall,"{'solver': 'liblinear', 'random_state': 42, 'C': 5, 'penalty': 'l1'}",BD50,45,217,141,41,444,86,358,41,220,138,45,444,86,358,0.2419354838709677,0.5232558139534884,0.3308823529411765,0.5900900900900901,0.2290502793296089,0.4767441860465116,0.309433962264151,0.5878378378378378,0.5634113504556753,0.5439507962809538,-0.0128852045413588,-0.0465116279069767,-0.0214483906770255,-0.0022522522522522,-0.0194605541747214,exp102-BD50-feature-set1-SMOTE,True
randomForest_classifier,overall,"{'max_features': 'sqrt', 'max_depth': 5, 'random_state': 42, 'n_estimators': 50, 'min_samples_leaf': 2, 'min_samples_split': 2, 'bootstrap': False}",BD50,39,243,115,47,444,86,358,40,241,117,46,444,86,358,0.2532467532467532,0.4534883720930232,0.3249999999999999,0.6351351351351351,0.2547770700636942,0.4651162790697674,0.3292181069958848,0.6328828828828829,0.566521679094173,0.569606692442235,0.001530316816941,0.0116279069767442,0.0042181069958848,-0.0022522522522522,0.0030850133480621,exp102-BD50-feature-set1-SMOTE,True
randomForest_classifier,overall,"{'max_features': 'sqrt', 'max_depth': 5, 'random_state': 42, 'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 5, 'bootstrap': False}",BD50,39,239,119,47,444,86,358,44,231,127,42,444,86,358,0.2468354430379747,0.4534883720930232,0.319672131147541,0.6261261261261262,0.2573099415204678,0.5116279069767442,0.3424124513618677,0.6193693693693694,0.560907438092608,0.5791689680567063,0.0104744984824931,0.0581395348837209,0.0227403202143267,-0.0067567567567567,0.0182615299640982,exp102-BD50-feature-set1-SMOTE,True
randomForest_classifier,overall,"{'max_features': 0.1, 'min_samples_leaf': 4, 'max_depth': 5, 'random_state': 42, 'n_estimators': 10, 'bootstrap': False, 'min_samples_split': 10}",BD50,40,223,135,46,444,86,358,39,223,135,47,444,86,358,0.2285714285714285,0.4651162790697674,0.3065134099616858,0.5923423423423423,0.2241379310344827,0.4534883720930232,0.3,0.5900900900900901,0.5443328270275247,0.538064991254718,-0.0044334975369458,-0.0116279069767442,-0.0065134099616858,-0.0022522522522522,-0.0062678357728067,exp102-BD50-feature-set1-SMOTE,True
randomForest_classifier,overall,"{'max_features': 0.1, 'min_samples_leaf': 4, 'max_depth': 5, 'random_state': 42, 'n_estimators': 50, 'min_samples_split': 15, 'bootstrap': False}",BD50,39,240,118,47,444,86,358,41,235,123,45,444,86,358,0.2484076433121019,0.4534883720930232,0.3209876543209877,0.6283783783783784,0.25,0.4767441860465116,0.328,0.6216216216216216,0.5623550124275061,0.5671165884194054,0.001592356687898,0.0232558139534884,0.0070123456790123,-0.0067567567567567,0.0047615759918993,exp102-BD50-feature-set1-SMOTE,True
randomForest_classifier,overall,"{'max_features': 0.1, 'max_depth': 5, 'random_state': 42, 'n_estimators': 50, 'min_samples_leaf': 2, 'bootstrap': True, 'min_samples_split': 10}",BD50,41,247,111,45,444,86,358,38,258,100,48,444,86,358,0.2697368421052631,0.4767441860465116,0.3445378151260503,0.6486486486486487,0.2753623188405797,0.4418604651162791,0.3392857142857143,0.6666666666666666,0.5835933904078063,0.5815509067476755,0.0056254767353165,-0.0348837209302325,-0.005252100840336,0.0180180180180179,-0.0020424836601308,exp102-BD50-feature-set1-SMOTE,True
randomForest_classifier,overall,"{'max_features': 'sqrt', 'max_depth': 5, 'random_state': 42, 'min_samples_split': 2, 'bootstrap': True, 'min_samples_leaf': 5, 'n_estimators': 10}",BD50,43,240,118,43,444,86,358,40,238,120,46,444,86,358,0.2670807453416149,0.5,0.3481781376518219,0.6373873873873874,0.25,0.4651162790697674,0.3252032520325204,0.6261261261261262,0.5854598177299088,0.5653226548835496,-0.0170807453416149,-0.0348837209302325,-0.0229748856193015,-0.0112612612612612,-0.0201371628463592,exp102-BD50-feature-set1-SMOTE,True
