model,iteration,hyperparameters,target,tp_c,tn_c,fp_c,fn_c,n_instances_c,n_positives_c,n_negatives_c,tp_cw,tn_cw,fp_cw,fn_cw,n_instances_cw,n_positives_cw,n_negatives_cw,precision_c,recall_c,f1_c,accuracy_c,precision_cw,recall_cw,f1_cw,accuracy_cw,auc_c,auc_cw,diff_precision,diff_recall,diff_f1,diff_accuracy,diff_auc,experiment,use_smote
SVC,overall,"{'degree': 2, 'C': 10, 'random_state': 42, 'kernel': 'sigmoid'}",BD50,17,311,47,69,444,86,358,14,316,42,72,444,86,358,0.265625,0.1976744186046511,0.2266666666666666,0.7387387387387387,0.25,0.1627906976744186,0.1971830985915493,0.7432432432432432,0.5333701555739667,0.523131271287858,-0.015625,-0.0348837209302325,-0.0294835680751173,0.0045045045045044,-0.0102388842861087,exp50-BD50-feature-set2-NO-SMOTE,False
SVC,overall,"{'degree': 2, 'random_state': 42, 'C': 1, 'kernel': 'sigmoid'}",BD50,6,349,9,80,444,86,358,5,354,4,81,444,86,358,0.4,0.0697674418604651,0.1188118811881188,0.7995495495495496,0.5555555555555556,0.0581395348837209,0.1052631578947368,0.8085585585585585,0.5227745558317224,0.5238366473349902,0.1555555555555555,-0.0116279069767441,-0.0135487232933819,0.0090090090090089,0.0010620915032678,exp50-BD50-feature-set2-NO-SMOTE,False
knn_classifier,overall,"{'n_neighbors': 5, 'weights': 'uniform', 'metric': 'euclidean'}",BD50,17,330,28,69,444,86,358,17,330,28,69,444,86,358,0.3777777777777777,0.1976744186046511,0.2595419847328244,0.7815315315315315,0.3777777777777777,0.1976744186046511,0.2595419847328244,0.7815315315315315,0.5595691797845899,0.5595691797845899,0.0,0.0,0.0,0.0,0.0,exp50-BD50-feature-set2-NO-SMOTE,False
knn_classifier,overall,"{'weights': 'distance', 'n_neighbors': 3, 'metric': 'euclidean'}",BD50,15,315,43,71,444,86,358,15,315,43,71,444,86,358,0.2586206896551724,0.1744186046511628,0.2083333333333333,0.7432432432432432,0.2586206896551724,0.1744186046511628,0.2083333333333333,0.7432432432432432,0.5265660959219369,0.5265660959219369,0.0,0.0,0.0,0.0,0.0,exp50-BD50-feature-set2-NO-SMOTE,False
knn_classifier,overall,"{'weights': 'uniform', 'n_neighbors': 3, 'metric': 'euclidean'}",BD50,15,315,43,71,444,86,358,15,315,43,71,444,86,358,0.2586206896551724,0.1744186046511628,0.2083333333333333,0.7432432432432432,0.2586206896551724,0.1744186046511628,0.2083333333333333,0.7432432432432432,0.5265660959219369,0.5265660959219369,0.0,0.0,0.0,0.0,0.0,exp50-BD50-feature-set2-NO-SMOTE,False
logistic_regression,overall,"{'random_state': 42, 'solver': 'liblinear', 'C': 100000000.0, 'penalty': 'l1'}",BD50,6,352,6,80,444,86,358,8,350,8,78,444,86,358,0.5,0.0697674418604651,0.1224489795918367,0.8063063063063063,0.5,0.0930232558139534,0.1568627450980392,0.8063063063063063,0.5266144251127682,0.5355817914020069,0.0,0.0232558139534883,0.0344137655062025,0.0,0.0089673662892386,exp50-BD50-feature-set2-NO-SMOTE,False
logistic_regression,overall,"{'solver': 'liblinear', 'random_state': 42, 'C': 5, 'penalty': 'l1'}",BD50,5,352,6,81,444,86,358,6,351,7,80,444,86,358,0.4545454545454545,0.0581395348837209,0.1030927835051546,0.8040540540540541,0.4615384615384615,0.0697674418604651,0.1212121212121212,0.8040540540540541,0.5210588695572126,0.5252059744085429,0.006993006993007,0.0116279069767441,0.0181193377069665,0.0,0.0041471048513302,exp50-BD50-feature-set2-NO-SMOTE,False
logistic_regression,overall,"{'penalty': 'l2', 'random_state': 42, 'solver': 'liblinear', 'C': 100000000.0}",BD50,6,352,6,80,444,86,358,8,350,8,78,444,86,358,0.5,0.0697674418604651,0.1224489795918367,0.8063063063063063,0.5,0.0930232558139534,0.1568627450980392,0.8063063063063063,0.5266144251127682,0.5355817914020069,0.0,0.0232558139534883,0.0344137655062025,0.0,0.0089673662892386,exp50-BD50-feature-set2-NO-SMOTE,False
logistic_regression,overall,"{'C': 10, 'solver': 'liblinear', 'penalty': 'l1', 'random_state': 42}",BD50,5,352,6,81,444,86,358,7,350,8,79,444,86,358,0.4545454545454545,0.0581395348837209,0.1030927835051546,0.8040540540540541,0.4666666666666667,0.0813953488372093,0.1386138613861386,0.8040540540540541,0.5210588695572126,0.5296994384608305,0.0121212121212121,0.0232558139534883,0.035521077880984,0.0,0.0086405689036178,exp50-BD50-feature-set2-NO-SMOTE,False
logistic_regression,overall,"{'penalty': 'l2', 'C': 20, 'random_state': 42, 'solver': 'liblinear'}",BD50,6,352,6,80,444,86,358,7,350,8,79,444,86,358,0.5,0.0697674418604651,0.1224489795918367,0.8063063063063063,0.4666666666666667,0.0813953488372093,0.1386138613861386,0.8040540540540541,0.5266144251127682,0.5296994384608305,-0.0333333333333333,0.0116279069767441,0.0161648817943018,-0.0022522522522522,0.0030850133480622,exp50-BD50-feature-set2-NO-SMOTE,False
randomForest_classifier,overall,"{'max_depth': 5, 'random_state': 42, 'min_samples_split': 5, 'bootstrap': True, 'n_estimators': 10, 'max_features': 0.5, 'min_samples_leaf': 1}",BD50,14,339,19,72,444,86,358,11,337,21,75,444,86,358,0.4242424242424242,0.1627906976744186,0.2352941176470588,0.795045045045045,0.34375,0.127906976744186,0.1864406779661017,0.7837837837837838,0.5548467274233637,0.5343436435607106,-0.0804924242424242,-0.0348837209302325,-0.0488534396809571,-0.0112612612612612,-0.020503083862653,exp50-BD50-feature-set2-NO-SMOTE,False
randomForest_classifier,overall,"{'max_features': 'sqrt', 'max_depth': 5, 'random_state': 42, 'min_samples_leaf': 2, 'min_samples_split': 2, 'bootstrap': True, 'n_estimators': 10}",BD50,5,349,9,81,444,86,358,7,346,12,79,444,86,358,0.3571428571428571,0.0581395348837209,0.1,0.7972972972972973,0.3684210526315789,0.0813953488372093,0.1333333333333333,0.795045045045045,0.5165262818742521,0.524104759274602,0.0112781954887217,0.0232558139534883,0.0333333333333333,-0.0022522522522522,0.0075784774003498,exp50-BD50-feature-set2-NO-SMOTE,False
randomForest_classifier,overall,"{'random_state': 42, 'min_samples_split': 5, 'max_depth': 10, 'bootstrap': True, 'n_estimators': 10, 'max_features': 0.5, 'min_samples_leaf': 1}",BD50,16,333,25,70,444,86,358,16,333,25,70,444,86,358,0.3902439024390244,0.1860465116279069,0.2519685039370078,0.786036036036036,0.3902439024390244,0.1860465116279069,0.2519685039370078,0.786036036036036,0.5581998527110376,0.5581998527110376,0.0,0.0,0.0,0.0,0.0,exp50-BD50-feature-set2-NO-SMOTE,False
randomForest_classifier,overall,"{'min_samples_leaf': 4, 'random_state': 42, 'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 10, 'max_features': 0.5, 'bootstrap': False}",BD50,11,338,20,75,444,86,358,11,338,20,75,444,86,358,0.3548387096774194,0.127906976744186,0.188034188034188,0.786036036036036,0.3548387096774194,0.127906976744186,0.188034188034188,0.786036036036036,0.5358107797109454,0.5358107797109454,0.0,0.0,0.0,0.0,0.0,exp50-BD50-feature-set2-NO-SMOTE,False
randomForest_classifier,overall,"{'max_features': 'sqrt', 'max_depth': 5, 'random_state': 42, 'min_samples_split': 2, 'n_estimators': 10, 'bootstrap': False, 'min_samples_leaf': 1}",BD50,10,344,14,76,444,86,358,9,343,15,77,444,86,358,0.4166666666666667,0.1162790697674418,0.1818181818181818,0.7972972972972973,0.375,0.1046511627906976,0.1636363636363636,0.7927927927927928,0.5382617601031023,0.5316832366749517,-0.0416666666666666,-0.0116279069767441,-0.0181818181818181,-0.0045045045045044,-0.0065785234281506,exp50-BD50-feature-set2-NO-SMOTE,False
randomForest_classifier,overall,"{'max_depth': 5, 'random_state': 42, 'min_samples_split': 2, 'n_estimators': 10, 'max_features': 0.5, 'bootstrap': False, 'min_samples_leaf': 1}",BD50,11,341,17,75,444,86,358,9,340,18,77,444,86,358,0.3928571428571428,0.127906976744186,0.1929824561403509,0.7927927927927928,0.3333333333333333,0.1046511627906976,0.1592920353982301,0.786036036036036,0.5396506489919911,0.527516570008285,-0.0595238095238095,-0.0232558139534883,-0.0336904207421208,-0.0067567567567567,-0.0121340789837061,exp50-BD50-feature-set2-NO-SMOTE,False
randomForest_classifier,overall,"{'random_state': 42, 'max_depth': 20, 'min_samples_split': 2, 'bootstrap': True, 'n_estimators': 10, 'max_features': 0.5, 'min_samples_leaf': 1}",BD50,16,333,25,70,444,86,358,16,333,25,70,444,86,358,0.3902439024390244,0.1860465116279069,0.2519685039370078,0.786036036036036,0.3902439024390244,0.1860465116279069,0.2519685039370078,0.786036036036036,0.5581998527110376,0.5581998527110376,0.0,0.0,0.0,0.0,0.0,exp50-BD50-feature-set2-NO-SMOTE,False
randomForest_classifier,overall,"{'max_depth': 5, 'random_state': 42, 'min_samples_leaf': 2, 'min_samples_split': 2, 'bootstrap': True, 'n_estimators': 10, 'max_features': 0.5}",BD50,11,339,19,75,444,86,358,11,341,17,75,444,86,358,0.3666666666666666,0.127906976744186,0.1896551724137931,0.7882882882882883,0.3928571428571428,0.127906976744186,0.1929824561403509,0.7927927927927928,0.5371996685998343,0.5396506489919911,0.0261904761904762,0.0,0.0033272837265578,0.0045045045045044,0.0024509803921568,exp50-BD50-feature-set2-NO-SMOTE,False
randomForest_classifier,overall,"{'min_samples_leaf': 4, 'max_features': 'sqrt', 'random_state': 42, 'max_depth': 10, 'n_estimators': 10, 'bootstrap': False, 'min_samples_split': 10}",BD50,11,338,20,75,444,86,358,11,338,20,75,444,86,358,0.3548387096774194,0.127906976744186,0.188034188034188,0.786036036036036,0.3548387096774194,0.127906976744186,0.188034188034188,0.786036036036036,0.5358107797109454,0.5358107797109454,0.0,0.0,0.0,0.0,0.0,exp50-BD50-feature-set2-NO-SMOTE,False
randomForest_classifier,overall,"{'random_state': 42, 'n_estimators': 50, 'min_samples_split': 15, 'max_depth': 10, 'max_features': 0.5, 'bootstrap': False, 'min_samples_leaf': 1}",BD50,13,337,21,73,444,86,358,14,336,22,72,444,86,358,0.3823529411764705,0.1511627906976744,0.2166666666666666,0.7882882882882883,0.3888888888888889,0.1627906976744186,0.2295081967213115,0.7882882882882883,0.5458597993187885,0.5503532633710762,0.0065359477124183,0.0116279069767442,0.0128415300546448,0.0,0.0044934640522876,exp50-BD50-feature-set2-NO-SMOTE,False
mlp_classifier,overall,"{'alpha': 0.0001, 'early_stopping': True, 'activation': 'relu', 'learning_rate_init': 0.1, 'momentum': 0.9, 'learning_rate': 'constant', 'solver': 'adam', 'random_state': 42, 'max_iter': 200, 'hidden_layer_sizes': (50, 50, 50)}",BD50,0,358,0,86,444,86,358,0,357,1,86,444,86,358,,0.0,,0.8063063063063063,0.0,0.0,,0.8040540540540541,0.5,0.4985915492957746,,0.0,,-0.0022522522522522,-0.0014084507042254,exp50-BD50-feature-set2-NO-SMOTE,False
