file,NMI,NMI (avg),NMI (max)
ds_6_snip_3$HibernateORM_execute.java,389.0,7.339622641509434,26.0
ds_2_snip_8_main14.java,67.0,11.166666666666666,19.0
ds_2_snip_5_main10.java,46.0,4.181818181818182,13.0
ds_6_snip_1$SpringBatch_testFailureAndRecovery.java,250.0,6.097560975609756,19.0
ds_3_snip_83_s15.java,80.0,16.0,20.0
ds_3_snip_58_displayTileCursor.java,54.0,4.909090909090909,18.0
ds_1_snip_9_main9.java,58.0,5.2727272727272725,17.0
ds_9$bc_snip_9_shortenText512.java,207.0,9.857142857142858,25.0
ds_6_snip_1$OpenCMSCore_createContextMenu.java,330.0,11.379310344827585,16.0
ds_3_snip_75_Date.java,43.0,8.6,25.0
ds_3_snip_56_getMessage.java,33.0,4.714285714285714,7.0
ds_3_snip_31_s66.java,36.0,7.2,17.0
ds_3_snip_86_runMain.java,70.0,11.666666666666666,29.0
ds_6_snip_5$CarReport_downloadFile.java,103.0,3.814814814814815,20.0
ds_f_snip_RecursiveBinaryToDecimal_compute.java,59.0,6.555555555555555,19.0
ds_3_snip_79_s11.java,11.0,1.8333333333333333,9.0
ds_3_snip_7_deliverGift.java,51.0,8.5,23.0
ds_2_snip_11_main21.java,88.0,8.0,21.0
ds_6_snip_4$K9_StorageManager.java,94.0,6.714285714285714,15.0
ds_9$nc_snip_8_getMove.java,218.0,8.074074074074074,21.0
ds_3_snip_63_s95.java,10.0,2.0,10.0
ds_3_snip_70_s2.java,71.0,5.916666666666667,20.0
ds_3_snip_24_isReadOnly.java,17.0,3.4,13.0
ds_3_snip_62_s94.java,59.0,8.428571428571429,19.0
ds_1_snip_3_main3.java,48.0,3.0,13.0
ds_3_snip_29_s64.java,17.0,2.4285714285714284,7.0
ds_6_snip_1$HibernateORM_getOverriddenColumn.java,45.0,5.0,14.0
ds_f_snip_DumbSort_compute.java,363.0,12.964285714285714,44.0
ds_6_snip_1$EstimatorUtils_getMinMax.java,256.0,7.111111111111111,27.0
ds_3_snip_21_swap.java,18.0,3.6,8.0
ds_3_snip_41_loadColorChip.java,72.0,10.285714285714286,23.0
ds_6_snip_2$SpringBatch_testArtifactUniqueness.java,56.0,2.6666666666666665,9.0
ds_1_snip_7_main7.java,52.0,7.428571428571429,17.0
ds_6_snip_4$SpringBatch_testCustomRecordSeparatorMultilineBlankLineAfterEnd.java,129.0,5.375,15.0
ds_3_snip_17_s52.java,71.0,14.2,29.0
ds_1_snip_4_main4.java,56.0,4.3076923076923075,21.0
ds_3_snip_48_ComparisonFailure.java,17.0,3.4,12.0
ds_2_snip_7_main13.java,35.0,3.888888888888889,13.0
ds_3_snip_91_printFailures.java,24.0,3.0,8.0
ds_3_snip_98_setMapTransform.java,30.0,4.285714285714286,11.0
ds_9$bc_snip_10_shortenText522.java,250.0,10.416666666666666,25.0
ds_9$gc_snip_1_logAndEmailSeriousProblemS111.java,54.0,6.0,13.0
ds_3_snip_60_getAvailableChannels.java,25.0,2.7777777777777777,13.0
ds_3_snip_34_s69.java,44.0,8.8,20.0
ds_9$nc_snip_2_logAndEmailSeriousProblemS123.java,80.0,7.2727272727272725,13.0
ds_6_snip_1$ModelPerformanceChart_performRequest.java,101.0,2.8055555555555554,15.0
ds_2_snip_6_main11.java,36.0,4.0,17.0
ds_3_snip_65_getButtonAction.java,38.0,3.8,23.0
ds_2_snip_4_main8.java,56.0,6.222222222222222,17.0
ds_6_snip_2$MyExpenses_getContentProviderOperationsForCreate.java,459.0,7.403225806451613,22.0
ds_1_snip_22_main22.java,92.0,9.2,22.0
ds_3_snip_26_s61.java,27.0,2.4545454545454546,13.0
ds_1_snip_13_main13.java,35.0,3.888888888888889,13.0
ds_2_snip_9_main17.java,95.0,6.333333333333333,13.0
ds_9$nc_snip_6_writeUTable323.java,255.0,7.96875,23.0
ds_3_snip_74_s6.java,0.0,0.0,0.0
ds_3_snip_57_getStateString.java,28.0,2.8,7.0
