Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes
Java,../ml_model/src/main/resources/raw_snippet_splitter_out/ds_f/ds_f_snip_lengthOfLastWord_compute.java,ds_f_snip_lengthOfLastWord_compute.java,19,18,1,0,7,485
Java,../ml_model/src/main/resources/raw_snippet_splitter_out/ds_f/ds_f_snip_isPalindrome_compute.java,ds_f_snip_isPalindrome_compute.java,14,13,1,0,3,382
Java,../ml_model/src/main/resources/raw_snippet_splitter_out/ds_f/ds_f_snip_isHurricane_compute.java,ds_f_snip_isHurricane_compute.java,20,19,1,0,9,539
Java,../ml_model/src/main/resources/raw_snippet_splitter_out/ds_f/ds_f_snip_hIndex_compute.java,ds_f_snip_hIndex_compute.java,18,17,1,0,3,431
Java,../ml_model/src/main/resources/raw_snippet_splitter_out/ds_f/ds_f_snip_YesNo_compute.java,ds_f_snip_YesNo_compute.java,18,17,1,0,6,443
Java,../ml_model/src/main/resources/raw_snippet_splitter_out/ds_f/ds_f_snip_SquareRoot_compute.java,ds_f_snip_SquareRoot_compute.java,19,18,1,0,5,531
Java,../ml_model/src/main/resources/raw_snippet_splitter_out/ds_f/ds_f_snip_RecursivePower_compute.java,ds_f_snip_RecursivePower_compute.java,13,12,1,0,4,263
Java,../ml_model/src/main/resources/raw_snippet_splitter_out/ds_f/ds_f_snip_RecursiveFibonacciVariant_compute.java,ds_f_snip_RecursiveFibonacciVariant_compute.java,10,9,1,0,1,256
Java,../ml_model/src/main/resources/raw_snippet_splitter_out/ds_f/ds_f_snip_RecursiveFactorial_compute.java,ds_f_snip_RecursiveFactorial_compute.java,10,9,1,0,2,232
Java,../ml_model/src/main/resources/raw_snippet_splitter_out/ds_f/ds_f_snip_RecursiveCrossSum_compute.java,ds_f_snip_RecursiveCrossSum_compute.java,10,9,1,0,2,249
Java,../ml_model/src/main/resources/raw_snippet_splitter_out/ds_f/ds_f_snip_RecursiveBinaryToDecimal_compute.java,ds_f_snip_RecursiveBinaryToDecimal_compute.java,13,12,1,0,3,330
