metric,model,target,wilcoxon_test(p-value)
diff_f1,SVC,ABU50,0.5
diff_precision,SVC,ABU50,0.5
diff_recall,SVC,ABU50,0.5
diff_auc,SVC,ABU50,0.5
diff_f1,SVC,BD50,nan
diff_precision,SVC,BD50,nan
diff_recall,SVC,BD50,0.5
diff_auc,SVC,BD50,0.5
diff_f1,SVC,PBU,0.20818283895408263
diff_precision,SVC,PBU,0.6067714824313117
diff_recall,SVC,PBU,0.20818283895408263
diff_auc,SVC,PBU,0.6067714824313117
diff_f1,knn_classifier,ABU50,0.6875
diff_precision,knn_classifier,ABU50,0.3125
diff_recall,knn_classifier,ABU50,0.78125
diff_auc,knn_classifier,ABU50,0.78125
diff_f1,knn_classifier,BD50,0.25
diff_precision,knn_classifier,BD50,0.75
diff_recall,knn_classifier,BD50,0.08678408327796083
diff_auc,knn_classifier,BD50,1.0
diff_f1,knn_classifier,PBU,0.5
diff_precision,knn_classifier,PBU,0.5
diff_recall,knn_classifier,PBU,0.5
diff_auc,knn_classifier,PBU,0.7928919108787373
diff_f1,logistic_regression,ABU50,0.9288933790318038
diff_precision,logistic_regression,ABU50,0.018015843109116775
diff_recall,logistic_regression,ABU50,0.9819841568908833
diff_auc,logistic_regression,ABU50,0.0711066209681962
diff_f1,logistic_regression,BD50,nan
diff_precision,logistic_regression,BD50,0.7475074624530771
diff_recall,logistic_regression,BD50,0.7475074624530771
diff_auc,logistic_regression,BD50,0.20083908323488653
diff_f1,logistic_regression,PBU,0.8144533152386513
diff_precision,logistic_regression,PBU,0.8144533152386513
diff_recall,logistic_regression,PBU,0.5
diff_auc,logistic_regression,PBU,0.8144533152386513
diff_f1,randomForest_classifier,ABU50,0.3203125
diff_precision,randomForest_classifier,ABU50,0.52734375
diff_recall,randomForest_classifier,ABU50,0.287231798288093
diff_auc,randomForest_classifier,ABU50,0.47265625
diff_f1,randomForest_classifier,BD50,nan
diff_precision,randomForest_classifier,BD50,0.030550465219775853
diff_recall,randomForest_classifier,BD50,0.12664921060547085
diff_auc,randomForest_classifier,BD50,0.017143983986795872
diff_f1,randomForest_classifier,PBU,0.08203125
diff_precision,randomForest_classifier,PBU,0.01953125
diff_recall,randomForest_classifier,PBU,0.212890625
diff_auc,randomForest_classifier,PBU,0.064453125
diff_f1,mlp_classifier,ABU50,0.75
diff_precision,mlp_classifier,ABU50,0.75
diff_recall,mlp_classifier,ABU50,0.75
diff_auc,mlp_classifier,ABU50,0.75
diff_f1,mlp_classifier,BD50,nan
diff_precision,mlp_classifier,BD50,1.0
diff_recall,mlp_classifier,BD50,1.0
diff_auc,mlp_classifier,BD50,0.75
diff_f1,mlp_classifier,PBU,1.0
diff_precision,mlp_classifier,PBU,0.875
diff_recall,mlp_classifier,PBU,0.9092753961392898
diff_auc,mlp_classifier,PBU,0.875
