metric,model,target,wilcoxon_test(p-value)
diff_f1,SVC,ABU50,0.5
diff_precision,SVC,ABU50,0.5
diff_recall,SVC,ABU50,0.5
diff_auc,SVC,ABU50,0.5
diff_f1,SVC,BD50,0.25
diff_precision,SVC,BD50,0.25
diff_recall,SVC,BD50,0.08678408327796083
diff_auc,SVC,BD50,0.25
diff_f1,SVC,PBU,0.5625
diff_precision,SVC,PBU,0.1875
diff_recall,SVC,PBU,0.5625
diff_auc,SVC,PBU,0.1875
diff_f1,knn_classifier,ABU50,0.6875
diff_precision,knn_classifier,ABU50,0.3125
diff_recall,knn_classifier,ABU50,0.78125
diff_auc,knn_classifier,ABU50,0.78125
diff_f1,knn_classifier,BD50,1.0
diff_precision,knn_classifier,BD50,1.0
diff_recall,knn_classifier,BD50,0.5
diff_auc,knn_classifier,BD50,1.0
diff_f1,knn_classifier,PBU,0.5
diff_precision,knn_classifier,PBU,0.5
diff_recall,knn_classifier,PBU,0.5
diff_auc,knn_classifier,PBU,0.5
diff_f1,logistic_regression,ABU50,0.98351530937789
diff_precision,logistic_regression,ABU50,0.0290120099731107
diff_recall,logistic_regression,ABU50,0.9955756131730027
diff_auc,logistic_regression,ABU50,0.23859830999438508
diff_f1,logistic_regression,BD50,0.029529114545268353
diff_precision,logistic_regression,BD50,0.029529114545268353
diff_recall,logistic_regression,BD50,0.029529114545268353
diff_auc,logistic_regression,BD50,0.029529114545268353
diff_f1,logistic_regression,PBU,0.125
diff_precision,logistic_regression,PBU,0.125
diff_recall,logistic_regression,PBU,0.1875
diff_auc,logistic_regression,PBU,0.125
diff_f1,randomForest_classifier,ABU50,0.84375
diff_precision,randomForest_classifier,ABU50,0.7265625
diff_recall,randomForest_classifier,ABU50,0.7586175122373215
diff_auc,randomForest_classifier,ABU50,0.76953125
diff_f1,randomForest_classifier,BD50,0.03369140625
diff_precision,randomForest_classifier,BD50,0.0048828125
diff_recall,randomForest_classifier,BD50,0.7620927236917313
diff_auc,randomForest_classifier,BD50,0.02685546875
diff_f1,randomForest_classifier,PBU,0.90625
diff_precision,randomForest_classifier,PBU,0.6875
diff_recall,randomForest_classifier,PBU,0.90625
diff_auc,randomForest_classifier,PBU,0.6875
diff_f1,mlp_classifier,ABU50,0.625
diff_precision,mlp_classifier,ABU50,0.625
diff_recall,mlp_classifier,ABU50,0.625
diff_auc,mlp_classifier,ABU50,0.625
diff_f1,mlp_classifier,BD50,1.0
diff_precision,mlp_classifier,BD50,0.625
diff_recall,mlp_classifier,BD50,1.0
diff_auc,mlp_classifier,BD50,1.0
diff_f1,mlp_classifier,PBU,1.0
diff_precision,mlp_classifier,PBU,0.5
diff_recall,mlp_classifier,PBU,1.0
diff_auc,mlp_classifier,PBU,0.75
