model,target,f1_c (median),f1_cw (median),precision_c (median),precision_cw (median),recall_c (median),recall_cw (median),auc_c (median),auc_cw (median),f1_c (mean),f1_cw (mean),precision_c (mean),precision_cw (mean),recall_c (mean),recall_cw (mean),auc_c (mean),auc_cw (mean)
SVC,ABU50,0.6311300639658849,0.6311300639658849,0.6016260162601627,0.6016260162601627,0.6636771300448431,0.6636771300448431,0.6103754940711463,0.6103754940711463,0.6311300639658849,0.6311300639658849,0.6016260162601627,0.6016260162601627,0.6636771300448431,0.6636771300448431,0.6103754940711463,0.6103754940711463
SVC,BD50,0.1151079136690647,0.1151079136690647,0.1509433962264151,0.1509433962264151,0.0,0.0,0.5,0.5,0.1151079136690647,0.1151079136690647,0.1509433962264151,0.1509433962264151,0.02325581395348835,0.02325581395348835,0.4957539682539682,0.4957539682539682
SVC,PBU,0.8150810319482823,0.8158921074268916,0.6998687075701293,0.7002188358571337,0.977346278317152,0.9789644012944985,0.5072235023041475,0.5096121351766514,0.7951694747923471,0.7891840239664671,0.703414588890522,0.7014771240752127,0.9211165048543689,0.9101941747572816,0.5138626964433416,0.5098629327661586
knn_classifier,ABU50,0.5804600200008696,0.5863636363636362,0.5915492957746479,0.5944700460829493,0.5605381165919282,0.5762331838565022,0.5851778656126483,0.5899209486166008,0.584227376315812,0.5870986077751784,0.6096625889098284,0.6081268757631113,0.5616591928251121,0.5678251121076233,0.5977272727272728,0.5983942687747036
knn_classifier,BD50,0.0408163265306122,0.0421052631578947,0.1666666666666666,0.2182539682539682,0.0232558139534883,0.0232558139534883,0.4971031746031745,0.5013888888888889,0.049259703881552604,0.041315789473684174,0.1672149122807017,0.19246031746031744,0.0290697674418604,0.023255813953488302,0.49710317460317455,0.4999801587301587
knn_classifier,PBU,0.7867435158501441,0.7867435158501441,0.710044175773076,0.710044175773076,0.883495145631068,0.883495145631068,0.5289406829729411,0.5290780456103037,0.7823832471945279,0.7823832471945279,0.7115805294449796,0.7115805294449796,0.8697411003236246,0.8697411003236246,0.5310343554295167,0.531103036748198
logistic_regression,ABU50,0.5833333333333333,0.5950782997762863,0.6057832327855212,0.5985278925619835,0.5650224215246636,0.5964125560538116,0.5943675889328064,0.592490118577075,0.5921538399473482,0.5982305320994666,0.6063494648776808,0.5987716443680005,0.5807174887892377,0.6003363228699552,0.6000617588932806,0.5972208498023714
logistic_regression,BD50,0.0434782608695652,0.064516129032258,0.0,0.0,0.0,0.0,0.498611111111111,0.4951388888888889,0.0434782608695652,0.064516129032258,0.05555555555555555,0.07142857142857141,0.0029069767441860374,0.004360465116279063,0.4987847222222222,0.4981770833333333
logistic_regression,PBU,0.8151260504201681,0.8162692847124825,0.7185185185185186,0.7202970297029703,0.941747572815534,0.941747572815534,0.5491569183504668,0.5527283469218954,0.8151260504201681,0.8161263804259432,0.7185185185185186,0.7200747158049138,0.941747572815534,0.941747572815534,0.5491569183504668,0.5522819183504668
randomForest_classifier,ABU50,0.5817155183352367,0.573417301955585,0.607255895861593,0.5970965309200603,0.5605381165919282,0.5515695067264574,0.5968873517786562,0.5877470355731225,0.577806853489526,0.5767742781578203,0.5994210974667805,0.600725793800011,0.557847533632287,0.5547085201793722,0.5904347826086956,0.5909584980237155
randomForest_classifier,BD50,0.0219780219780219,0.0324918186068256,0.1666666666666666,0.0,0.0116279069767441,0.0,0.498611111111111,0.4944444444444444,0.028263887142605644,0.032379811438366816,0.13819444444444443,0.08660714285714284,0.009447674418604599,0.006540697674418575,0.49848090277777773,0.4967832341269841
randomForest_classifier,PBU,0.8111475435311302,0.8077979515828678,0.7120297643654403,0.709005376344086,0.9433656957928802,0.9352750809061487,0.5359021623537752,0.5292021150892119,0.8106621030731622,0.8089342659320673,0.7116423726520669,0.7097423438158069,0.941747572815534,0.9403991370010787,0.5351035881681043,0.5312209519870811
mlp_classifier,ABU50,0.3319148936170212,0.5368993135011442,0.5791160593792173,0.6115211086045762,0.33408071748878915,0.4865470852017937,0.5423418972332015,0.582411067193676,0.3319148936170212,0.5368993135011442,0.5791160593792173,0.6115211086045762,0.3340807174887892,0.4865470852017937,0.5423418972332015,0.582411067193676
mlp_classifier,BD50,0.0222222222222222,0.061374615722441794,0.125,0.2756410256410256,0.00581395348837205,0.0348837209302325,0.5003472222222223,0.5097222222222222,0.0222222222222222,0.061148166447079474,0.125,0.25897435897435894,0.00581395348837205,0.0348837209302325,0.5,0.5083333333333333
mlp_classifier,PBU,0.803840877914952,0.8065395095367845,0.695852534562212,0.6964705882352941,0.948220064724919,0.9579288025889968,0.4999734136830911,0.5018344558667138,0.7585544334638743,0.7998143286317211,0.6905179246540273,0.6967862479864925,0.8554476806903991,0.9395900755124057,0.4921371460081138,0.5020930324156131
