model,target,f1_c (median),f1_cw (median),precision_c (median),precision_cw (median),recall_c (median),recall_cw (median),auc_c (median),auc_cw (median),f1_c (mean),f1_cw (mean),precision_c (mean),precision_cw (mean),recall_c (mean),recall_cw (mean),auc_c (mean),auc_cw (mean)
SVC,ABU50,0.6311300639658849,0.6311300639658849,0.6016260162601627,0.6016260162601627,0.6636771300448431,0.6636771300448431,0.6103754940711463,0.6103754940711463,0.6311300639658849,0.6311300639658849,0.6016260162601627,0.6016260162601627,0.6636771300448431,0.6636771300448431,0.6103754940711463,0.6103754940711463
SVC,BD50,0.3571467454171826,0.3558637339423743,0.23024231865695277,0.22967026687239264,0.7965116279069768,0.7906976744186047,0.5776289682539683,0.5762003968253968,0.3539021682785036,0.35206947395707655,0.22914200690195552,0.2281038508322924,0.7790697674418605,0.7732558139534884,0.5741666666666667,0.5719097222222222
SVC,PBU,0.6462948485400952,0.6472689115469952,0.7074240986717268,0.700063211125158,0.587378640776699,0.5889967637540453,0.5163963724447596,0.5078326243648824,0.6413439187349923,0.6382735557846047,0.715778803777325,0.7092378312435128,0.5817152103559871,0.5817152103559871,0.5273016365355074,0.5190569242585371
knn_classifier,ABU50,0.5829383886255924,0.5892191142191141,0.6048198740179772,0.6054874502259406,0.5605381165919282,0.5762331838565022,0.5942193675889329,0.5977766798418973,0.5859937574628185,0.5915023633390267,0.6141539423908485,0.6130745979438431,0.5610986547085202,0.5717488789237668,0.6010869565217392,0.6028903162055336
knn_classifier,BD50,0.3514644351464435,0.3644444444444444,0.2745098039215686,0.2949640287769784,0.4883720930232558,0.4767441860465116,0.5901388888888889,0.6020634920634921,0.3514644351464435,0.3644444444444444,0.2745098039215686,0.2949640287769784,0.4883720930232558,0.4767441860465116,0.5901388888888889,0.6020634920634921
knn_classifier,PBU,0.6000000000000001,0.5902912621359223,0.7393364928909952,0.7378640776699029,0.5048543689320388,0.4919093851132686,0.5496183386505967,0.5458064516129032,0.6000000000000001,0.5902912621359223,0.7393364928909952,0.7378640776699029,0.5048543689320388,0.4919093851132686,0.5496183386505967,0.5458064516129032
logistic_regression,ABU50,0.6000367107195301,0.609903575050833,0.6076280041797284,0.6028824007587048,0.5964125560538116,0.6210762331838564,0.6010869565217392,0.6013339920948616,0.5891313629400793,0.5952950205468861,0.6040482436843628,0.5994753005697051,0.578101644245142,0.5952914798206278,0.5980648880105401,0.5971343873517786
logistic_regression,BD50,0.32829965208379597,0.3134796238244514,0.22107712765957444,0.21428303690237455,0.6918604651162791,0.5872093023255814,0.5487996031746032,0.5310912698412698,0.3287017367250059,0.31236252760157396,0.21517880411535542,0.2089155286708784,0.7112403100775193,0.6375968992248062,0.5400330687830688,0.5237499999999999
logistic_regression,PBU,0.6581352833638026,0.649043383457647,0.7563025210084033,0.7432182705718271,0.5825242718446602,0.5760517799352751,0.5767895545314901,0.5599648469809759,0.6457969258676276,0.6388530588875625,0.7510111734567244,0.7409621985450263,0.5671521035598706,0.5622977346278317,0.5696986145574856,0.5565030131159163
randomForest_classifier,ABU50,0.5758873667212081,0.5714558766531986,0.6109960892569588,0.5931372549019608,0.5582959641255605,0.5560538116591929,0.5970355731225296,0.583300395256917,0.5748489582001755,0.5760016990368267,0.5984157554922173,0.5986317098832268,0.5533632286995516,0.5551569506726457,0.5888142292490118,0.5893774703557313
randomForest_classifier,BD50,0.3717472118959108,0.3667033370003667,0.26895026303204206,0.259796039268788,0.6162790697674418,0.627906976744186,0.6057539682539682,0.5971130952380952,0.3775886617328167,0.36596257012560046,0.2733358179386188,0.2600238121959503,0.6121262458471761,0.6204318936877077,0.6095989229024943,0.5974022108843536
randomForest_classifier,PBU,0.6510791366906475,0.6690140845070423,0.7408906882591093,0.73828125,0.5857605177993528,0.6116504854368932,0.5579693961952026,0.5569053527118042,0.652429704587978,0.6622994786038647,0.7384718327316673,0.7393203729921234,0.584546925566343,0.6003236245954693,0.5543721198156681,0.5570712217889636
mlp_classifier,ABU50,0.29722909450766943,0.5108695652173914,0.5791160593792173,0.6115211086045762,0.27354260089686094,0.4663677130044843,0.5265316205533597,0.582411067193676,0.3145719940623453,0.5233991909120628,0.5742802519118309,0.5944961864861962,0.30381165919282505,0.476457399103139,0.5344367588932806,0.5661314229249013
mlp_classifier,BD50,0.3,0.32765737874097006,0.21228304405874493,0.22170464135021095,0.5232558139534884,0.6046511627906976,0.5285615079365078,0.547063492063492,0.2848517872711421,0.3287835048670962,0.22726000258409057,0.22522845087402044,0.45058139534883723,0.6104651162790697,0.5303273809523809,0.5508730158730157
mlp_classifier,PBU,0.4904413768050131,0.5765007741978605,0.7167514677103718,0.7130687051022289,0.37378640776699024,0.488673139158576,0.520153314427508,0.522511225333806,0.4904413768050131,0.5765007741978605,0.7167514677103718,0.7130687051022289,0.37378640776699024,0.488673139158576,0.520153314427508,0.522511225333806
