model,iteration,hyperparameters,target,tp_c,tn_c,fp_c,fn_c,tp_cw,tn_cw,fp_cw,fn_cw,precision_c,recall_c,f1_c,accuracy_c,precision_cw,recall_cw,f1_cw,accuracy_cw,auc_c,auc_cw,diff_precision,diff_recall,diff_f1,diff_accuracy,diff_auc,experiment,use_smote
SVC,1,"c - {'C': 0.1, 'random_state': 42, 'kernel': 'rbf'}",PBU,17,3,11,14,19,2,12,12,0.6071428571428571,0.5483870967741935,0.5762711864406779,0.4444444444444444,0.6129032258064516,0.6129032258064516,0.6129032258064516,0.4666666666666667,0.3813364055299539,0.37788018433179726,0.005760368663594528,0.06451612903225812,0.03663203936577375,0.022222222222222254,-0.0034562211981566393,exp1-Kendals-PBU,True
SVC,1,"cw - {'C': 0.1, 'random_state': 42, 'kernel': 'rbf'}",PBU,17,3,11,14,19,2,12,12,0.6071428571428571,0.5483870967741935,0.5762711864406779,0.4444444444444444,0.6129032258064516,0.6129032258064516,0.6129032258064516,0.4666666666666667,0.3813364055299539,0.37788018433179726,0.005760368663594528,0.06451612903225812,0.03663203936577375,0.022222222222222254,-0.0034562211981566393,exp1-Kendals-PBU,True
SVC,2,"c - {'C': 0.1, 'random_state': 42, 'kernel': 'rbf'}",PBU,22,8,6,9,22,8,6,9,0.7857142857142857,0.7096774193548387,0.7457627118644068,0.6666666666666666,0.7857142857142857,0.7096774193548387,0.7457627118644068,0.6666666666666666,0.6405529953917051,0.6405529953917051,0.0,0.0,0.0,0.0,0.0,exp1-Kendals-PBU,True
SVC,2,"cw - {'C': 0.1, 'random_state': 42, 'kernel': 'rbf'}",PBU,22,8,6,9,22,8,6,9,0.7857142857142857,0.7096774193548387,0.7457627118644068,0.6666666666666666,0.7857142857142857,0.7096774193548387,0.7457627118644068,0.6666666666666666,0.6405529953917051,0.6405529953917051,0.0,0.0,0.0,0.0,0.0,exp1-Kendals-PBU,True
SVC,3,"c - {'C': 0.1, 'random_state': 42, 'kernel': 'rbf'}",PBU,15,5,9,16,18,4,10,13,0.625,0.4838709677419355,0.5454545454545454,0.4444444444444444,0.6428571428571429,0.5806451612903226,0.6101694915254238,0.4888888888888889,0.4205069124423963,0.43317972350230416,0.017857142857142905,0.09677419354838712,0.06471494607087835,0.04444444444444445,0.012672811059907862,exp1-Kendals-PBU,True
SVC,3,"cw - {'C': 0.1, 'random_state': 42, 'kernel': 'rbf'}",PBU,15,5,9,16,18,4,10,13,0.625,0.4838709677419355,0.5454545454545454,0.4444444444444444,0.6428571428571429,0.5806451612903226,0.6101694915254238,0.4888888888888889,0.4205069124423963,0.43317972350230416,0.017857142857142905,0.09677419354838712,0.06471494607087835,0.04444444444444445,0.012672811059907862,exp1-Kendals-PBU,True
SVC,4,"c - {'C': 0.1, 'random_state': 42, 'kernel': 'rbf'}",PBU,18,8,6,13,18,8,6,13,0.75,0.5806451612903226,0.6545454545454547,0.5777777777777777,0.75,0.5806451612903226,0.6545454545454547,0.5777777777777777,0.576036866359447,0.576036866359447,0.0,0.0,0.0,0.0,0.0,exp1-Kendals-PBU,True
SVC,4,"cw - {'C': 0.1, 'random_state': 42, 'kernel': 'rbf'}",PBU,18,8,6,13,18,8,6,13,0.75,0.5806451612903226,0.6545454545454547,0.5777777777777777,0.75,0.5806451612903226,0.6545454545454547,0.5777777777777777,0.576036866359447,0.576036866359447,0.0,0.0,0.0,0.0,0.0,exp1-Kendals-PBU,True
SVC,5,"c - {'C': 0.1, 'random_state': 42, 'kernel': 'rbf'}",PBU,21,9,4,10,21,9,4,10,0.84,0.6774193548387096,0.75,0.6818181818181818,0.84,0.6774193548387096,0.75,0.6818181818181818,0.6848635235732009,0.6848635235732009,0.0,0.0,0.0,0.0,0.0,exp1-Kendals-PBU,True
SVC,5,"cw - {'C': 0.1, 'random_state': 42, 'kernel': 'rbf'}",PBU,21,9,4,10,21,9,4,10,0.84,0.6774193548387096,0.75,0.6818181818181818,0.84,0.6774193548387096,0.75,0.6818181818181818,0.6848635235732009,0.6848635235732009,0.0,0.0,0.0,0.0,0.0,exp1-Kendals-PBU,True
