feature,mean,std,min,25%,50%,75%,max
PE gen,4.20945945945946,2.3437733994113894,1.0,3.0,3.0,5.0,10.0
PE spec (java),2.6621621621621623,1.8347808034391746,1.0,1.0,2.0,3.0,10.0
Cyclomatic complexity,3.635135135135135,1.1151449630855246,2.0,3.0,4.0,4.0,7.0
IMSQ (min),0.671631600481982,0.26796007112880393,0.078947368,0.5,0.75,0.885668277,1.0
MIDQ (min),0.27788361486486485,0.4052904805904966,0.0,0.0,0.0,0.647575,1.0
AEDQ (min),574.3544299385968,1673.1658206200834,0.0,0.000443066,10.0,216.0,10214.0
EAP (min),0.01778325970720721,0.043598625827210316,0.0,0.0,0.00024392,0.006267448,0.184262169
IMSQ (avg),0.791098335141892,0.2022313166796816,0.078947368,0.694444444,0.8310185185000001,0.958333333,1.0
MIDQ (avg),0.4737709906666667,0.36575566578882884,0.0,0.024390244,0.5,0.80952381,1.0
AEDQ (avg),1418.8291649606217,2016.0991562577842,0.001849894,198.5,715.2272727,1843.0,10214.0
EAP (avg),0.0805624117027027,0.11622827964983494,0.0,0.000540833,0.026598577,0.124685269,0.559009903
IMSQ (max),0.8819865877364865,0.18588137003371472,0.078947368,0.833333333,0.9375,1.0,1.0
MIDQ (max),0.7126760698130632,0.419080451732152,0.0,0.5,1.0,1.0,1.0
AEDQ (max),2703.7044340741486,3233.645392170795,0.001849894,336.0,1843.0,2755.0,11904.0
EAP (max),0.215140229990991,0.31437342821381115,0.0,0.000540833,0.049229011,0.237789563,1.0
Readability,0.38257982836036036,0.1807107752136456,0.058544081,0.243095979,0.335892916,0.53469938,0.772827685
ITID (avg),0.8085204816891892,0.09632123316315112,0.56,0.772357724,0.81512605,0.861702128,0.98245614
NMI (avg),4.916817369324323,0.7403014480637209,3.235602094,4.447368421,4.774774775,5.52238806,6.704545455
NMI (max),10.454954954954955,1.0257399455464402,8.0,10.0,10.0,11.0,12.0
CIC (avg),0.5611920529504506,0.9798830883450018,0.0,0.0,0.138211382,0.564885496,4.607142857
CIC (max),2.434684684684685,3.161958509520237,0.0,0.0,1.0,3.0,14.0
CICsyn (avg),3.7030739119819827,2.2125887383659864,0.299435028,2.079754601,3.248251748,4.815450644,11.39428571
CICsyn (max),17.43918918918919,7.767118007356325,3.0,10.0,16.5,24.0,34.0
CR,70.61780405405405,45.16822487227896,0.0,0.0,100.0,100.0,100.0
NM (avg),7.846953534213965,2.3735077816318872,4.0,6.035460993,7.4240193885,9.555555556,13.90147783
NM (max),41.450450450450454,7.007881713983058,17.0,37.0,45.0,45.0,57.0
TC (avg),0.38922676794594596,0.21894841744877067,0.0,0.316712158,0.427113299,0.524781294,0.902948627
TC (min),0.35624804948423416,0.3468207401600547,0.064549722,0.11785113,0.1798485815,0.414039336,1.0
TC (max),0.7234581007094595,0.36878044258597953,0.0,0.707106781,0.894427191,0.984250984,1.0
#assignments (avg),0.20219090330630632,0.13194546100978022,0.0,0.117647059,0.1875,0.266666667,0.65625
#blank lines (avg),0.07800199945720722,0.06945713894433032,0.0,0.020408163,0.063829787,0.133333333,0.290322581
#commas (avg),0.16871669256756758,0.1937248524671908,0.0,0.060606061,0.1057585825,0.2,1.090909091
#comments (avg),0.11300636181756755,0.15138251797599694,0.014285714,0.023255814,0.038461538,0.135135135,0.820512821
#comparisons (avg),0.13569233687162163,0.20118304271093304,0.0,0.0,0.093023256,0.177777778,1.268292683
Identifiers length (avg),8.397728185653154,1.7306707641339425,4.104166667,7.574712644,8.562056737999999,9.5,13.39130435
#conditionals (avg),0.08798376418693692,0.08043005383249248,0.0,0.0,0.072463768,0.148148148,0.304347826
Indentation length (avg),7.749802706632882,5.628568316566215,0.0,0.19047619,9.185185185,12.13793103,19.58333333
#keywords (avg),0.5420563237274776,0.21375238214230244,0.1,0.434782609,0.5266666664999999,0.666666667,1.03125
Line length (avg),38.331585630855855,10.1623076949589,18.18181818,31.21052632,36.25736434,45.68965517,59.77272727
#loops (avg),0.01599428429279279,0.025073291177678883,0.0,0.0,0.0,0.034482759,0.096774194
#identifiers (avg),2.5551888298716214,0.8940776164873817,1.322580645,2.038461538,2.222222222,2.962962963,5.636363636
#numbers (avg),0.2255373142342342,0.4543748220591958,0.0,0.0,0.069767442,0.155555556,2.3
#operators (avg),0.10618830554279278,0.16470347858058634,0.0,0.0,0.058823529,0.133333333,0.951219512
#parenthesis (avg),0.9515428378265766,0.34664583900791773,0.12195122,0.821428571,0.953488372,1.074074074,2.375
#periods (avg),0.5737295191981983,0.3043647152163977,0.088235294,0.365853659,0.580645161,0.703703704,1.8
