input feature,output_feature,tau,p-value
Cyclomatic complexity,PBU,-0.06000210505807009,0.16674433423624135
Cyclomatic complexity,BD50,0.025644421612857727,0.5545388925526853
Cyclomatic complexity,ABU50,-0.07547230183614437,0.08199087021447758
IMSQ (min),PBU,0.0244636828547968,0.549623741601878
IMSQ (min),BD50,0.022769100593394143,0.5776104129379811
IMSQ (min),ABU50,0.0045105925630281145,0.9121568134810625
MIDQ (min),PBU,0.12162310764238111,0.006464840827666408
MIDQ (min),BD50,0.0002920476145881257,0.9947825567206172
MIDQ (min),ABU50,0.11166493357725564,0.012410471889364384
AEDQ (min),PBU,0.059493605501582635,0.1398191628946861
AEDQ (min),BD50,-0.004598992189868051,0.9091314792030198
AEDQ (min),ABU50,0.058370346703394395,0.1474524948821142
EAP (min),PBU,-0.02996957035591294,0.46557682127814237
EAP (min),BD50,0.010969432885990432,0.7894059170099321
EAP (min),ABU50,-0.03624276705564401,0.37754238705471665
IMSQ (avg),PBU,0.02396300705910046,0.5454059370692337
IMSQ (avg),BD50,0.022541188423834776,0.5695042674329837
IMSQ (avg),ABU50,0.0042301003168965555,0.9149967488489608
MIDQ (avg),PBU,0.06476529176499421,0.11188885052960071
MIDQ (avg),BD50,-0.03279045320548889,0.4208829426468971
MIDQ (avg),ABU50,0.08550269321974972,0.03583536404919304
AEDQ (avg),PBU,0.07601072033023734,0.053087133298223975
AEDQ (avg),BD50,0.026033460227363876,0.5076751515022659
AEDQ (avg),ABU50,0.04935480776962557,0.20914854869437982
EAP (avg),PBU,-0.05293538259295233,0.18426304357736978
EAP (avg),BD50,0.015868520252724058,0.6906157952977765
EAP (avg),ABU50,-0.06124398380602086,0.12450354580449298
IMSQ (max),PBU,-0.057290129632275255,0.18201635777271563
IMSQ (max),BD50,0.014690266928044956,0.7321932730453976
IMSQ (max),ABU50,-0.06431915960780916,0.13405183482970198
MIDQ (max),PBU,-0.05643196624174006,0.21174381034880374
MIDQ (max),BD50,-0.028638528324853113,0.5262486261346441
MIDQ (max),ABU50,-0.02928292727073967,0.5169831266447988
AEDQ (max),PBU,0.048151282134369304,0.23052392960251866
AEDQ (max),BD50,0.04481603053523471,0.26443944651427265
AEDQ (max),ABU50,0.008877969668578204,0.8250383592630439
EAP (max),PBU,-0.05417726319132305,0.1787195556328518
EAP (max),BD50,0.02043891368218993,0.6119411689712355
EAP (max),ABU50,-0.06599893891471423,0.10139496347079091
Readability,PBU,0.030703694752208136,0.4332345863257351
Readability,BD50,0.030274798335894294,0.43968714182193946
Readability,ABU50,0.004319093644644029,0.9122200010098381
ITID (avg),PBU,-0.06816566813381457,0.08188838620564208
ITID (avg),BD50,-0.04080037934425488,0.29770280362525725
ITID (avg),ABU50,-0.030465553157858215,0.4368105340374331
NMI (avg),PBU,0.09983033024358284,0.010833355173287186
NMI (avg),BD50,0.010067149779773452,0.7972174998060804
NMI (avg),ABU50,0.08388897320536791,0.032262103974929394
NMI (max),PBU,0.02923105159717287,0.5047344905739679
NMI (max),BD50,-0.004318574504135597,0.9214949307784378
NMI (max),ABU50,0.030306533741311405,0.4891875136071675
CIC (avg),PBU,-0.0013251199227213514,0.9737389981175167
CIC (avg),BD50,0.032315240464718745,0.42209621157619104
CIC (avg),ABU50,-0.026760823695575243,0.5061755385801772
CIC (max),PBU,-0.04069360382589737,0.3368211169447325
CIC (max),BD50,0.049075290879177405,0.24674454115113198
CIC (max),ABU50,-0.07622763883064954,0.07199456705014191
CICsyn (avg),PBU,0.06851224652506577,0.08034657433353844
CICsyn (avg),BD50,-0.03981016789050667,0.30958247211119827
CICsyn (avg),ABU50,0.09449829048013109,0.01586807067955277
CICsyn (max),PBU,0.07043546323141602,0.0774294192121496
CICsyn (max),BD50,-0.05243897860380533,0.1886334612695808
CICsyn (max),ABU50,0.10624939204592194,0.00772987628594753
CR,PBU,-0.0454133626563613,0.32651030302737205
CR,BD50,0.04643975995294054,0.3156955119453976
CR,ABU50,-0.07848681341332527,0.08993750670319774
NM (avg),PBU,-0.12368122498696053,0.0015951659050731828
NM (avg),BD50,0.008820216838016448,0.8218831026022944
NM (avg),ABU50,-0.12076069881602028,0.0020544433647552026
NM (max),PBU,-0.06068558589278804,0.1641446991656863
NM (max),BD50,0.026072827778906394,0.550012951083943
NM (max),ABU50,-0.07643972681108023,0.07969771076967097
TC (avg),PBU,-0.10505145871648781,0.008085822200182632
TC (avg),BD50,0.09885603361618896,0.012692901199842151
TC (avg),ABU50,-0.17478445935756948,1.0504844852092822e-05
TC (min),PBU,0.04290249709567414,0.2818899843822865
TC (min),BD50,-0.07145087432621607,0.07311123501941852
TC (min),ABU50,0.09594533343700365,0.016105879338825478
TC (max),PBU,-0.06599790561081896,0.10379959747978573
TC (max),BD50,0.10847149545258668,0.0075044578320734735
TC (max),ABU50,-0.14645436339088552,0.000306452482609958
#assignments (avg),PBU,0.012176098438116347,0.7565134252990675
#assignments (avg),BD50,0.04634277152304674,0.2379558060372564
#assignments (avg),ABU50,-0.025426663568633986,0.5173173617421428
#blank lines (avg),PBU,0.08282405971534505,0.03745809671960988
#blank lines (avg),BD50,-0.01862698513338827,0.639817619540096
#blank lines (avg),ABU50,0.09092244945475403,0.022360576064011213
