Numbers/keywords (area),AEDQ (min),Operators/literals (area),NMI (avg),#characters (max),Strings/keywords (area),developer_position,Operators (Visual X),Identifiers length (avg),Keywords (Visual X),#comments (avg),TC (avg),Keywords (Visual Y),Identifiers length (max),ITID (avg),IMSQ (avg),Comments (area),Volume,#assignments (dft),Identifiers (Visual X),#assignments (avg),#comments (dft),#parenthesis (dft),Identifiers (area),MIDQ (avg),Operators (Visual Y),#commas (dft),Comments (Visual X),CICsyn (avg),TC (max),Line length (avg),Operators (area),#periods (avg),Line length (max),Cyclomatic complexity,#conditionals (avg),AEDQ (avg),AEDQ (max),Indentation length (avg),#keywords (avg),#parenthesis (avg),NMI (max),#blank lines (avg),Keywords (area),CIC (avg),#numbers (max),#spaces (avg),#keywords (max),#aligned blocks,Operators/keywords (area),PE gen,#identifiers (dft),#numbers (dft),Indentation length (max),Numbers/identifiers (area),Numbers (Visual X),Strings (Visual X),Identifiers (Visual Y),#operators (avg),#commas (avg),Line length (dft),#operators (dft),#parameters,Keywords/identifiers (area),EAP (min),Literals (Visual Y),LOC,#nested blocks (avg),IMSQ (max),Entropy,EAP (avg),CIC (max),Strings (area),MIDQ (min),#keywords (dft),Readability,#identifiers (avg),IMSQ (min),#conditionals (dft),EAP (max),PE spec (java),#numbers (avg),#words (max),Comments (Visual Y),Strings/identifiers (area),#loops (avg),Extent of aligned blocks,#loops (dft),#comparisons (avg),Literals (area),CR,Numbers (area),Numbers (Visual Y),#comparisons (dft),Literals/keywords (area),#identifiers (max),Strings (Visual Y),MIDQ (max),NM (avg),CICsyn (max),TC (min),#spaces (dft),#statements,Indentation length (dft),Literals/identifiers (area),NM (max),#periods (dft),Literals (Visual X),PBU
0.9375,388.0,0.270627063,3.235602094,319,18.875,4,87.90625,7.809160305,88.0,0.032258065,0.0,31.0,18,0.931034483,0.992021277,0.0,2464.827438,32,87.9375,0.0625,32,32,0.508389262,0.0,30.87640449,32,0.0,2.57,0.0,59.6,0.137583893,1.8,88,2,0.0,388.0,388.0,8.8,0.1,2.375,10,0.0625,0.008948546,0.0,18,10.63333333,3,43,15.375,3,32,32,16,0.01650165,87.84375,88.0,30.82022472,0.21875,0.625,32,32,0,0.01760176,0.0,0.0,32,1.0,1.0,4.833892274,0.0,0,0.168903803,0.0,32,0.058544081,4.366666667,0.875,1,0.0,3,2.3,29,0.0,0.332233223,0.0,288,1,0.125,0.0,0.0,0.008389262,30.86516854,32,0.0,7,30.87640449,0.0,13.90147783,21,1.0,31,22,30,0.0,37,32,0,1
0.9375,388.0,0.270627063,3.235602094,319,18.875,1,87.90625,7.809160305,88.0,0.032258065,0.0,31.0,18,0.931034483,0.992021277,0.0,2464.827438,32,87.9375,0.0625,32,32,0.508389262,0.0,30.87640449,32,0.0,2.57,0.0,59.6,0.137583893,1.8,88,2,0.0,388.0,388.0,8.8,0.1,2.375,10,0.0625,0.008948546,0.0,18,10.63333333,3,43,15.375,4,32,32,16,0.01650165,87.84375,88.0,30.82022472,0.21875,0.625,32,32,0,0.01760176,0.0,0.0,32,1.0,1.0,4.833892274,0.0,0,0.168903803,0.0,32,0.058544081,4.366666667,0.875,1,0.0,2,2.3,29,0.0,0.332233223,0.0,288,1,0.125,0.0,0.0,0.008389262,30.86516854,32,0.0,7,30.87640449,0.0,13.90147783,21,1.0,31,22,30,0.0,37,32,0,1
0.9375,388.0,0.270627063,3.235602094,319,18.875,1,87.90625,7.809160305,88.0,0.032258065,0.0,31.0,18,0.931034483,0.992021277,0.0,2464.827438,32,87.9375,0.0625,32,32,0.508389262,0.0,30.87640449,32,0.0,2.57,0.0,59.6,0.137583893,1.8,88,2,0.0,388.0,388.0,8.8,0.1,2.375,10,0.0625,0.008948546,0.0,18,10.63333333,3,43,15.375,3,32,32,16,0.01650165,87.84375,88.0,30.82022472,0.21875,0.625,32,32,0,0.01760176,0.0,0.0,32,1.0,1.0,4.833892274,0.0,0,0.168903803,0.0,32,0.058544081,4.366666667,0.875,1,0.0,2,2.3,29,0.0,0.332233223,0.0,288,1,0.125,0.0,0.0,0.008389262,30.86516854,32,0.0,7,30.87640449,0.0,13.90147783,21,1.0,31,22,30,0.0,37,32,0,1
0.9375,388.0,0.270627063,3.235602094,319,18.875,1,87.90625,7.809160305,88.0,0.032258065,0.0,31.0,18,0.931034483,0.992021277,0.0,2464.827438,32,87.9375,0.0625,32,32,0.508389262,0.0,30.87640449,32,0.0,2.57,0.0,59.6,0.137583893,1.8,88,2,0.0,388.0,388.0,8.8,0.1,2.375,10,0.0625,0.008948546,0.0,18,10.63333333,3,43,15.375,3,32,32,16,0.01650165,87.84375,88.0,30.82022472,0.21875,0.625,32,32,0,0.01760176,0.0,0.0,32,1.0,1.0,4.833892274,0.0,0,0.168903803,0.0,32,0.058544081,4.366666667,0.875,1,0.0,2,2.3,29,0.0,0.332233223,0.0,288,1,0.125,0.0,0.0,0.008389262,30.86516854,32,0.0,7,30.87640449,0.0,13.90147783,21,1.0,31,22,30,0.0,37,32,0,0
0.9375,388.0,0.270627063,3.235602094,319,18.875,1,87.90625,7.809160305,88.0,0.032258065,0.0,31.0,18,0.931034483,0.992021277,0.0,2464.827438,32,87.9375,0.0625,32,32,0.508389262,0.0,30.87640449,32,0.0,2.57,0.0,59.6,0.137583893,1.8,88,2,0.0,388.0,388.0,8.8,0.1,2.375,10,0.0625,0.008948546,0.0,18,10.63333333,3,43,15.375,2,32,32,16,0.01650165,87.84375,88.0,30.82022472,0.21875,0.625,32,32,0,0.01760176,0.0,0.0,32,1.0,1.0,4.833892274,0.0,0,0.168903803,0.0,32,0.058544081,4.366666667,0.875,1,0.0,1,2.3,29,0.0,0.332233223,0.0,288,1,0.125,0.0,0.0,0.008389262,30.86516854,32,0.0,7,30.87640449,0.0,13.90147783,21,1.0,31,22,30,0.0,37,32,0,1
0.9375,388.0,0.270627063,3.235602094,319,18.875,3,87.90625,7.809160305,88.0,0.032258065,0.0,31.0,18,0.931034483,0.992021277,0.0,2464.827438,32,87.9375,0.0625,32,32,0.508389262,0.0,30.87640449,32,0.0,2.57,0.0,59.6,0.137583893,1.8,88,2,0.0,388.0,388.0,8.8,0.1,2.375,10,0.0625,0.008948546,0.0,18,10.63333333,3,43,15.375,6,32,32,16,0.01650165,87.84375,88.0,30.82022472,0.21875,0.625,32,32,0,0.01760176,0.0,0.0,32,1.0,1.0,4.833892274,0.0,0,0.168903803,0.0,32,0.058544081,4.366666667,0.875,1,0.0,1,2.3,29,0.0,0.332233223,0.0,288,1,0.125,0.0,0.0,0.008389262,30.86516854,32,0.0,7,30.87640449,0.0,13.90147783,21,1.0,31,22,30,0.0,37,32,0,0
0.9375,388.0,0.270627063,3.235602094,319,18.875,2,87.90625,7.809160305,88.0,0.032258065,0.0,31.0,18,0.931034483,0.992021277,0.0,2464.827438,32,87.9375,0.0625,32,32,0.508389262,0.0,30.87640449,32,0.0,2.57,0.0,59.6,0.137583893,1.8,88,2,0.0,388.0,388.0,8.8,0.1,2.375,10,0.0625,0.008948546,0.0,18,10.63333333,3,43,15.375,4,32,32,16,0.01650165,87.84375,88.0,30.82022472,0.21875,0.625,32,32,0,0.01760176,0.0,0.0,32,1.0,1.0,4.833892274,0.0,0,0.168903803,0.0,32,0.058544081,4.366666667,0.875,1,0.0,2,2.3,29,0.0,0.332233223,0.0,288,1,0.125,0.0,0.0,0.008389262,30.86516854,32,0.0,7,30.87640449,0.0,13.90147783,21,1.0,31,22,30,0.0,37,32,0,0
0.9375,388.0,0.270627063,3.235602094,319,18.875,1,87.90625,7.809160305,88.0,0.032258065,0.0,31.0,18,0.931034483,0.992021277,0.0,2464.827438,32,87.9375,0.0625,32,32,0.508389262,0.0,30.87640449,32,0.0,2.57,0.0,59.6,0.137583893,1.8,88,2,0.0,388.0,388.0,8.8,0.1,2.375,10,0.0625,0.008948546,0.0,18,10.63333333,3,43,15.375,3,32,32,16,0.01650165,87.84375,88.0,30.82022472,0.21875,0.625,32,32,0,0.01760176,0.0,0.0,32,1.0,1.0,4.833892274,0.0,0,0.168903803,0.0,32,0.058544081,4.366666667,0.875,1,0.0,3,2.3,29,0.0,0.332233223,0.0,288,1,0.125,0.0,0.0,0.008389262,30.86516854,32,0.0,7,30.87640449,0.0,13.90147783,21,1.0,31,22,30,0.0,37,32,0,0
0.9375,388.0,0.270627063,3.235602094,319,18.875,4,87.90625,7.809160305,88.0,0.032258065,0.0,31.0,18,0.931034483,0.992021277,0.0,2464.827438,32,87.9375,0.0625,32,32,0.508389262,0.0,30.87640449,32,0.0,2.57,0.0,59.6,0.137583893,1.8,88,2,0.0,388.0,388.0,8.8,0.1,2.375,10,0.0625,0.008948546,0.0,18,10.63333333,3,43,15.375,2,32,32,16,0.01650165,87.84375,88.0,30.82022472,0.21875,0.625,32,32,0,0.01760176,0.0,0.0,32,1.0,1.0,4.833892274,0.0,0,0.168903803,0.0,32,0.058544081,4.366666667,0.875,1,0.0,6,2.3,29,0.0,0.332233223,0.0,288,1,0.125,0.0,0.0,0.008389262,30.86516854,32,0.0,7,30.87640449,0.0,13.90147783,21,1.0,31,22,30,0.0,37,32,0,1
0.0,162.0,0.183708839,5.59,452,1.434782609,4,117.9166667,8.096385542,118.0,0.09375,0.390990059,34.83193277,27,0.71969697,0.175675676,0.041937816,1122.203063,34,118.0,0.205882353,36,34,0.417208966,0.0,34.81512605,34,118.0,3.711956522,0.793492048,45.68965517,0.076644975,0.344827586,118,4,0.24137931,2614.4,5169.0,12.13793103,0.862068966,0.970588235,10,0.138888889,0.066522054,0.25,2,14.96551724,4,8,1.152173913,3,28,1,24,0.0,0.0,118.0,34.84033613,0.058823529,0.117647059,36,34,2,0.159445407,0.005531468,0.0,36,2.666666667,0.175675676,4.320445806,0.124685269,1,0.095444685,0.0,33,0.567715168,2.862068966,0.175675676,34,0.184262169,3,0.172413793,10,35.0,0.228769497,0.034482759,11,34,0.088235294,0.0,100.0,0.0,0.0,34,0.0,12,34.81512605,0.0,5.727272727,18,0.177122977,34,17,34,0.0,47,34,0,1
