programming_experience,java_experience,complexity,MinNameQuality,MinInternalDocumentation,MinExternalDocumentation,MinExternalPopularity,MeanInternalDocumentation,MeanExternalDocumentation,MeanExternalPopularity,MaxNameQuality,MaxInternalDocumentation,Readability,READABILITY.New.Identifiers.words.AVG,READABILITY.New.Abstractness.words.AVG,READABILITY.New.Abstractness.words.MAX,READABILITY.New.Commented.words.AVG,READABILITY.New.Synonym.commented.words.AVG,READABILITY.New.Synonym.commented.words.MAX,READABILITY.New.Comments.readability,READABILITY.New.Number.of.senses.AVG,READABILITY.New.Number.of.senses.MAX,READABILITY.New.Text.Coherence.AVG,READABILITY.New.Text.Coherence.MIN,READABILITY.New.Text.Coherence.MAX,READABILITY.BW.Avg.Assignment,READABILITY.BW.Avg.blank.lines,READABILITY.BW.Avg.commas,READABILITY.BW.Avg.comments,READABILITY.BW.Avg.comparisons,READABILITY.BW.Avg.Identifiers.Length,READABILITY.BW.Avg.conditionals,READABILITY.BW.Avg.indentation.length,READABILITY.BW.Avg.keywords,READABILITY.BW.Avg.line.length,READABILITY.BW.Avg.loops,READABILITY.BW.Avg.number.of.identifiers,READABILITY.BW.Avg.numbers,READABILITY.BW.Avg.operators,READABILITY.BW.Avg.parenthesis,READABILITY.BW.Avg.periods,READABILITY.BW.Max.Identifiers.Length,READABILITY.BW.Max.keywords,READABILITY.BW.Max.line.length,READABILITY.BW.Max.number.of.identifiers,READABILITY.BW.Max.char,READABILITY.BW.Max.words,READABILITY.Posnett.entropy,READABILITY.Posnett.volume,READABILITY.Posnett.lines,READABILITY.Dorn.DFT.Assignments,READABILITY.Dorn.DFT.Comparisons,READABILITY.Dorn.DFT.Conditionals,READABILITY.Dorn.DFT.Indentations,READABILITY.Dorn.DFT.LineLengths,READABILITY.Dorn.DFT.Numbers,READABILITY.Dorn.DFT.Operators,READABILITY.Dorn.Visual.X.Comments,READABILITY.Dorn.Visual.X.Numbers,READABILITY.Dorn.Visual.X.Strings,READABILITY.Dorn.Visual.Y.Strings,READABILITY.Dorn.Visual.X.Literals,READABILITY.Dorn.Areas.Identifiers,READABILITY.Dorn.Areas.Keywords,READABILITY.Dorn.Areas.Strings,READABILITY.Dorn.Areas.Operators,READABILITY.Dorn.Areas.Keywords.Identifiers,READABILITY.Dorn.Areas.Operators.Identifiers,READABILITY.Dorn.align.blocks,KASTO.NestedBlocks,KASTO.NumberOfParameters,KASTO.NumberOfStatements,ABU50
1,1,5,0.5,0,0,0.000235046,0.125,0.007447626,0.012518701,0.75,0.5,0.133943856,0.822147651,5.261044177,11,0,3.882513661,24,0,7.372483221,38,0.266554252,0.074535599,0.778498944,0.244897959,0.020408163,0.244897959,0.020408163,0,8.457446809,0.083333333,9.125,0.479166667,51.41666667,0.041666667,3.916666667,0,0,1.142857143,0.979166667,28,2,161,17,559,16,4.86697493,2275.889077,49,49,1,49,49,48,1,1,0,0,160.9795918,47.91975309,0,0.51734104,0.036746491,0.178364988,0.082163501,0.071029529,0.158818835,110,2.5,1,31,0
1,1,7,0.75,1,0,0,1,0.001849894,0.061222559,0.75,1,0.327948004,0.838709677,4.687179487,11,0.032258065,4.180379747,25,100,6.612903226,44,0.411582867,0.068041382,0.881917104,0.188405797,0,0.072463768,0.014285714,0.101449275,7.917197452,0.072463768,13.01449275,0.434782609,38.2173913,0.043478261,2.275362319,0.028985507,0.072463768,0.869565217,0.594202899,30,3,100,13,1021,17,4.065431924,2537.665601,70,69,69,69,69,55,69,69,100,98.94285714,99.95714286,68.87128713,0,0.410558299,0.042916825,0.08355488,0.088492214,0.10453284,0.215541166,60,3.4,0,44,0
1,1,3,0.75,0.5,0,0,0.5,234.9393939,0.006295344,0.75,0.5,0.361793697,0.847222222,5.3125,11,0,2.585106383,14,0,4.819444444,45,0.522544307,0.142857143,1,0.066666667,0,0.2,0.02173913,0.177777778,9.333333333,0,0,0.666666667,27.08888889,0,2.066666667,0.044444444,0.022222222,1.088888889,0.333333333,22,3,96,7,153,13,4.923989992,1698.504973,45,45,45,1,45,34,45,45,0,0,100.9777778,43.89215686,0,0.57122905,0.091480447,0.028631285,0.108938547,0.160146699,0.190709046,75,6.4,0,21,1
1,1,2,0.9375,0.9,1,0,0.9,621.75,0.024060233,0.9375,0.9,0.314037114,0.98245614,4.686390533,8,0,11.39428571,24,0,5.368421053,57,0,1,0,0.322580645,0.290322581,0.612903226,0.043478261,0,8,0,0,0.181818182,59.77272727,0,5.636363636,1.136363636,0,1,0.818181818,22,3,87,9,182,28,4.595856079,1283.110025,31,22,1,1,22,22,31,1,0,0,88.96774194,25.51111111,0,0.433948339,0.01402214,0.392619926,0.095202952,0.032312925,0.219387755,84,1,0,19,1
1,1,2,0.75,0,2363,0.010923062,0.25,3635.333333,0.026598577,1,1,0.543387294,0.827338129,3.698275862,12,0.446043165,8.671232877,29,100,10.74820144,41,0,1,0,0.310344828,0.1875,0.275862069,0.041666667,0,6.912621359,0,0,0.304347826,41.60869565,0,4.47826087,1.130434783,0,1,0.826086957,33,3,89,10,105,14,4.7742856,1128.663069,32,29,1,1,29,32,29,1,91,0,90.96875,30.92391304,0,0.566884939,0.031805426,0.145930776,0.110383536,0.056105611,0.194719472,33,1,0,23,1
1,1,3,0.875,0,31,0.005374101,0.1912625,1208.125,0.005374101,1,0.647575,0.654066205,0.845238095,5.095890411,10,0.178571429,1.892156863,10,100,11.75,45,0.427113299,0.226455407,0.707106781,0.060606061,0.235294118,0.060606061,0.038461538,0,8.980769231,0.04,0,0.52,25.28,0,2.08,0.16,0,0.666666667,0.28,51,3,84,7,73,7,4.852884667,735.9083149,34,33,1,33,33,31,1,1,85,0,84.94117647,32.52325581,0,0.561983471,0.097796143,0.063360882,0.099173554,0.174019608,0.176470588,22,3.333333333,0,10,1
1,1,3,0.5,0.17295,18,0.000101187,0.516135,619.0769231,0.103260322,0.9375,1,0.624509215,0.797979798,5.590361446,10,0.050505051,1.959677419,9,100,5.323232323,45,0.693351121,0.414039336,1,0.096774194,0.147058824,0.064516129,0.037037037,0,10.16981132,0,0,0.730769231,28.69230769,0,2.038461538,0,0,0.967741935,0.384615385,32,3,66,6,89,8,4.984285075,879.0548903,34,30,1,1,30,33,1,1,0,0,97.94117647,32.88888889,0,0.526804124,0.089690722,0.150515464,0.090721649,0.170254403,0.17221135,25,4,0,13,0
1,1,4,1,1,388,0.002920883,1,1629.4,0.011801966,1,1,0.463682532,0.769230769,4.658730159,10,0.104895105,3.065656566,27,100,7.93006993,45,0.385622152,0.080064077,0.954521404,0.195121951,0.021276596,0.048780488,0.130434783,0.024390244,7.574712644,0.075,7.85,0.45,31.35,0,2.175,0.075,0.024390244,0.87804878,0.65,24,2,69,7,412,11,4.596703497,1409.735094,47,41,41,41,41,35,41,41,68.93617021,69,68.89361702,45.8,0,0.400137268,0.046671242,0.065888813,0.090597117,0.116638079,0.226415094,44,3.4,1,24,0
2,1,2,0.875,0,388,0,0,388,0,1,0,0.058544081,0.931034483,3.235602094,10,0,2.57,21,0,13.90147783,37,0,1,0,0.0625,0.0625,0.625,0.032258065,0.125,7.809160305,0,8.8,0.1,59.6,0,4.366666667,2.3,0.21875,2.375,1.8,18,3,88,7,319,29,4.833892274,2464.827438,32,32,32,1,30,32,32,32,0,87.84375,88,30.87640449,0,0.508389262,0.008948546,0.168903803,0.137583893,0.01760176,0.270627063,43,1,0,22,1
2,6,2,0.875,0,388,0,0,388,0,1,0,0.058544081,0.931034483,3.235602094,10,0,2.57,21,0,13.90147783,37,0,1,0,0.0625,0.0625,0.625,0.032258065,0.125,7.809160305,0,8.8,0.1,59.6,0,4.366666667,2.3,0.21875,2.375,1.8,18,3,88,7,319,29,4.833892274,2464.827438,32,32,32,1,30,32,32,32,0,87.84375,88,30.87640449,0,0.508389262,0.008948546,0.168903803,0.137583893,0.01760176,0.270627063,43,1,0,22,1
