programming_experience,java_experience,complexity,MinNameQuality,MinInternalDocumentation,MinExternalDocumentation,MinExternalPopularity,MeanInternalDocumentation,MeanExternalDocumentation,MeanExternalPopularity,MaxNameQuality,MaxInternalDocumentation,Readability,READABILITY.New.Identifiers.words.AVG,READABILITY.New.Abstractness.words.AVG,READABILITY.New.Abstractness.words.MAX,READABILITY.New.Commented.words.AVG,READABILITY.New.Synonym.commented.words.AVG,READABILITY.New.Synonym.commented.words.MAX,READABILITY.New.Comments.readability,READABILITY.New.Number.of.senses.AVG,READABILITY.New.Number.of.senses.MAX,READABILITY.New.Text.Coherence.AVG,READABILITY.New.Text.Coherence.MIN,READABILITY.New.Text.Coherence.MAX,READABILITY.BW.Avg.Assignment,READABILITY.BW.Avg.blank.lines,READABILITY.BW.Avg.commas,READABILITY.BW.Avg.comments,READABILITY.BW.Avg.comparisons,READABILITY.BW.Avg.Identifiers.Length,READABILITY.BW.Avg.conditionals,READABILITY.BW.Avg.indentation.length,READABILITY.BW.Avg.keywords,READABILITY.BW.Avg.line.length,READABILITY.BW.Avg.loops,READABILITY.BW.Avg.number.of.identifiers,READABILITY.BW.Avg.numbers,READABILITY.BW.Avg.operators,READABILITY.BW.Avg.parenthesis,READABILITY.BW.Avg.periods,READABILITY.BW.Max.Identifiers.Length,READABILITY.BW.Max.keywords,READABILITY.BW.Max.line.length,READABILITY.BW.Max.number.of.identifiers,READABILITY.BW.Max.char,READABILITY.BW.Max.words,READABILITY.Posnett.entropy,READABILITY.Posnett.volume,READABILITY.Posnett.lines,READABILITY.Dorn.DFT.Assignments,READABILITY.Dorn.DFT.Comparisons,READABILITY.Dorn.DFT.Conditionals,READABILITY.Dorn.DFT.Indentations,READABILITY.Dorn.DFT.LineLengths,READABILITY.Dorn.DFT.Numbers,READABILITY.Dorn.DFT.Operators,READABILITY.Dorn.Visual.X.Comments,READABILITY.Dorn.Visual.X.Numbers,READABILITY.Dorn.Visual.X.Strings,READABILITY.Dorn.Visual.Y.Strings,READABILITY.Dorn.Visual.X.Literals,READABILITY.Dorn.Areas.Identifiers,READABILITY.Dorn.Areas.Keywords,READABILITY.Dorn.Areas.Strings,READABILITY.Dorn.Areas.Operators,READABILITY.Dorn.Areas.Keywords.Identifiers,READABILITY.Dorn.Areas.Operators.Identifiers,READABILITY.Dorn.align.blocks,KASTO.NestedBlocks,KASTO.NumberOfParameters,KASTO.NumberOfStatements,BD50
3,3,2,0.875,0,388,0,0,388,0,1,0,0.0585440807044506,0.931034482758621,3.23560209424084,10,0,2.57,21,0,13.9014778325123,37,0,1,0,0.0625,0.0625,0.625,0.032258064516129,0.125,7.80916030534351,0,8.8,0.1,59.6,0,4.36666666666667,2.3,0.21875,2.375,1.8,18,3,88,7,319,29,4.83389227442109,2464.82743768261,32,32,32,1,30,32,32,32,0,87.84375,88,30.876404494382,0,0.508389261744966,0.00894854586129754,0.168903803131991,0.13758389261745,0.0176017601760176,0.270627062706271,43,1,0,22,0
4,2,2,0.875,0,388,0,0,388,0,1,0,0.0585440807044506,0.931034482758621,3.23560209424084,10,0,2.57,21,0,13.9014778325123,37,0,1,0,0.0625,0.0625,0.625,0.032258064516129,0.125,7.80916030534351,0,8.8,0.1,59.6,0,4.36666666666667,2.3,0.21875,2.375,1.8,18,3,88,7,319,29,4.83389227442109,2464.82743768261,32,32,32,1,30,32,32,32,0,87.84375,88,30.876404494382,0,0.508389261744966,0.00894854586129754,0.168903803131991,0.13758389261745,0.0176017601760176,0.270627062706271,43,1,0,22,0
3,2,2,0.875,0,388,0,0,388,0,1,0,0.0585440807044506,0.931034482758621,3.23560209424084,10,0,2.57,21,0,13.9014778325123,37,0,1,0,0.0625,0.0625,0.625,0.032258064516129,0.125,7.80916030534351,0,8.8,0.1,59.6,0,4.36666666666667,2.3,0.21875,2.375,1.8,18,3,88,7,319,29,4.83389227442109,2464.82743768261,32,32,32,1,30,32,32,32,0,87.84375,88,30.876404494382,0,0.508389261744966,0.00894854586129754,0.168903803131991,0.13758389261745,0.0176017601760176,0.270627062706271,43,1,0,22,0
2,1,2,0.875,0,388,0,0,388,0,1,0,0.0585440807044506,0.931034482758621,3.23560209424084,10,0,2.57,21,0,13.9014778325123,37,0,1,0,0.0625,0.0625,0.625,0.032258064516129,0.125,7.80916030534351,0,8.8,0.1,59.6,0,4.36666666666667,2.3,0.21875,2.375,1.8,18,3,88,7,319,29,4.83389227442109,2464.82743768261,32,32,32,1,30,32,32,32,0,87.84375,88,30.876404494382,0,0.508389261744966,0.00894854586129754,0.168903803131991,0.13758389261745,0.0176017601760176,0.270627062706271,43,1,0,22,0
6,1,2,0.875,0,388,0,0,388,0,1,0,0.0585440807044506,0.931034482758621,3.23560209424084,10,0,2.57,21,0,13.9014778325123,37,0,1,0,0.0625,0.0625,0.625,0.032258064516129,0.125,7.80916030534351,0,8.8,0.1,59.6,0,4.36666666666667,2.3,0.21875,2.375,1.8,18,3,88,7,319,29,4.83389227442109,2464.82743768261,32,32,32,1,30,32,32,32,0,87.84375,88,30.876404494382,0,0.508389261744966,0.00894854586129754,0.168903803131991,0.13758389261745,0.0176017601760176,0.270627062706271,43,1,0,22,0
4,2,2,0.875,0,388,0,0,388,0,1,0,0.0585440807044506,0.931034482758621,3.23560209424084,10,0,2.57,21,0,13.9014778325123,37,0,1,0,0.0625,0.0625,0.625,0.032258064516129,0.125,7.80916030534351,0,8.8,0.1,59.6,0,4.36666666666667,2.3,0.21875,2.375,1.8,18,3,88,7,319,29,4.83389227442109,2464.82743768261,32,32,32,1,30,32,32,32,0,87.84375,88,30.876404494382,0,0.508389261744966,0.00894854586129754,0.168903803131991,0.13758389261745,0.0176017601760176,0.270627062706271,43,1,0,22,0
3,3,2,0.875,0,388,0,0,388,0,1,0,0.0585440807044506,0.931034482758621,3.23560209424084,10,0,2.57,21,0,13.9014778325123,37,0,1,0,0.0625,0.0625,0.625,0.032258064516129,0.125,7.80916030534351,0,8.8,0.1,59.6,0,4.36666666666667,2.3,0.21875,2.375,1.8,18,3,88,7,319,29,4.83389227442109,2464.82743768261,32,32,32,1,30,32,32,32,0,87.84375,88,30.876404494382,0,0.508389261744966,0.00894854586129754,0.168903803131991,0.13758389261745,0.0176017601760176,0.270627062706271,43,1,0,22,0
3,3,4,0.175675675675676,0,162,0.00553146750025828,0,2614.4,0.124685268726175,0.175675675675676,0,0.567715167999268,0.71969696969697,5.59,10,0.25,3.71195652173913,18,100,5.72727272727273,47,0.390990059470841,0.177122977108019,0.793492047615872,0.205882352941176,0.138888888888889,0.117647058823529,0.09375,0.0882352941176471,8.09638554216867,0.241379310344828,12.1379310344828,0.862068965517241,45.6896551724138,0.0344827586206897,2.86206896551724,0.172413793103448,0.0588235294117647,0.970588235294118,0.344827586206897,27,4,118,12,452,10,4.32044580600126,1122.20306292188,36,34,34,34,34,36,1,34,118,0,118,34.8151260504202,0,0.417208966015907,0.0665220535068691,0.0954446854663774,0.076644974692697,0.159445407279029,0.18370883882149,8,2.66666666666667,2,17,0
4,2,4,0.175675675675676,0,162,0.00553146750025828,0,2614.4,0.124685268726175,0.175675675675676,0,0.567715167999268,0.71969696969697,5.59,10,0.25,3.71195652173913,18,100,5.72727272727273,47,0.390990059470841,0.177122977108019,0.793492047615872,0.205882352941176,0.138888888888889,0.117647058823529,0.09375,0.0882352941176471,8.09638554216867,0.241379310344828,12.1379310344828,0.862068965517241,45.6896551724138,0.0344827586206897,2.86206896551724,0.172413793103448,0.0588235294117647,0.970588235294118,0.344827586206897,27,4,118,12,452,10,4.32044580600126,1122.20306292188,36,34,34,34,34,36,1,34,118,0,118,34.8151260504202,0,0.417208966015907,0.0665220535068691,0.0954446854663774,0.076644974692697,0.159445407279029,0.18370883882149,8,2.66666666666667,2,17,0
3,2,4,0.175675675675676,0,162,0.00553146750025828,0,2614.4,0.124685268726175,0.175675675675676,0,0.567715167999268,0.71969696969697,5.59,10,0.25,3.71195652173913,18,100,5.72727272727273,47,0.390990059470841,0.177122977108019,0.793492047615872,0.205882352941176,0.138888888888889,0.117647058823529,0.09375,0.0882352941176471,8.09638554216867,0.241379310344828,12.1379310344828,0.862068965517241,45.6896551724138,0.0344827586206897,2.86206896551724,0.172413793103448,0.0588235294117647,0.970588235294118,0.344827586206897,27,4,118,12,452,10,4.32044580600126,1122.20306292188,36,34,34,34,34,36,1,34,118,0,118,34.8151260504202,0,0.417208966015907,0.0665220535068691,0.0954446854663774,0.076644974692697,0.159445407279029,0.18370883882149,8,2.66666666666667,2,17,1
