metric,dataset_id,metric_type,expected_cor,num_snippets_for_correlation,kendalls_tau,kendalls_p_value,expected_cor?,cor_intepretation,stat_significant?
correct_output_rating,1,correctness,negative,23,-0.22771001702132437,0.20032802218695256,*,small,
output_difficulty,1,rating,negative,23,-0.26347777762091695,0.13298506711601743,*,small,
time_to_give_output,1,time,positive,23,0.2297034206521828,0.18729084163390897,*,small,
brain_deact_31ant,2,physiological,negative,12,,,,,
brain_deact_31post,2,physiological,negative,12,,,,,
brain_deact_32,2,physiological,negative,12,,,,,
time_to_understand,2,time,positive,12,,,,,
readability_level,3,rating,negative,100,-0.22890415976703282,0.004154062204876697,*,small,**
binary_understandability,6,rating,negative,50,-0.017889603976091347,0.8831700141519032,*,none,
correct_verif_questions,6,correctness,negative,50,-0.024399220623378976,0.8337884478927275,*,none,
time_to_understand,6,time,positive,50,-0.25161225674918486,0.029400043358656994,,small,*
gap_accuracy,9,correctness,negative,30,-0.15350626949363402,0.3197630116677985,*,small,
readability_level_ba,9,rating,negative,30,0.20951312035156963,0.17537923007396616,,small,
readability_level_before,9,rating,negative,30,0.2072009724655128,0.18192926663069442,,small,
time_to_read_complete,9,time,positive,30,-0.06524669105718928,0.6720517686591893,,none,
brain_deact_31,f,physiological,negative,16,-0.10232343558582006,0.6377328900501884,*,small,
brain_deact_32,f,physiological,negative,16,-0.014617633655117153,0.94636892512424,*,none,
complexity_level,f,rating,positive,16,0.2788995520575487,0.20089032653971306,*,small,
perc_correct_output,f,correctness,negative,16,-0.16284238361758674,0.45801098838521903,*,small,
time_to_understand,f,time,positive,16,-0.24849977213699162,0.2528129010164081,,small,
