dataset,snippet,metric,metric_value,#_of_warnings,tool,dataset_id,metric_type
1,1,correct_output_rating,1.2195121951219512,0,all_tools,1,correctness
1,2,correct_output_rating,1.951219512195122,0,all_tools,1,correctness
1,3,correct_output_rating,1.4878048780487805,0,all_tools,1,correctness
1,4,correct_output_rating,1.4878048780487805,0,all_tools,1,correctness
1,5,correct_output_rating,1.4390243902439024,0,all_tools,1,correctness
1,6,correct_output_rating,1.7804878048780488,0,all_tools,1,correctness
1,7,correct_output_rating,1.804878048780488,0,all_tools,1,correctness
1,8,correct_output_rating,1.4634146341463414,0,all_tools,1,correctness
1,9,correct_output_rating,1.853658536585366,0,all_tools,1,correctness
1,10,correct_output_rating,1.8780487804878048,0,all_tools,1,correctness
1,11,correct_output_rating,1.6341463414634143,0,all_tools,1,correctness
1,12,correct_output_rating,1.853658536585366,1,all_tools,1,correctness
1,13,correct_output_rating,2.0,0,all_tools,1,correctness
1,14,correct_output_rating,1.902439024390244,3,all_tools,1,correctness
1,15,correct_output_rating,0.7804878048780488,9,all_tools,1,correctness
1,16,correct_output_rating,1.951219512195122,0,all_tools,1,correctness
1,17,correct_output_rating,1.6585365853658536,0,all_tools,1,correctness
1,18,correct_output_rating,1.3902439024390243,0,all_tools,1,correctness
1,19,correct_output_rating,1.3902439024390243,8,all_tools,1,correctness
1,20,correct_output_rating,1.3902439024390243,0,all_tools,1,correctness
1,21,correct_output_rating,1.3902439024390243,0,all_tools,1,correctness
1,22,correct_output_rating,1.3902439024390243,0,all_tools,1,correctness
1,23,correct_output_rating,1.829268292682927,0,all_tools,1,correctness
1,1,output_difficulty,3.1707317073170733,0,all_tools,1,rating
1,2,output_difficulty,2.975609756097561,0,all_tools,1,rating
1,3,output_difficulty,2.3902439024390243,0,all_tools,1,rating
1,4,output_difficulty,2.414634146341464,0,all_tools,1,rating
1,5,output_difficulty,1.975609756097561,0,all_tools,1,rating
1,6,output_difficulty,3.1219512195121952,0,all_tools,1,rating
1,7,output_difficulty,3.2195121951219514,0,all_tools,1,rating
1,8,output_difficulty,2.3902439024390243,0,all_tools,1,rating
1,9,output_difficulty,3.1707317073170733,0,all_tools,1,rating
1,10,output_difficulty,3.634146341463415,0,all_tools,1,rating
1,11,output_difficulty,3.097560975609756,0,all_tools,1,rating
1,12,output_difficulty,3.341463414634146,1,all_tools,1,rating
1,13,output_difficulty,3.731707317073171,0,all_tools,1,rating
1,14,output_difficulty,3.4878048780487805,3,all_tools,1,rating
1,15,output_difficulty,1.0731707317073171,9,all_tools,1,rating
1,16,output_difficulty,3.7804878048780486,0,all_tools,1,rating
1,17,output_difficulty,3.048780487804878,0,all_tools,1,rating
1,18,output_difficulty,2.317073170731707,0,all_tools,1,rating
1,19,output_difficulty,1.902439024390244,8,all_tools,1,rating
1,20,output_difficulty,3.1951219512195124,0,all_tools,1,rating
1,21,output_difficulty,2.4878048780487805,0,all_tools,1,rating
1,22,output_difficulty,2.3902439024390243,0,all_tools,1,rating
1,23,output_difficulty,3.414634146341464,0,all_tools,1,rating
1,1,time_to_give_output,68.01441463414633,0,all_tools,1,time
1,2,time_to_give_output,100.26741463414632,0,all_tools,1,time
1,3,time_to_give_output,132.46873170731706,0,all_tools,1,time
1,4,time_to_give_output,154.64156097560976,0,all_tools,1,time
1,5,time_to_give_output,211.48453658536584,0,all_tools,1,time
1,6,time_to_give_output,70.5109512195122,0,all_tools,1,time
1,7,time_to_give_output,66.04860975609758,0,all_tools,1,time
1,8,time_to_give_output,104.82602439024387,0,all_tools,1,time
1,9,time_to_give_output,65.42085365853657,0,all_tools,1,time
1,10,time_to_give_output,42.58580487804878,0,all_tools,1,time
1,11,time_to_give_output,65.47378048780489,0,all_tools,1,time
1,12,time_to_give_output,59.81002439024391,1,all_tools,1,time
1,13,time_to_give_output,37.42529268292683,0,all_tools,1,time
1,14,time_to_give_output,48.39470731707317,3,all_tools,1,time
1,15,time_to_give_output,355.3091707317073,9,all_tools,1,time
1,16,time_to_give_output,20.50239024390244,0,all_tools,1,time
1,17,time_to_give_output,99.98841463414637,0,all_tools,1,time
1,18,time_to_give_output,132.07892682926828,0,all_tools,1,time
1,19,time_to_give_output,145.2398292682927,8,all_tools,1,time
1,20,time_to_give_output,80.62182926829269,0,all_tools,1,time
1,21,time_to_give_output,89.93921951219512,0,all_tools,1,time
