metric,dataset_id,metric_type,expected_cor,num_snippets_for_correlation,kendalls_tau,kendalls_p_value,expected_cor?,cor_intepretation,stat_significant?
correct_output_rating,1,correctness,negative,23,-0.2588600915717736,0.11858261348204922,*,small,
output_difficulty,1,rating,negative,23,-0.3630554894720564,0.02649782086730554,*,medium,*
time_to_give_output,1,time,positive,23,0.38268492933927684,0.01856470797931634,*,medium,*
brain_deact_31ant,2,physiological,negative,12,-0.20184335693983277,0.4065712940338708,*,small,
brain_deact_31post,2,physiological,negative,12,-0.23854214911071142,0.32667108863875705,*,small,
brain_deact_32,2,physiological,negative,12,-0.49543369430686224,0.0416368567827736,*,medium,*
time_to_understand,2,time,positive,12,0.3486385256233475,0.15170441973059706,*,medium,
readability_level,3,rating,negative,100,-0.10997324208984206,0.16879639042695227,*,small,
binary_understandability,6,rating,negative,50,-0.02584053907657639,0.8319012317886401,*,none,
correct_verif_questions,6,correctness,negative,50,-0.024399220623378976,0.8337884478927275,*,none,
time_to_understand,6,time,positive,50,-0.25161225674918486,0.029400043358656994,,small,*
gap_accuracy,9_nc,correctness,negative,10,-0.14907119849998599,0.5730251193553904,*,small,
readability_level_ba,9_nc,rating,negative,10,0.3975231959999626,0.13285495573105377,,medium,
readability_level_before,9_nc,rating,negative,10,0.29814239699997197,0.2596563563704499,,small,
time_to_read_complete,9_nc,time,positive,10,-0.24845199749997662,0.34755803674116903,,small,
brain_deact_31,f,physiological,negative,16,-0.2608745973749755,0.189459515366179,*,small,
brain_deact_32,f,physiological,negative,16,-0.3540440964374667,0.07494263177455186,*,medium,
complexity_level,f,rating,positive,16,0.14034022285595998,0.481699512487204,*,small,
perc_correct_output,f,correctness,negative,16,0.03774256780481986,0.8508111952177798,,none,
time_to_understand,f,time,positive,16,0.07453559924999299,0.7077285315990198,*,none,
