metric,dataset_id,metric_type,expected_cor,num_snippets_for_correlation,kendalls_tau,kendalls_p_value,expected_cor?,cor_intepretation,stat_significant?
correct_output_rating,1,correctness,negative,23,-0.3474396144861517,0.03280635647293951,*,medium,*
output_difficulty,1,rating,negative,23,-0.45043061778919774,0.005037057301693687,*,medium,**
time_to_give_output,1,time,positive,23,0.43384050009413294,0.006548531138656388,*,medium,**
brain_deact_31ant,2,physiological,negative,12,-0.3133397807202561,0.1884699909010059,*,medium,
brain_deact_31post,2,physiological,negative,12,-0.4526019054848143,0.05748353173133636,*,medium,
brain_deact_32,2,physiological,negative,12,-0.3829708431025352,0.10797380145746664,*,medium,
time_to_understand,2,time,positive,12,0.13926212476455826,0.5588858290416201,*,small,
readability_level,3,rating,negative,100,-0.166997171082981,0.020554065148393735,*,small,*
binary_understandability,6,rating,negative,50,-0.019919765414749987,0.8702830299999043,*,none,
correct_verif_questions,6,correctness,negative,50,-0.022570430888309446,0.8463887047098356,*,none,
time_to_understand,6,time,positive,50,-0.24654599845943134,0.03317524973370743,,small,*
gap_accuracy,9,correctness,negative,30,-0.33640735654987874,0.029226980028005462,*,medium,*
readability_level_ba,9,rating,negative,30,0.2782596129669284,0.07189709606845146,,small,
readability_level_before,9,rating,negative,30,0.2532456330134045,0.10279138206921289,,small,
time_to_read_complete,9,time,positive,30,-0.3980048154488546,0.009813401499667623,,medium,**
brain_deact_31,f,physiological,negative,16,-0.07231015260621872,0.7109408130275545,*,none,
brain_deact_32,f,physiological,negative,16,-0.14462030521243743,0.4585808603419015,*,small,
complexity_level,f,rating,positive,16,0.3358367028586707,0.08624311155558002,*,medium,
perc_correct_output,f,correctness,negative,16,-0.18307834546036322,0.35253697856938315,*,small,
time_to_understand,f,time,positive,16,-0.10846522890932808,0.5782865569224829,,small,
