metric,dataset_id,metric_type,expected_cor,num_snippets_for_correlation,kendalls_tau,kendalls_p_value,expected_cor?,cor_intepretation,stat_significant?
correct_output_rating,1,correctness,negative,23,-0.09266821663323266,0.5984721667632871,*,none,
output_difficulty,1,rating,negative,23,-0.12596964497290164,0.4679676774681618,*,small,
time_to_give_output,1,time,positive,23,0.09719878783949158,0.5729099316418407,*,none,
brain_deact_31ant,2,physiological,negative,12,-0.11134044285378082,0.6639079018776488,*,small,
brain_deact_31post,2,physiological,negative,12,-0.2597943666588219,0.31063545633740075,*,small,
brain_deact_32,2,physiological,negative,12,0.11134044285378082,0.6639079018776488,,small,
time_to_understand,2,time,positive,12,-0.2597943666588219,0.31063545633740075,,small,
readability_level,3,rating,negative,100,-0.2296446241402438,0.0013810859520988483,*,small,**
binary_understandability,6,rating,negative,50,-0.021865071526333872,0.8574604535784878,*,none,
correct_verif_questions,6,correctness,negative,50,-0.028152946873129588,0.8086800956106934,*,none,
time_to_understand,6,time,positive,50,-0.24788466776030804,0.03188792894690582,,small,*
gap_accuracy,9,correctness,negative,30,-0.1668825406867738,0.2550672974746294,*,small,
readability_level_ba,9,rating,negative,30,0.2664954118305773,0.06971859781714017,,small,
readability_level_before,9,rating,negative,30,0.2791309202017375,0.05845574211659071,,small,
time_to_read_complete,9,time,positive,30,-0.11301058393680173,0.4404006981390032,,small,
brain_deact_31,f,physiological,negative,16,-0.16617574758359693,0.43474703497199285,*,small,
brain_deact_32,f,physiological,negative,16,-0.08947924869885987,0.6740550539155759,*,none,
complexity_level,f,rating,positive,16,0.33374500859622364,0.11796126507986796,*,medium,
perc_correct_output,f,correctness,negative,16,-0.3495310368212778,0.10369238333751107,*,medium,
time_to_understand,f,time,positive,16,-0.0639137490706142,0.7638561357920776,,none,
