metric,dataset_id,metric_type,expected_cor,num_snippets_for_correlation,kendalls_tau,kendalls_p_value,expected_cor?,cor_intepretation,stat_significant?
correct_output_rating,1,correctness,negative,23,-0.4203027620236463,0.010468856780664915,*,medium,*
output_difficulty,1,rating,negative,23,-0.5102500818956269,0.0016325222238315876,*,large,**
time_to_give_output,1,time,positive,23,0.5017986713148654,0.0018200660797295448,*,large,**
brain_deact_31ant,2,physiological,negative,12,-0.20184335693983277,0.4065712940338708,*,small,
brain_deact_31post,2,physiological,negative,12,-0.23854214911071142,0.32667108863875705,*,small,
brain_deact_32,2,physiological,negative,12,-0.49543369430686224,0.0416368567827736,*,medium,*
time_to_understand,2,time,positive,12,0.3486385256233475,0.15170441973059706,*,medium,
readability_level,3,rating,negative,100,-0.2168111127190313,0.006072363249689649,*,small,**
binary_understandability,6,rating,negative,50,-0.021865071526333872,0.8574604535784878,*,none,
correct_verif_questions,6,correctness,negative,50,-0.028152946873129588,0.8086800956106934,*,none,
time_to_understand,6,time,positive,50,-0.24788466776030804,0.03188792894690582,,small,*
gap_accuracy,9,correctness,negative,30,-0.3546780165447971,0.012621596666894944,*,medium,*
readability_level_ba,9,rating,negative,30,0.28867513459481287,0.04276947240054693,,small,*
readability_level_before,9,rating,negative,30,0.28465018844122314,0.04660031288457147,,small,*
time_to_read_complete,9,time,positive,30,-0.3462790510727774,0.014781425524297348,,medium,*
brain_deact_31,f,physiological,negative,16,-0.29814239699997197,0.13370925537085274,*,small,
brain_deact_32,f,physiological,negative,16,-0.33541019662496846,0.09158640068498186,*,medium,
complexity_level,f,rating,positive,16,0.25261240114072797,0.20535948338054222,*,small,
perc_correct_output,f,correctness,negative,16,-0.01887128390240993,0.925075991896835,*,none,
time_to_understand,f,time,positive,16,-0.018633899812498248,0.9253259263039811,,none,
