metric,dataset_id,metric_type,expected_cor,num_snippets_for_correlation,kendalls_tau,kendalls_p_value,expected_cor?,cor_intepretation,stat_significant?
correct_output_rating,1,correctness,negative,23,-0.3474396144861517,0.03280635647293951,*,medium,*
output_difficulty,1,rating,negative,23,-0.45043061778919774,0.005037057301693687,*,medium,**
time_to_give_output,1,time,positive,21,0.340734167999968,0.04472835522200195,*,medium,*
brain_deact_31ant,2,physiological,negative,12,-0.3133397807202561,0.1884699909010059,*,medium,
brain_deact_31post,2,physiological,negative,12,-0.4526019054848143,0.05748353173133636,*,medium,
brain_deact_32,2,physiological,negative,12,-0.3829708431025352,0.10797380145746664,*,medium,
time_to_understand,2,time,positive,12,0.13926212476455826,0.5588858290416201,*,small,
readability_level,3,rating,negative,100,-0.16401880110031408,0.021906960809165175,*,small,*
binary_understandability,6,rating,negative,48,-0.03618454855279905,0.771747811648471,*,none,
correct_verif_questions,6,correctness,negative,50,-0.028152946873129588,0.8086800956106934,*,none,
time_to_understand,6,time,positive,48,-0.2441514470119196,0.03838544736490173,,small,*
gap_accuracy,9_nc,correctness,negative,10,-0.3185930029073167,0.22406668631209647,*,medium,
readability_level_ba,9_nc,rating,negative,10,0.17155007848855514,0.5126907602619233,,small,
readability_level_before,9_nc,rating,negative,10,0.17155007848855514,0.5126907602619233,,small,
time_to_read_complete,9_nc,time,positive,10,-0.2695786947677295,0.3036011712333525,,small,
brain_deact_31,f,physiological,negative,16,-0.09038769075777342,0.6431915918138096,*,none,
brain_deact_32,f,physiological,negative,16,-0.12654276706088277,0.5166373798159882,*,small,
complexity_level,f,rating,positive,14,0.08577503924427757,0.6892863775226904,*,none,
perc_correct_output,f,correctness,negative,15,-0.053077479608206836,0.7970111687424429,*,none,
time_to_understand,f,time,positive,14,-0.12186063699987315,0.5683924914487918,,small,
