metric,dataset_id,metric_type,expected_cor,num_snippets_for_correlation,kendalls_tau,kendalls_p_value,expected_cor?,cor_intepretation,stat_significant?
correct_output_rating,1,correctness,negative,23,-0.33772774774302544,0.03761941401427579,*,medium,*
output_difficulty,1,rating,negative,23,-0.42754829069287376,0.007641040482277836,*,medium,**
time_to_give_output,1,time,positive,21,0.30879033974997094,0.06890759474948689,*,medium,
brain_deact_31ant,2,physiological,negative,12,-0.3133397807202561,0.1884699909010059,*,medium,
brain_deact_31post,2,physiological,negative,12,-0.4526019054848143,0.05748353173133636,*,medium,
brain_deact_32,2,physiological,negative,12,-0.3829708431025352,0.10797380145746664,*,medium,
time_to_understand,2,time,positive,12,0.13926212476455826,0.5588858290416201,*,small,
readability_level,3,rating,negative,100,-0.21093910637089439,0.003130869729684481,*,small,**
binary_understandability,6,rating,negative,48,-0.03618454855279905,0.771747811648471,*,none,
correct_verif_questions,6,correctness,negative,50,-0.028152946873129588,0.8086800956106934,*,none,
time_to_understand,6,time,positive,48,-0.2441514470119196,0.03838544736490173,,small,*
gap_accuracy,9_nc,correctness,negative,10,-0.33734954246999327,0.20742021276479883,*,medium,
readability_level_ba,9_nc,rating,negative,10,0.0778498944161523,0.7711058640185235,,none,
readability_level_before,9_nc,rating,negative,10,0.1297498240269205,0.6277606629910362,,small,
time_to_read_complete,9_nc,time,positive,10,-0.2335496832484569,0.38277970560478847,,small,
brain_deact_31,f,physiological,negative,16,-0.16269784336399212,0.40437459037730805,*,small,
brain_deact_32,f,physiological,negative,16,-0.1988529196671015,0.3081411014502622,*,small,
complexity_level,f,rating,positive,14,0.14804664203952106,0.49238494276136313,*,small,
perc_correct_output,f,correctness,negative,15,-0.031846487764924096,0.8773493296785952,*,none,
time_to_understand,f,time,positive,14,-0.15950019784171426,0.4576293616004401,,small,
