metric,dataset_id,metric_type,expected_cor,num_snippets_for_correlation,kendalls_tau,kendalls_p_value,expected_cor?,cor_intepretation,stat_significant?
correct_output_rating,1,correctness,negative,23,-0.4203027620236463,0.010468856780664915,*,medium,*
output_difficulty,1,rating,negative,23,-0.5102500818956269,0.0016325222238315876,*,large,**
time_to_give_output,1,time,positive,21,0.4203035239738163,0.01379814599164624,*,medium,*
brain_deact_31ant,2,physiological,negative,12,-0.20184335693983277,0.4065712940338708,*,small,
brain_deact_31post,2,physiological,negative,12,-0.23854214911071142,0.32667108863875705,*,small,
brain_deact_32,2,physiological,negative,12,-0.49543369430686224,0.0416368567827736,*,medium,*
time_to_understand,2,time,positive,12,0.3486385256233475,0.15170441973059706,*,medium,
readability_level,3,rating,negative,100,-0.19393488002452372,0.011512454940949088,*,small,*
binary_understandability,6,rating,negative,48,-0.048955565689081076,0.6947080532899242,*,none,
correct_verif_questions,6,correctness,negative,50,-0.024399220623378976,0.8337884478927275,*,none,
time_to_understand,6,time,positive,48,-0.2481213892397557,0.035344871864594604,,small,*
gap_accuracy,9_nc,correctness,negative,10,-0.49690399499995325,0.060289173990602095,*,medium,
readability_level_ba,9_nc,rating,negative,10,0.5962847939999439,0.024170547174545247,,large,*
readability_level_before,9_nc,rating,negative,10,0.5465943944999486,0.03877750439230662,,large,*
time_to_read_complete,9_nc,time,positive,10,-0.6956655929999345,0.008534920414227074,,large,**
brain_deact_31,f,physiological,negative,16,-0.31352722326440996,0.11212460045210078,*,medium,
brain_deact_32,f,physiological,negative,16,-0.31352722326440996,0.11212460045210078,*,medium,
complexity_level,f,rating,positive,14,0.12337220169960089,0.5672539478959675,*,small,
perc_correct_output,f,correctness,negative,15,-0.010615495921641368,0.9589721832268159,*,none,
time_to_understand,f,time,positive,14,-0.14623276439984778,0.4936565440041738,,small,
