metric,dataset_id,metric_type,expected_cor,num_snippets_for_correlation,kendalls_tau,kendalls_p_value,expected_cor?,cor_intepretation,stat_significant?,pearsons_r,pearsons_p_value,fisher_z,fisher_z_sqrd_se
correct_output_rating,1,correctness,negative,23,-0.3474396144861517,0.03280635647293951,*,medium,*,-0.474266152208643,0.02223058233859497,-0.442849412217611,0.05
output_difficulty,1,rating,negative,23,-0.45043061778919774,0.005037057301693687,*,medium,**,-0.6631008115256861,0.0005635037362125492,-0.5855298700617242,0.05
time_to_give_output,1,time,positive,23,0.43384050009413294,0.006548531138656388,*,medium,**,0.5667900868478152,0.004802298922062415,0.5156424240129502,0.05
brain_deact_31ant,2,physiological,negative,12,-0.3133397807202561,0.1884699909010059,*,medium,,-0.4339450851111635,0.15870095476313273,-0.4094227528977789,0.1111111111111111
brain_deact_31post,2,physiological,negative,12,-0.4526019054848143,0.05748353173133636,*,medium,,-0.5501096132467661,0.06386231739083366,-0.5029273630761931,0.1111111111111111
brain_deact_32,2,physiological,negative,12,-0.3829708431025352,0.10797380145746664,*,medium,,-0.49029700452818115,0.10560664454253679,-0.4558551255695505,0.1111111111111111
time_to_understand,2,time,positive,12,0.13926212476455826,0.5588858290416201,*,small,,0.48328892204045143,0.11145293288820807,0.45018959458623664,0.1111111111111111
readability_level,3,rating,negative,100,-0.14445891587911452,0.03845212924544999,*,small,*,-0.20129906065827763,0.04461247935787162,-0.19864434401692174,0.010309278350515464
binary_understandability,6,rating,negative,50,0.03702179623025151,0.7215084793304221,,none,,0.045881031627231214,0.7517073827857081,0.045848877982102555,0.02127659574468085
correct_verif_questions,6,correctness,negative,50,0.04827369851310685,0.6268865980708428,,none,,0.10817817361489875,0.4545890274316924,0.10775912639995709,0.02127659574468085
time_to_understand,6,time,positive,50,0.025621803540502173,0.795133804963823,*,none,,-0.06506211216736875,0.6535048358184496,-0.06497054029223422,0.02127659574468085
gap_accuracy,9_nc,correctness,negative,10,-0.3185930029073167,0.22406668631209647,*,medium,,-0.3707659203547482,0.29154752030795267,-0.3550534430645274,0.14285714285714285
readability_level_ba,9_nc,rating,negative,10,0.17155007848855514,0.5126907602619233,,small,,0.019541876605147307,0.9572684659481958,0.019539389592174362,0.14285714285714285
readability_level_before,9_nc,rating,negative,10,0.17155007848855514,0.5126907602619233,,small,,0.07834710433887428,0.8296638432730723,0.07818738696611595,0.14285714285714285
time_to_read_complete,9_nc,time,positive,10,-0.2695786947677295,0.3036011712333525,,small,,-0.2693242177484919,0.4517596231323218,-0.2630818623235884,0.14285714285714285
brain_deact_31,f,physiological,negative,16,-0.10954451150103321,0.5771949765538629,*,small,,-0.22852352754736407,0.39460614721490817,-0.2246656452455129,0.07692307692307693
brain_deact_32,f,physiological,negative,16,-0.1460593486680443,0.4572906679566823,*,small,,-0.2672668704603328,0.31696867205732426,-0.26116266420702977,0.07692307692307693
complexity_level,f,rating,positive,16,0.3025105040193098,0.12491435544918436,*,medium,,0.5172185774050303,0.040195520358877426,0.4773273930858669,0.07692307692307693
perc_correct_output,f,correctness,negative,16,-0.1664100588675687,0.4014210240269551,*,small,,-0.5458763324110635,0.028713896686829114,-0.49967173551596605,0.07692307692307693
time_to_understand,f,time,positive,16,-0.09128709291752769,0.6422378372924367,,none,,0.38718954146694123,0.13843564576132092,0.36941433329848317,0.07692307692307693
