metric,dataset_id,metric_type,expected_cor,num_snippets_for_correlation,kendalls_tau,kendalls_p_value,expected_cor?,cor_intepretation,stat_significant?,pearsons_r,pearsons_p_value,fisher_z,fisher_z_sqrd_se
correct_output_rating,1,correctness,negative,23,-0.33772774774302544,0.03761941401427579,*,medium,*,-0.5635193916144602,0.005107814583053621,-0.5131634976353476,0.05
output_difficulty,1,rating,negative,23,-0.42754829069287376,0.007641040482277836,*,medium,**,-0.7263464030110626,8.69672763686729e-05,-0.6281901532705219,0.05
time_to_give_output,1,time,positive,23,0.41117066001056385,0.00982101261512518,*,medium,**,0.6925138916963127,0.0002502329461385493,0.6056840409406788,0.05
brain_deact_31ant,2,physiological,negative,12,-0.3133397807202561,0.1884699909010059,*,medium,,-0.4339450851111635,0.15870095476313273,-0.4094227528977789,0.1111111111111111
brain_deact_31post,2,physiological,negative,12,-0.4526019054848143,0.05748353173133636,*,medium,,-0.5501096132467661,0.06386231739083366,-0.5029273630761931,0.1111111111111111
brain_deact_32,2,physiological,negative,12,-0.3829708431025352,0.10797380145746664,*,medium,,-0.49029700452818115,0.10560664454253679,-0.4558551255695505,0.1111111111111111
time_to_understand,2,time,positive,12,0.13926212476455826,0.5588858290416201,*,small,,0.48328892204045143,0.11145293288820807,0.45018959458623664,0.1111111111111111
readability_level,3,rating,negative,100,-0.16817646786308754,0.016031827768862077,*,small,*,-0.22550299319935313,0.024082004014959704,-0.22179314691343055,0.010309278350515464
binary_understandability,6,rating,negative,50,0.007093444686629144,0.9458192133766367,,none,,0.006356160627197869,0.9650570751635651,0.006356075031328104,0.02127659574468085
correct_verif_questions,6,correctness,negative,50,0.018418924380166558,0.8535676845480764,,none,,0.06578300506976695,0.6499129338474905,0.0656883608124445,0.02127659574468085
time_to_understand,6,time,positive,50,0.047389471189745076,0.632728168188146,*,none,,-0.01943567182663847,0.8934282671996094,-0.019433225136333485,0.02127659574468085
gap_accuracy,9_nc,correctness,negative,10,-0.33734954246999327,0.20742021276479883,*,medium,,-0.4123850105643793,0.23629909733949014,-0.39113730669849583,0.14285714285714285
readability_level_ba,9_nc,rating,negative,10,0.0778498944161523,0.7711058640185235,,none,,0.047674621142666095,0.8959484767233686,0.047638550922188806,0.14285714285714285
readability_level_before,9_nc,rating,negative,10,0.1297498240269205,0.6277606629910362,,small,,0.09993755204467886,0.7835569563578428,0.09960682245021397,0.14285714285714285
time_to_read_complete,9_nc,time,positive,10,-0.2335496832484569,0.38277970560478847,,small,,-0.3079554582846095,0.38668112692244677,-0.2987393054240579,0.14285714285714285
brain_deact_31,f,physiological,negative,16,-0.16269784336399212,0.40437459037730805,*,small,,-0.20221607357245736,0.4526149658665663,-0.19952548889355248,0.07692307692307693
brain_deact_32,f,physiological,negative,16,-0.1988529196671015,0.3081411014502622,*,small,,-0.22757600885734533,0.3966230022540482,-0.22376496786497785,0.07692307692307693
complexity_level,f,rating,positive,16,0.3721433734379864,0.057299015704164166,*,medium,,0.653586333677259,0.006034908391167131,0.5788922389670077,0.07692307692307693
perc_correct_output,f,correctness,negative,16,-0.1647705109143269,0.4027546538976249,*,small,,-0.5831176139194525,0.017746674785035405,-0.527913482042366,0.07692307692307693
time_to_understand,f,time,positive,16,-0.12654276706088277,0.5166373798159882,,small,,0.355075079697765,0.1771563197613964,0.3411888746295427,0.07692307692307693
