metric,dataset_id,metric_type,expected_cor,num_snippets_for_correlation,kendalls_tau,kendalls_p_value,expected_cor?,cor_intepretation,stat_significant?
correct_output_rating,1,correctness,negative,23,-0.33772774774302544,0.03761941401427579,*,medium,*
output_difficulty,1,rating,negative,23,-0.42754829069287376,0.007641040482277836,*,medium,**
time_to_give_output,1,time,positive,23,0.41117066001056385,0.00982101261512518,*,medium,**
brain_deact_31ant,2,physiological,negative,12,-0.3133397807202561,0.1884699909010059,*,medium,
brain_deact_31post,2,physiological,negative,12,-0.4526019054848143,0.05748353173133636,*,medium,
brain_deact_32,2,physiological,negative,12,-0.3829708431025352,0.10797380145746664,*,medium,
time_to_understand,2,time,positive,12,0.13926212476455826,0.5588858290416201,*,small,
readability_level,3,rating,negative,100,-0.2296446241402438,0.0013810859520988483,*,small,**
binary_understandability,6,rating,negative,50,-0.021865071526333872,0.8574604535784878,*,none,
correct_verif_questions,6,correctness,negative,50,-0.028152946873129588,0.8086800956106934,*,none,
time_to_understand,6,time,positive,50,-0.24788466776030804,0.03188792894690582,,small,*
gap_accuracy,9,correctness,negative,30,-0.3546780165447971,0.012621596666894944,*,medium,*
readability_level_ba,9,rating,negative,30,0.28867513459481287,0.04276947240054693,,small,*
readability_level_before,9,rating,negative,30,0.28465018844122314,0.04660031288457147,,small,*
time_to_read_complete,9,time,positive,30,-0.3462790510727774,0.014781425524297348,,medium,*
brain_deact_31,f,physiological,negative,16,-0.16269784336399212,0.40437459037730805,*,small,
brain_deact_32,f,physiological,negative,16,-0.1988529196671015,0.3081411014502622,*,small,
complexity_level,f,rating,positive,16,0.3721433734379864,0.057299015704164166,*,medium,
perc_correct_output,f,correctness,negative,16,-0.1647705109143269,0.4027546538976249,*,small,
time_to_understand,f,time,positive,16,-0.12654276706088277,0.5166373798159882,,small,
