metric,dataset_id,metric_type,expected_cor,num_snippets_for_correlation,kendalls_tau,kendalls_p_value,expected_cor?,cor_intepretation,stat_significant?
correct_output_rating,1,correctness,negative,23,,,,,
output_difficulty,1,rating,negative,23,,,,,
time_to_give_output,1,time,positive,21,,,,,
brain_deact_31ant,2,physiological,negative,12,,,,,
brain_deact_31post,2,physiological,negative,12,,,,,
brain_deact_32,2,physiological,negative,12,,,,,
time_to_understand,2,time,positive,12,,,,,
readability_level,3,rating,negative,100,-0.1325530043077417,0.1086826442074059,*,small,
binary_understandability,6,rating,negative,48,-0.040622501719999024,0.7457111103573497,*,none,
correct_verif_questions,6,correctness,negative,50,-0.020733912312975986,0.8590316155348903,*,none,
time_to_understand,6,time,positive,48,-0.2452438526773368,0.03833057995848532,,small,*
gap_accuracy,9,correctness,negative,30,-0.15350626949363402,0.3197630116677985,*,small,
readability_level_ba,9,rating,negative,30,0.2815332554724217,0.0686155353555807,,small,
readability_level_before,9,rating,negative,30,0.3157348151855433,0.04194762772357558,,medium,*
time_to_read_complete,9,time,positive,29,-0.19458525440166627,0.21502687042445745,,small,
brain_deact_31,f,physiological,negative,16,,,,,
brain_deact_32,f,physiological,negative,16,,,,,
complexity_level,f,rating,positive,14,,,,,
perc_correct_output,f,correctness,negative,15,,,,,
time_to_understand,f,time,positive,14,,,,,
