metric,dataset_id,metric_type,expected_cor,num_snippets_for_correlation,kendalls_tau,kendalls_p_value,expected_cor?,cor_intepretation,stat_significant?
correct_output_rating,1,correctness,negative,23,-0.1707825127659933,0.3368221511559395,*,small,
output_difficulty,1,rating,negative,23,-0.2155727271443866,0.21897277919349822,*,small,
time_to_give_output,1,time,positive,21,0.05524946201098299,0.7649513588724606,*,none,
brain_deact_31ant,2,physiological,negative,12,-0.11134044285378082,0.6639079018776488,*,small,
brain_deact_31post,2,physiological,negative,12,-0.2597943666588219,0.31063545633740075,*,small,
brain_deact_32,2,physiological,negative,12,0.11134044285378082,0.6639079018776488,,small,
time_to_understand,2,time,positive,12,-0.2597943666588219,0.31063545633740075,,small,
readability_level,3,rating,negative,100,-0.15625137459341,0.0301286154880051,*,small,*
binary_understandability,6,rating,negative,48,-0.1397133229502432,0.2724942759008162,*,small,
correct_verif_questions,6,correctness,negative,50,-0.07398454341194179,0.5326520619235142,*,none,
time_to_understand,6,time,positive,48,-0.08251827147673828,0.4928693338931085,,none,
gap_accuracy,9,correctness,negative,30,,,,,
readability_level_ba,9,rating,negative,30,,,,,
readability_level_before,9,rating,negative,30,,,,,
time_to_read_complete,9,time,positive,29,,,,,
brain_deact_31,f,physiological,negative,16,0.08475793795260131,0.6923284900281212,,none,
brain_deact_32,f,physiological,negative,16,0.08475793795260131,0.6923284900281212,,none,
complexity_level,f,rating,positive,14,0.11694106924093724,0.619411169147353,*,small,
perc_correct_output,f,correctness,negative,15,-0.3704792868174742,0.10394907368413923,*,medium,
time_to_understand,f,time,positive,14,,,,,
