metric,dataset_id,metric_type,expected_cor,num_snippets_for_correlation,kendalls_tau,kendalls_p_value,expected_cor?,cor_intepretation,stat_significant?,pearsons_r,pearsons_p_value,fisher_z,fisher_z_sqrd_se
correct_output_rating,1,correctness,negative,23,-0.33772774774302544,0.03761941401427579,*,medium,*,-0.5635193916144601,0.005107814583053626,-0.5131634976353475,0.05
output_difficulty,1,rating,negative,23,-0.42754829069287376,0.007641040482277836,*,medium,**,-0.7263464030110626,8.69672763686729e-05,-0.6281901532705219,0.05
time_to_give_output,1,time,positive,23,0.41117066001056385,0.00982101261512518,*,medium,**,0.6925138916963127,0.0002502329461385493,0.6056840409406788,0.05
brain_deact_31ant,2,physiological,negative,12,-0.3133397807202561,0.1884699909010059,*,medium,,-0.4339450851111636,0.15870095476313256,-0.40942275289777896,0.1111111111111111
brain_deact_31post,2,physiological,negative,12,-0.4526019054848143,0.05748353173133636,*,medium,,-0.5501096132467664,0.06386231739083346,-0.5029273630761933,0.1111111111111111
brain_deact_32,2,physiological,negative,12,-0.3829708431025352,0.10797380145746664,*,medium,,-0.49029700452818126,0.10560664454253675,-0.45585512556955055,0.1111111111111111
time_to_understand,2,time,positive,12,0.13926212476455826,0.5588858290416201,*,small,,0.4832889220404514,0.11145293288820818,0.4501895945862366,0.1111111111111111
readability_level,3,rating,negative,100,-0.18626083335350233,0.007684761637578328,*,small,**,-0.2727926487696406,0.006034259468127603,-0.2663128981496988,0.010309278350515464
binary_understandability,6,rating,negative,50,-0.017889603976091347,0.8831700141519032,*,none,,-0.002103133792008857,0.9884348553894073,-0.00210313069117643,0.02127659574468085
correct_verif_questions,6,correctness,negative,50,-0.031906673122880196,0.7837672300250216,*,none,,-0.06690575673163482,0.6443344220895779,-0.0668061921384283,0.02127659574468085
time_to_understand,6,time,positive,50,-0.24415707877143122,0.03455416553919029,,small,*,-0.229335185066971,0.10914180285972948,-0.22543688319149757,0.02127659574468085
adjusted_fix_call,63,physiological,positive,64,0.20686960693978582,0.043608889278991425,*,small,*,0.25247357212077826,0.04414460500474131,0.24730537261977567,0.01639344262295082
adjusted_fix_flow,63,physiological,positive,64,0.3480738833322909,0.0007759590617761162,*,medium,**,0.3136314452869443,0.011615173401906131,0.3039153189766087,0.01639344262295082
adjusted_fix_non_call,63,physiological,positive,64,0.40649475293615495,7.339650020479744e-05,*,medium,**,0.3948132269741904,0.00124443112162634,0.37602703947540655,0.01639344262295082
adjusted_fix_non_flow,63,physiological,positive,64,0.3355893795292368,0.0011470729736181855,*,medium,**,0.38383254380196563,0.0017420558411769213,0.3664916957393178,0.01639344262295082
adjusted_fix_non_sig,63,physiological,positive,64,0.2970228986800816,0.0037651359736665573,*,small,**,0.3236762274243539,0.009080274417764954,0.3130341265524387,0.01639344262295082
adjusted_fix_sig,63,physiological,positive,64,0.3301903019766554,0.0014853380820630203,*,medium,**,0.33983388231883105,0.006007529898243897,0.32758959490310324,0.01639344262295082
adjusted_gaze_call,63,physiological,positive,64,0.19077080484330441,0.06277226494783034,*,small,,0.22622758148418795,0.07225098586221775,0.22248256445006348,0.01639344262295082
adjusted_gaze_flow,63,physiological,positive,64,0.35136536213448755,0.0006912768452287022,*,medium,**,0.30484803571373686,0.014312408443668522,0.29589857764636124,0.01639344262295082
adjusted_gaze_non_call,63,physiological,positive,64,0.4113243935650994,6.017918704588355e-05,*,medium,**,0.41134158122784004,0.000733663236572309,0.3902452057124097,0.01639344262295082
adjusted_gaze_non_flow,63,physiological,positive,64,0.32905722615640487,0.0014304752680995333,*,medium,**,0.38788978139289665,0.0015404997774403422,0.37002313858028385,0.01639344262295082
adjusted_gaze_non_sig,63,physiological,positive,64,0.2728746955353595,0.007775816433438667,*,small,**,0.3222637533998592,0.009404701089672533,0.3117550705038652,0.01639344262295082
adjusted_gaze_sig,63,physiological,positive,64,0.35341977045742506,0.0006712067605239145,*,medium,**,0.3375141099985009,0.006383009165614434,0.3255085223152182,0.01639344262295082
gap_accuracy,9_bc,correctness,negative,10,0.03108349360801046,0.9107940274245708,,none,,-0.07257830747903918,0.8420686249498073,-0.07245127065620444,0.14285714285714285
readability_level_ba,9_bc,rating,negative,10,0.40408541690413596,0.14525950774328536,,medium,,0.5125513624592848,0.12982014437328696,0.47363820664721734,0.14285714285714285
readability_level_before,9_bc,rating,negative,10,0.44008622942335207,0.11558583069794731,,medium,,0.4874919176682885,0.15294590444121176,0.4535911657343809,0.14285714285714285
time_to_read_complete,9_bc,time,positive,10,-0.40408541690413596,0.14525950774328536,,medium,,-0.46351970375271634,0.1772519674028607,-0.4340398605440642,0.14285714285714285
gap_accuracy,9_gc,correctness,negative,10,-0.5284193913361779,0.05682819683984795,*,large,,-0.6952586648434973,0.02560918841040059,-0.6075367671954086,0.14285714285714285
readability_level_ba,9_gc,rating,negative,10,-0.46625240412015695,0.09284922807157968,*,medium,,-0.6006054145891833,0.06634142194370152,-0.540864539159843,0.14285714285714285
readability_level_before,9_gc,rating,negative,10,-0.3143473067309657,0.26102072470265725,*,medium,,-0.3579426415817026,0.3098439359391961,-0.34373307174687356,0.14285714285714285
time_to_read_complete,9_gc,time,positive,10,-0.5905863785521988,0.03327875704510121,,large,*,-0.37018698683332685,0.292360776567358,-0.35454437989694587,0.14285714285714285
gap_accuracy,9_nc,correctness,negative,10,-0.2175844552560732,0.43288793401334236,*,small,,-0.2797036233484637,0.43381092226065887,-0.2727338519621549,0.14285714285714285
readability_level_ba,9_nc,rating,negative,10,-0.2175844552560732,0.43288793401334236,*,small,,-0.2563147091220329,0.4747179616907193,-0.2509130316363395,0.14285714285714285
readability_level_before,9_nc,rating,negative,10,-0.1554174680400523,0.5753530764008791,*,small,,-0.1705621881953642,0.6375612305348757,-0.1689365036573973,0.14285714285714285
time_to_read_complete,9_nc,time,positive,10,-0.03108349360801046,0.9107940274245708,,none,,-0.061469879050733756,0.8660415722764345,-0.06139263184869018,0.14285714285714285
brain_deact_31,f,physiological,negative,16,-0.2089183206099184,0.28580710511608776,*,small,,-0.2616924118886531,0.3275489117587039,-0.2559526531650872,0.07692307692307693
brain_deact_32,f,physiological,negative,16,-0.1907515101220994,0.3297832606788835,*,small,,-0.2607213449570744,0.3294125410415437,-0.25504360945995275,0.07692307692307693
complexity_level,f,rating,positive,16,0.36485963870106863,0.063173074813231,*,medium,,0.6579397514876444,0.005597117166029163,0.581936534188539,0.07692307692307693
perc_correct_output,f,correctness,negative,16,-0.15638507532058313,0.42857529419879425,*,small,,-0.540658916008214,0.030590428198870756,-0.4956432777766443,0.07692307692307693
time_to_understand,f,time,positive,16,-0.17258469963428041,0.377919481405675,,small,,0.2522786828361334,0.3458710564897546,0.2471221532565109,0.07692307692307693
