dataset,snippet,metric,metric_value,#_of_warnings,tool,dataset_id,metric_type,expected_cor
1,1,correct_output_rating,1.2195121951219512,1,all_tools,1,correctness,negative
1,2,correct_output_rating,1.951219512195122,1,all_tools,1,correctness,negative
1,3,correct_output_rating,1.4878048780487805,1,all_tools,1,correctness,negative
1,4,correct_output_rating,1.4878048780487805,3,all_tools,1,correctness,negative
1,5,correct_output_rating,1.4390243902439024,4,all_tools,1,correctness,negative
1,6,correct_output_rating,1.7804878048780488,2,all_tools,1,correctness,negative
1,7,correct_output_rating,1.804878048780488,1,all_tools,1,correctness,negative
1,8,correct_output_rating,1.4634146341463414,2,all_tools,1,correctness,negative
1,9,correct_output_rating,1.853658536585366,1,all_tools,1,correctness,negative
1,10,correct_output_rating,1.8780487804878048,0,all_tools,1,correctness,negative
1,11,correct_output_rating,1.6341463414634143,1,all_tools,1,correctness,negative
1,12,correct_output_rating,1.853658536585366,1,all_tools,1,correctness,negative
1,13,correct_output_rating,2.0,0,all_tools,1,correctness,negative
1,14,correct_output_rating,1.902439024390244,3,all_tools,1,correctness,negative
1,15,correct_output_rating,0.7804878048780488,9,all_tools,1,correctness,negative
1,16,correct_output_rating,1.951219512195122,0,all_tools,1,correctness,negative
1,17,correct_output_rating,1.6585365853658536,0,all_tools,1,correctness,negative
1,18,correct_output_rating,1.3902439024390243,2,all_tools,1,correctness,negative
1,19,correct_output_rating,1.3902439024390243,10,all_tools,1,correctness,negative
1,20,correct_output_rating,1.3902439024390243,0,all_tools,1,correctness,negative
1,21,correct_output_rating,1.3902439024390243,5,all_tools,1,correctness,negative
1,22,correct_output_rating,1.3902439024390243,0,all_tools,1,correctness,negative
1,23,correct_output_rating,1.829268292682927,3,all_tools,1,correctness,negative
1,1,output_difficulty,3.1707317073170733,1,all_tools,1,rating,negative
1,2,output_difficulty,2.975609756097561,1,all_tools,1,rating,negative
1,3,output_difficulty,2.3902439024390243,1,all_tools,1,rating,negative
1,4,output_difficulty,2.414634146341464,3,all_tools,1,rating,negative
1,5,output_difficulty,1.975609756097561,4,all_tools,1,rating,negative
1,6,output_difficulty,3.1219512195121952,2,all_tools,1,rating,negative
1,7,output_difficulty,3.2195121951219514,1,all_tools,1,rating,negative
1,8,output_difficulty,2.3902439024390243,2,all_tools,1,rating,negative
1,9,output_difficulty,3.1707317073170733,1,all_tools,1,rating,negative
1,10,output_difficulty,3.634146341463415,0,all_tools,1,rating,negative
1,11,output_difficulty,3.097560975609756,1,all_tools,1,rating,negative
1,12,output_difficulty,3.341463414634146,1,all_tools,1,rating,negative
1,13,output_difficulty,3.731707317073171,0,all_tools,1,rating,negative
1,14,output_difficulty,3.4878048780487805,3,all_tools,1,rating,negative
1,15,output_difficulty,1.0731707317073171,9,all_tools,1,rating,negative
1,16,output_difficulty,3.7804878048780486,0,all_tools,1,rating,negative
1,17,output_difficulty,3.048780487804878,0,all_tools,1,rating,negative
1,18,output_difficulty,2.317073170731707,2,all_tools,1,rating,negative
1,19,output_difficulty,1.902439024390244,10,all_tools,1,rating,negative
1,20,output_difficulty,3.1951219512195124,0,all_tools,1,rating,negative
1,21,output_difficulty,2.4878048780487805,5,all_tools,1,rating,negative
1,22,output_difficulty,2.3902439024390243,0,all_tools,1,rating,negative
1,23,output_difficulty,3.414634146341464,3,all_tools,1,rating,negative
1,1,time_to_give_output,68.01441463414633,1,all_tools,1,time,positive
1,2,time_to_give_output,100.26741463414632,1,all_tools,1,time,positive
1,3,time_to_give_output,132.46873170731706,1,all_tools,1,time,positive
1,4,time_to_give_output,154.64156097560976,3,all_tools,1,time,positive
1,5,time_to_give_output,211.48453658536584,4,all_tools,1,time,positive
1,6,time_to_give_output,70.5109512195122,2,all_tools,1,time,positive
1,7,time_to_give_output,66.04860975609758,1,all_tools,1,time,positive
1,8,time_to_give_output,104.82602439024387,2,all_tools,1,time,positive
1,9,time_to_give_output,65.42085365853657,1,all_tools,1,time,positive
1,10,time_to_give_output,42.58580487804878,0,all_tools,1,time,positive
1,11,time_to_give_output,65.47378048780489,1,all_tools,1,time,positive
1,12,time_to_give_output,59.81002439024391,1,all_tools,1,time,positive
1,13,time_to_give_output,37.42529268292683,0,all_tools,1,time,positive
1,14,time_to_give_output,48.39470731707317,3,all_tools,1,time,positive
1,15,time_to_give_output,355.3091707317073,9,all_tools,1,time,positive
1,16,time_to_give_output,20.50239024390244,0,all_tools,1,time,positive
1,17,time_to_give_output,99.98841463414637,0,all_tools,1,time,positive
1,18,time_to_give_output,132.07892682926828,2,all_tools,1,time,positive
1,19,time_to_give_output,145.2398292682927,10,all_tools,1,time,positive
1,20,time_to_give_output,80.62182926829269,0,all_tools,1,time,positive
1,21,time_to_give_output,89.93921951219512,5,all_tools,1,time,positive
1,22,time_to_give_output,86.29456097560976,0,all_tools,1,time,positive
1,23,time_to_give_output,54.50070731707317,3,all_tools,1,time,positive
2,1,brain_deact_31ant,-0.456862813,1,all_tools,2,physiological,negative
2,2,brain_deact_31ant,-0.627872625,1,all_tools,2,physiological,negative
2,3,brain_deact_31ant,-0.569892688,1,all_tools,2,physiological,negative
2,4,brain_deact_31ant,-0.724818625,2,all_tools,2,physiological,negative
2,5,brain_deact_31ant,-0.461402625,0,all_tools,2,physiological,negative
2,6,brain_deact_31ant,-0.573933125,1,all_tools,2,physiological,negative
2,7,brain_deact_31ant,-0.400142063,0,all_tools,2,physiological,negative
2,8,brain_deact_31ant,-0.6289035,3,all_tools,2,physiological,negative
2,9,brain_deact_31ant,-0.512648188,0,all_tools,2,physiological,negative
2,10,brain_deact_31ant,-0.8140095,0,all_tools,2,physiological,negative
2,11,brain_deact_31ant,-0.799689,5,all_tools,2,physiological,negative
2,12,brain_deact_31ant,-0.754594875,0,all_tools,2,physiological,negative
2,1,brain_deact_31post,-0.680167625,1,all_tools,2,physiological,negative
2,2,brain_deact_31post,-0.58754025,1,all_tools,2,physiological,negative
2,3,brain_deact_31post,-0.484311125,1,all_tools,2,physiological,negative
2,4,brain_deact_31post,-0.755176125,2,all_tools,2,physiological,negative
2,5,brain_deact_31post,-0.504249125,0,all_tools,2,physiological,negative
2,6,brain_deact_31post,-0.531375313,1,all_tools,2,physiological,negative
2,7,brain_deact_31post,-0.452398375,0,all_tools,2,physiological,negative
2,8,brain_deact_31post,-0.787476813,3,all_tools,2,physiological,negative
2,9,brain_deact_31post,-0.474544625,0,all_tools,2,physiological,negative
2,10,brain_deact_31post,-0.827268563,0,all_tools,2,physiological,negative
2,11,brain_deact_31post,-0.825552875,5,all_tools,2,physiological,negative
2,12,brain_deact_31post,-0.743071875,0,all_tools,2,physiological,negative
2,1,brain_deact_32,-0.567438063,1,all_tools,2,physiological,negative
2,2,brain_deact_32,-0.760412688,1,all_tools,2,physiological,negative
2,3,brain_deact_32,-0.80337975,1,all_tools,2,physiological,negative
2,4,brain_deact_32,-0.853813313,2,all_tools,2,physiological,negative
2,5,brain_deact_32,-0.534999375,0,all_tools,2,physiological,negative
2,6,brain_deact_32,-0.833937188,1,all_tools,2,physiological,negative
2,7,brain_deact_32,-0.44148875,0,all_tools,2,physiological,negative
2,8,brain_deact_32,-0.687596375,3,all_tools,2,physiological,negative
2,9,brain_deact_32,-0.513088813,0,all_tools,2,physiological,negative
2,10,brain_deact_32,-1.045516125,0,all_tools,2,physiological,negative
2,11,brain_deact_32,-1.065309875,5,all_tools,2,physiological,negative
2,12,brain_deact_32,-0.810991375,0,all_tools,2,physiological,negative
2,1,time_to_understand,277998.6875,1,all_tools,2,time,positive
2,2,time_to_understand,379138.5,1,all_tools,2,time,positive
2,3,time_to_understand,282050.625,1,all_tools,2,time,positive
2,4,time_to_understand,328751.1875,2,all_tools,2,time,positive
2,5,time_to_understand,228106.875,0,all_tools,2,time,positive
2,6,time_to_understand,256201.1875,1,all_tools,2,time,positive
2,7,time_to_understand,173291.875,0,all_tools,2,time,positive
2,8,time_to_understand,253121.6875,3,all_tools,2,time,positive
2,9,time_to_understand,368599.625,0,all_tools,2,time,positive
2,10,time_to_understand,288200.0,0,all_tools,2,time,positive
2,11,time_to_understand,513357.5625,5,all_tools,2,time,positive
2,12,time_to_understand,432204.875,0,all_tools,2,time,positive
3,1,readability_level,2.99,6,all_tools,3,rating,negative
3,2,readability_level,3.74,9,all_tools,3,rating,negative
3,3,readability_level,2.69,12,all_tools,3,rating,negative
3,4,readability_level,4.03,3,all_tools,3,rating,negative
3,5,readability_level,4.18,3,all_tools,3,rating,negative
3,6,readability_level,2.18,2,all_tools,3,rating,negative
3,7,readability_level,3.62,0,all_tools,3,rating,negative
3,8,readability_level,2.86,7,all_tools,3,rating,negative
3,9,readability_level,4.13,5,all_tools,3,rating,negative
3,10,readability_level,3.35,7,all_tools,3,rating,negative
3,11,readability_level,3.64,1,all_tools,3,rating,negative
3,12,readability_level,3.53,4,all_tools,3,rating,negative
3,13,readability_level,3.03,0,all_tools,3,rating,negative
3,14,readability_level,4.05,4,all_tools,3,rating,negative
3,15,readability_level,1.82,12,all_tools,3,rating,negative
3,16,readability_level,2.9,1,all_tools,3,rating,negative
3,17,readability_level,3.74,4,all_tools,3,rating,negative
3,18,readability_level,2.46,15,all_tools,3,rating,negative
3,19,readability_level,3.56,3,all_tools,3,rating,negative
3,20,readability_level,3.26,1,all_tools,3,rating,negative
3,21,readability_level,3.73,1,all_tools,3,rating,negative
3,22,readability_level,2.73,23,all_tools,3,rating,negative
3,23,readability_level,3.94,17,all_tools,3,rating,negative
3,24,readability_level,3.48,4,all_tools,3,rating,negative
3,25,readability_level,2.09,20,all_tools,3,rating,negative
3,26,readability_level,2.37,29,all_tools,3,rating,negative
3,27,readability_level,3.76,9,all_tools,3,rating,negative
3,28,readability_level,2.86,3,all_tools,3,rating,negative
3,29,readability_level,3.96,3,all_tools,3,rating,negative
3,30,readability_level,2.78,5,all_tools,3,rating,negative
3,31,readability_level,3.27,5,all_tools,3,rating,negative
3,32,readability_level,4.22,6,all_tools,3,rating,negative
3,33,readability_level,4.02,3,all_tools,3,rating,negative
3,34,readability_level,4.35,6,all_tools,3,rating,negative
3,35,readability_level,2.0,16,all_tools,3,rating,negative
3,36,readability_level,2.52,18,all_tools,3,rating,negative
3,37,readability_level,2.57,19,all_tools,3,rating,negative
3,38,readability_level,2.77,19,all_tools,3,rating,negative
3,39,readability_level,2.96,30,all_tools,3,rating,negative
3,40,readability_level,2.9,2,all_tools,3,rating,negative
3,41,readability_level,2.41,6,all_tools,3,rating,negative
3,42,readability_level,3.08,0,all_tools,3,rating,negative
3,43,readability_level,3.28,0,all_tools,3,rating,negative
