metric,dataset_id,metric_type,expected_cor,num_snippets_for_correlation,kendalls_tau,kendalls_p_value,expected_cor?,cor_intepretation,stat_significant?,pearsons_r,pearsons_p_value,fisher_z,fisher_z_sqrd_se
correct_output_rating,1,correctness,negative,23,-0.2588600915717736,0.11858261348204922,*,small,,-0.20472087724136737,0.3487421938916913,-0.20193071647680869,0.05
output_difficulty,1,rating,negative,23,-0.3630554894720564,0.02649782086730554,*,medium,*,-0.35992489000420536,0.09161176691094931,-0.34548908643010173,0.05
time_to_give_output,1,time,positive,23,0.38268492933927684,0.01856470797931634,*,medium,*,0.19671811113425536,0.3683059604685204,0.19423791507489585,0.05
brain_deact_31ant,2,physiological,negative,12,-0.20184335693983277,0.4065712940338708,*,small,,-0.43419358101897776,0.1584356449352222,-0.40963185128466334,0.1111111111111111
brain_deact_31post,2,physiological,negative,12,-0.23854214911071142,0.32667108863875705,*,small,,-0.38924413681888365,0.21106602424773876,-0.37119983174805565,0.1111111111111111
brain_deact_32,2,physiological,negative,12,-0.49543369430686224,0.0416368567827736,*,medium,*,-0.5710578546680976,0.05245816535445834,-0.5188666062141704,0.1111111111111111
time_to_understand,2,time,positive,12,0.3486385256233475,0.15170441973059706,*,medium,,0.635286483201578,0.02643075272882404,0.565962163834749,0.1111111111111111
readability_level,3,rating,negative,100,-0.12309419822119433,0.10704631657852395,*,small,,-0.12808272568656623,0.20409816686455956,-0.1273891331801822,0.010309278350515464
binary_understandability,6,rating,negative,50,-0.14106730057087422,0.19184808620595395,*,small,,0.02669553652180088,0.8539944433580907,0.026689197692443673,0.02127659574468085
correct_verif_questions,6,correctness,negative,50,-0.11041490358268122,0.28518070637230597,*,small,,-0.00298355919482372,0.9835939544099571,-0.00298355034202883,0.02127659574468085
time_to_understand,6,time,positive,50,0.11138649670823729,0.2778961820094916,*,small,,-0.01901026499378495,0.8957478583735591,-0.019007975449217313,0.02127659574468085
gap_accuracy,9_bc,correctness,negative,10,-0.1987615979999813,0.4523703606773608,*,small,,-0.30815924528775707,0.3863505936390323,-0.29892542938703126,0.14285714285714285
readability_level_ba,9_bc,rating,negative,10,0.14907119849998599,0.5730251193553904,,small,,0.3235863498527925,0.3617316841439616,0.3129527700355823,0.14285714285714285
readability_level_before,9_bc,rating,negative,10,0.07537783614444091,0.7773295263554205,,none,,0.21118946899626953,0.5580821305444423,0.2081311502430281,0.14285714285714285
time_to_read_complete,9_bc,time,positive,10,-0.09938079899999065,0.7071142312899612,,none,,-0.18324520287298,0.6123421300280272,-0.18123450844715228,0.14285714285714285
gap_accuracy,9_gc,correctness,negative,10,0.049690399499995326,0.8509806870320558,,none,,-0.2914942796398441,0.41382987607746236,-0.28363522996365687,0.14285714285714285
readability_level_ba,9_gc,rating,negative,10,-0.14907119849998599,0.5730251193553904,*,small,,-0.2671630745301153,0.4555382919093983,-0.26106578576947825,0.14285714285714285
readability_level_before,9_gc,rating,negative,10,-0.1256297269074015,0.637401740595885,*,small,,-0.2040317249157272,0.5718009324540457,-0.20126919568014165,0.14285714285714285
time_to_read_complete,9_gc,time,positive,10,-0.29814239699997197,0.2596563563704499,,small,,-0.4327534108506235,0.21160359554888303,-0.4084194841036011,0.14285714285714285
gap_accuracy,9_nc,correctness,negative,10,-0.14907119849998599,0.5730251193553904,*,small,,-0.33053504041061105,0.3509061827360364,-0.3192299801081505,0.14285714285714285
readability_level_ba,9_nc,rating,negative,10,0.3975231959999626,0.13285495573105377,,medium,,0.32093880873162395,0.3658996853786056,0.3105543167635927,0.14285714285714285
readability_level_before,9_nc,rating,negative,10,0.29814239699997197,0.2596563563704499,,small,,0.3169476098617394,0.3722278628131696,0.3069316371770735,0.14285714285714285
time_to_read_complete,9_nc,time,positive,10,-0.24845199749997662,0.34755803674116903,,small,,-0.45765267539883847,0.1835284216588459,-0.42919963916591886,0.14285714285714285
brain_deact_31,f,physiological,negative,16,-0.32440799902002837,0.1020809611324846,*,medium,,-0.49565861184469256,0.05088586045080126,-0.4601684707740858,0.07692307692307693
brain_deact_32,f,physiological,negative,16,-0.41709599874003644,0.035557905699920934,*,medium,*,-0.6650638747999991,0.0049357195160227236,-0.586892157412564,0.07692307692307693
complexity_level,f,rating,positive,16,0.2047685867790963,0.3037024766857317,*,small,,0.07000485613816139,0.7967000269531156,0.06989083409211952,0.07692307692307693
perc_correct_output,f,correctness,negative,16,0.08448190755542286,0.6731676659685988,,none,,-0.011240967111511568,0.9670428760517661,-0.011240493680336795,0.07692307692307693
time_to_understand,f,time,positive,16,0.00926879997200081,0.9627444106905073,*,none,,0.3738035854522,0.15379633080917035,0.35772134652832105,0.07692307692307693
