metric,dataset_id,metric_type,expected_cor,num_snippets_for_correlation,kendalls_tau,kendalls_p_value,expected_cor?,cor_intepretation,stat_significant?,pearsons_r,pearsons_p_value,fisher_z,fisher_z_sqrd_se
correct_output_rating,1,correctness,negative,23,-0.1707825127659933,0.3368221511559395,*,small,,-0.41429243031432716,0.049365530498764375,-0.3927663978202256,0.05
output_difficulty,1,rating,negative,23,-0.2155727271443866,0.21897277919349822,*,small,,-0.5165978588025028,0.0116075440295998,-0.47683755605367606,0.05
time_to_give_output,1,time,positive,23,0.18217857500000703,0.2956465760209075,*,small,,0.5358741109686752,0.0084003717931875,0.49193335305828423,0.05
brain_deact_31ant,2,physiological,negative,12,-0.11134044285378082,0.6639079018776488,*,small,,-0.041751216876967936,0.8974912972011223,-0.04172698247769782,0.1111111111111111
brain_deact_31post,2,physiological,negative,12,-0.2597943666588219,0.31063545633740075,*,small,,-0.321561925619772,0.3080949552276816,-0.31111914259836626,0.1111111111111111
brain_deact_32,2,physiological,negative,12,0.11134044285378082,0.6639079018776488,,small,,0.08696046275251124,0.7881388719142544,0.08674225011195011,0.1111111111111111
time_to_understand,2,time,positive,12,-0.2597943666588219,0.31063545633740075,,small,,-0.20636927259495197,0.5198935977654786,-0.20351229190160583,0.1111111111111111
readability_level,3,rating,negative,100,-0.15625137459341,0.0301286154880051,*,small,*,-0.2673496912649263,0.0071662601909771835,-0.26123996181050596,0.010309278350515464
binary_understandability,6,rating,negative,50,-0.013914136425848826,0.9090032366864784,*,none,,0.04832725729745225,0.738925253947896,0.04828968677835281,0.02127659574468085
correct_verif_questions,6,correctness,negative,50,-0.028152946873129588,0.8086800956106934,*,none,,-0.06045440683404349,0.6766440967192,-0.06038091962762065,0.02127659574468085
time_to_understand,6,time,positive,50,-0.24788466776030804,0.03188792894690582,,small,*,-0.21286964537506917,0.13775195585480762,-0.2097390411096663,0.02127659574468085
adjusted_fix_call,63,physiological,positive,64,0.21745644260184518,0.034009720061426996,*,small,*,0.22490439224058076,0.07397938695899377,0.22122343964294192,0.01639344262295082
adjusted_fix_flow,63,physiological,positive,64,0.363913602811456,0.0004442465007961315,*,medium,**,0.2941215957366625,0.018322458339394502,0.2860550760060942,0.01639344262295082
adjusted_fix_non_call,63,physiological,positive,64,0.39464317361075607,0.00011941289332633276,*,medium,**,0.3154413857890416,0.011117687752245293,0.30556231652451016,0.01639344262295082
adjusted_fix_non_flow,63,physiological,positive,64,0.3088183762154841,0.0027832484512657924,*,medium,**,0.31041096717302297,0.012548100913125188,0.30098056228996745,0.01639344262295082
adjusted_fix_non_sig,63,physiological,positive,64,0.30927138503373536,0.002569376231396744,*,medium,**,0.2745591616284975,0.028123156591656245,0.2679563208066462,0.01639344262295082
adjusted_fix_sig,63,physiological,positive,64,0.29800300190499696,0.004153780499267119,*,small,**,0.23826720534068668,0.057963447605621284,0.23390591609665856,0.01639344262295082
adjusted_gaze_call,63,physiological,positive,64,0.20295934642838884,0.0478581302625294,*,small,*,0.19777926509565968,0.11721567204756353,0.1952593287663904,0.01639344262295082
adjusted_gaze_flow,63,physiological,positive,64,0.36062026703940664,0.0005004520767949459,*,medium,**,0.28535264020249496,0.022279178060709764,0.27796527556335515,0.01639344262295082
adjusted_gaze_non_call,63,physiological,positive,64,0.39625396207447344,0.00011198846348701401,*,medium,**,0.3317147277356127,0.007413162786313952,0.3202931026782967,0.01639344262295082
adjusted_gaze_non_flow,63,physiological,positive,64,0.3022825375654209,0.003417872613560628,*,medium,**,0.31537116782411667,0.011136638124666807,0.30549845188539443,0.01639344262295082
adjusted_gaze_non_sig,63,physiological,positive,64,0.2851095580779748,0.005444291726857445,*,small,**,0.27570692699250143,0.027446048836279643,0.2690233164456648,0.01639344262295082
adjusted_gaze_sig,63,physiological,positive,64,0.33120667899747575,0.001444545715640912,*,medium,**,0.2323131667327872,0.06471282674294415,0.2282642230859876,0.01639344262295082
gap_accuracy,9_bc,correctness,negative,10,0.08304547985373997,0.7590571299004958,,none,,0.08842866084009911,0.8080678316247072,0.08819924317931893,0.14285714285714285
readability_level_ba,9_bc,rating,negative,10,0.5259547057403532,0.05206997227535645,,large,,0.5030429896876862,0.1383221325572633,0.4660790364302712,0.14285714285714285
readability_level_before,9_bc,rating,negative,10,0.5598925109558542,0.04019719781553128,,large,*,0.4942797016358369,0.1464527370075915,0.4590609074804175,0.14285714285714285
time_to_read_complete,9_bc,time,positive,10,-0.47059105250452654,0.08219753762575091,,medium,,-0.5427668645743495,0.10498318109054508,-0.4972729842644692,0.14285714285714285
gap_accuracy,9_gc,correctness,negative,10,-0.6366820122120065,0.018697200622756507,*,large,*,-0.5898369407057585,0.07268364601502024,-0.5329131466504963,0.14285714285714285
readability_level_ba,9_gc,rating,negative,10,-0.47059105250452654,0.08219753762575091,*,medium,,-0.5039375750159196,0.1375080751927791,-0.4667927050065448,0.14285714285714285
