metric,dataset_id,metric_type,expected_cor,num_snippets_for_correlation,kendalls_tau,kendalls_p_value,expected_cor?,cor_intepretation,stat_significant?
correct_output_rating,1,correctness,negative,23,-0.2588600915717736,0.11858261348204922,*,small,
output_difficulty,1,rating,negative,23,-0.3630554894720564,0.02649782086730554,*,medium,*
time_to_give_output,1,time,positive,23,0.38268492933927684,0.01856470797931634,*,medium,*
brain_deact_31ant,2,physiological,negative,12,-0.20184335693983277,0.4065712940338708,*,small,
brain_deact_31post,2,physiological,negative,12,-0.23854214911071142,0.32667108863875705,*,small,
brain_deact_32,2,physiological,negative,12,-0.49543369430686224,0.0416368567827736,*,medium,*
time_to_understand,2,time,positive,12,0.3486385256233475,0.15170441973059706,*,medium,
readability_level,3,rating,negative,100,-0.1777071888309779,0.021097434446348123,*,small,*
binary_understandability,6,rating,negative,50,-0.22543203189239244,0.03750206210014283,*,small,*
correct_verif_questions,6,correctness,negative,50,-0.17943403006574166,0.08321105252268295,*,small,
time_to_understand,6,time,positive,50,0.18691916838624145,0.06934431565042681,*,small,
gap_accuracy,9_nc,correctness,negative,10,-0.14907119849998599,0.5730251193553904,*,small,
readability_level_ba,9_nc,rating,negative,10,0.3975231959999626,0.13285495573105377,,medium,
readability_level_before,9_nc,rating,negative,10,0.29814239699997197,0.2596563563704499,,small,
time_to_read_complete,9_nc,time,positive,10,-0.24845199749997662,0.34755803674116903,,small,
brain_deact_31,f,physiological,negative,16,-0.31352722326440996,0.11316853365457757,*,medium,
brain_deact_32,f,physiological,negative,16,-0.3872983346207417,0.05036597579032801,*,medium,
complexity_level,f,rating,positive,16,0.08334047874242113,0.6747078413451294,*,none,
perc_correct_output,f,correctness,negative,16,0.09338863578008762,0.6401498414586226,,none,
time_to_understand,f,time,positive,16,0.12909944487358055,0.5142199988155506,*,small,
